# data from ifeffit
#------------------------
#   r         chir_mag         chir_mag       chir_mag
  0.0000000       0.74649289E-01   0.90989935E-02   0.61162369E-02
  0.30679616E-01   0.77783623E-01   0.93894371E-02   0.67692174E-02
  0.61359232E-01   0.85068564E-01   0.99831110E-02   0.75549876E-02
  0.92038847E-01   0.92385495E-01   0.10439251E-01   0.82803758E-02
  0.12271846       0.96694937E-01   0.10715293E-01   0.11998501E-01
  0.15339808       0.97161225E-01   0.11270126E-01   0.19374750E-01
  0.18407769       0.95217441E-01   0.12559269E-01   0.27386260E-01
  0.21475731       0.93966777E-01   0.14365733E-01   0.32643995E-01
  0.24543693       0.96381654E-01   0.15912819E-01   0.32342555E-01
  0.27611654       0.10285144       0.16488339E-01   0.24920206E-01
  0.30679616       0.11077101       0.15943554E-01   0.10902356E-01
  0.33747577       0.11667357       0.15072308E-01   0.10705210E-01
  0.36815539       0.11842570       0.15561885E-01   0.30924078E-01
  0.39883500       0.11644028       0.18369281E-01   0.48369976E-01
  0.42951462       0.11403243       0.22343764E-01   0.58073819E-01
  0.46019424       0.11613101       0.25623037E-01   0.56733044E-01
  0.49087385       0.12544828       0.26913509E-01   0.43293041E-01
  0.52155347       0.13950583       0.25949033E-01   0.19873243E-01
  0.55223308       0.15263193       0.23949015E-01   0.15359726E-01
  0.58291270       0.15982017       0.23795124E-01   0.45898491E-01
  0.61359232       0.15937719       0.27680938E-01   0.72445288E-01
  0.64427193       0.15496220       0.34004916E-01   0.88471509E-01
  0.67495155       0.15666350       0.39499894E-01   0.90940013E-01
  0.70563116       0.17594751       0.41761835E-01   0.80806984E-01
  0.73631078       0.21421110       0.40053884E-01   0.64905059E-01
  0.76699039       0.26200487       0.36292544E-01   0.58037154E-01
  0.79767001       0.30769261       0.36231600E-01   0.69799268E-01
  0.82834963       0.34219543       0.45098282E-01   0.88045521E-01
  0.85902924       0.36065065       0.59945170E-01   0.10042103
  0.88970886       0.36386233       0.74580535E-01   0.10361694
  0.92038847       0.35986236       0.84241735E-01   0.10216464
  0.95106809       0.36373537       0.86200860E-01   0.10557025
  0.98174770       0.39121357       0.80611617E-01   0.11892496
  1.0124273       0.44696517       0.72698932E-01   0.13609971
  1.0431069       0.52167849       0.74636737E-01   0.14673042
  1.0737866       0.60080141       0.95085980E-01   0.14400517
  1.1044662       0.67242611       0.12716955       0.12793122
  1.1351458       0.73057468       0.15980320       0.10829042
  1.1658254       0.77618870       0.18470939       0.10580030
  1.1965050       0.81664184       0.19671036       0.13108772
  1.2271846       0.86313621       0.19435295       0.16906000
  1.2578642       0.92580332       0.18173159       0.20492954
  1.2885439        1.0087199       0.17125010       0.23434130
  1.3192235        1.1084438       0.18169883       0.26095186
  1.3499031        1.2168479       0.22134293       0.29151877
  1.3805827        1.3254580       0.27919237       0.32916800
  1.4112623        1.4285429       0.33932550       0.36989962
  1.4419419        1.5240478       0.38934644       0.40559645
  1.4726216        1.6125751       0.42117967       0.42994988
  1.5033012        1.6951010       0.43115362       0.44343710
  1.5339808        1.7705118       0.42066704       0.45566642
  1.5646604        1.8341638       0.39744544       0.48224230
  1.5953400        1.8781809       0.37690282       0.53399165
  1.6260196        1.8933070       0.38010962       0.60722000
  1.6566993        1.8714861       0.42230214       0.68695516
  1.6873789        1.8082848       0.50131149       0.75822524
  1.7180585        1.7045774       0.60371726       0.81614491
  1.7487381        1.5672389       0.71656000       0.87294017
  1.7794177        1.4087642       0.83180081       0.95847596
  1.8100973        1.2457032       0.94689292        1.1060414
  1.8407769        1.0956077        1.0648606        1.3289983
  1.8714566       0.97222947        1.1941317        1.6144421
  1.9021362       0.88009856        1.3471797        1.9385582
  1.9328158       0.81238628        1.5372090        2.2851067
  1.9634954       0.75539186        1.7735456        2.6578762
  1.9941750       0.69674439        2.0578659        3.0842563
  2.0248546       0.63141070        2.3829544        3.6052200
  2.0555343       0.56341558        2.7338257        4.2522293
  2.0862139       0.50400168        3.0900252        5.0242580
  2.1168935       0.46588372        3.4282126        5.8798425
  2.1475731       0.45378561        3.7246779        6.7451527
  2.1782527       0.45900041        3.9576825        7.5294734
  2.2089323       0.46551613        4.1095278        8.1413789
  2.2396120       0.45975351        4.1682143        8.5029781
  2.2702916       0.43507646        4.1285455        8.5611919
  2.3009712       0.39208659        3.9925680        8.2951945
  2.3316508       0.33765525        3.7692993        7.7192955
  2.3623304       0.28369376        3.4737771        6.8809884
  2.3930100       0.24442814        3.1255352        5.8545923
  2.4236896       0.22863126        2.7466717        4.7316712
  2.4543693       0.23074175        2.3597106        3.6101560
  2.4850489       0.23613075        1.9854616        2.5848491
  2.5157285       0.23366563        1.6410706        1.7428594
  2.5464081       0.22048901        1.3384413        1.1647506
  2.5770877       0.20186764        1.0832487       0.89737054
  2.6077673       0.18965290       0.87487764       0.84994286
  2.6384470       0.19574871       0.70765493       0.84868333
  2.6691266       0.22066744       0.57336441       0.80659559
  2.6998062       0.25366683       0.46420496       0.71285769
  2.7304858       0.28325392       0.37487005       0.58287285
  2.7611654       0.30233944       0.30299719       0.43757926
  2.7918450       0.30857317       0.24826435       0.30263143
  2.8225246       0.30367502       0.21095380       0.22197891
  2.8532043       0.29245392       0.19081015       0.23678012
  2.8838839       0.28108972       0.18671347       0.29732959
  2.9145635       0.27438004       0.19691493       0.34129735
  2.9452431       0.27303028       0.21914383       0.34587173
  2.9759227       0.27334822       0.25067400       0.31681743
  3.0066023       0.26977441       0.28878847       0.29491598
  3.0372820       0.25791376       0.33144307       0.34784253
  3.0679616       0.23642205       0.37766430       0.48720408
  3.0986412       0.20797364       0.42743046       0.67068357
  3.1293208       0.17994941       0.48105629       0.86601098
  3.1600004       0.16380850       0.53835253        1.0572673
  3.1906800       0.16823997       0.59797022        1.2379594
  3.2213597       0.18928001       0.65723282        1.4049833
  3.2520393       0.21474208       0.71247722        1.5535652
  3.2827189       0.23432453       0.75970161        1.6746359
  3.3133985       0.24231133       0.79526918        1.7556702
  3.3440781       0.23703223       0.81648487        1.7841914
  3.3747577       0.22035252       0.82194954        1.7519883
  3.4054373       0.19751369       0.81166367        1.6582642
  3.4361170       0.17680510       0.78690082        1.5107826
  3.4667966       0.16719852       0.74990918        1.3249286
  3.4974762       0.17217331       0.70353145        1.1213059
  3.5281558       0.18613688       0.65085384       0.92312822
  3.5588354       0.19975618       0.59499829       0.75514541
  3.5895150       0.20582815       0.53915077       0.64449285
  3.6201947       0.20088373       0.48687014       0.61618625
  3.6508743       0.18511971       0.44262272       0.67436723
  3.6815539       0.16243492       0.41223800       0.79582610
  3.7122335       0.14084158       0.40249632       0.95117787
  3.7429131       0.13132825       0.41902727        1.1195171
  3.7735927       0.13999735       0.46365615        1.2911125
  3.8042724       0.16067125       0.53407351        1.4679530
  3.8349520       0.18223926       0.62578279        1.6624720
  3.8656316       0.19647082       0.73369015        1.8915297
  3.8963112       0.19891068       0.85244974        2.1661144
  3.9269908       0.18803544       0.97628291        2.4824152
  3.9576704       0.16458600        1.0988927        2.8198166
  3.9883500       0.13107121        1.2136573        3.1455691
  4.0190297       0.91383813E-01    1.3140592        3.4221719
  4.0497093       0.51045412E-01    1.3942382        3.6144094
  4.0803889       0.24719153E-01    1.4495482        3.6948835
  4.1110685       0.40942380E-01    1.4770242        3.6477751
  4.1417481       0.65198816E-01    1.4756887        3.4707900
  4.1724277       0.81645608E-01    1.4466662        3.1753839
  4.2031074       0.88205504E-01    1.3931027        2.7855881
  4.2337870       0.85364591E-01    1.3199131        2.3361274
  4.2644666       0.75005721E-01    1.2333916        1.8710445
  4.2951462       0.60110976E-01    1.1407222        1.4447050
  4.3258258       0.44840973E-01    1.0494080        1.1251604
  4.3565054       0.34933352E-01   0.96662323       0.98056413
  4.3871851       0.34785401E-01   0.89849360        1.0136450
  4.4178647       0.40523629E-01   0.84938733        1.1457693
  4.4485443       0.45845734E-01   0.82142815        1.3107540
  4.4792239       0.47966698E-01   0.81448440        1.4925259
  4.5099035       0.46636122E-01   0.82665112        1.7052277
  4.5405831       0.43105250E-01   0.85488577        1.9676534
  4.5712627       0.39647030E-01   0.89541320        2.2846924
  4.6019424       0.38679290E-01   0.94383553        2.6412705
  4.6326220       0.40950128E-01   0.99516930        3.0071597
  4.6633016       0.44790303E-01    1.0440375        3.3454801
  4.6939812       0.47670313E-01    1.0850792        3.6200570
  4.7246608       0.47555654E-01    1.1134956        3.8005665
  4.7553404       0.43208410E-01    1.1255972        3.8657910
  4.7860201       0.34154471E-01    1.1192347        3.8053615
  4.8166997       0.20669845E-01    1.0940314        3.6202442
  4.8473793       0.48504213E-02    1.0513864        3.3222235
  4.8780589       0.16954931E-01   0.99425366        2.9326816
  4.9087385       0.36684694E-01   0.92673811        2.4810476
  4.9394181       0.54928630E-01   0.85357708        2.0034419
  4.9700978       0.69509641E-01   0.77958583        1.5424383
  5.0007774       0.78647622E-01   0.70914763        1.1493516
  5.0314570       0.81131673E-01   0.64581110       0.88614180
  5.0621366       0.76537030E-01   0.59202969       0.79731781
  5.0928162       0.65414673E-01   0.54904613       0.84302049
  5.1234958       0.49558434E-01   0.51690446       0.93465798
  5.1541754       0.33029102E-01   0.49457074        1.0207259
  5.1848551       0.25895493E-01   0.48014812        1.0898890
  5.2155347       0.35322987E-01   0.47116165        1.1478923
  5.2462143       0.49198768E-01   0.46486678        1.2013739
  5.2768939       0.59395926E-01   0.45852898        1.2501566
  5.3075735       0.63008250E-01   0.44964521        1.2872026
  5.3382531       0.59147953E-01   0.43610864        1.3031219
  5.3689328       0.48274572E-01   0.41633534        1.2908497
  5.3996124       0.32099904E-01   0.38936793        1.2479532
  5.4302920       0.14807640E-01   0.35495632        1.1764296
  5.4609716       0.16129503E-01   0.31360195        1.0810951
  5.4916512       0.32890302E-01   0.26654933       0.96792929
  5.5223308       0.47193302E-01   0.21572310       0.84343865
  5.5530105       0.55663729E-01   0.16365436       0.71542454
  5.5836901       0.57141500E-01   0.11358299       0.59469146
  5.6143697       0.51730614E-01   0.70577096E-01   0.49616196
  5.6450493       0.40827939E-01   0.46774384E-01   0.43561817
  5.6757289       0.27732617E-01   0.55362361E-01   0.41823106
  5.7064085       0.20684091E-01   0.76962235E-01   0.43046112
  5.7370881       0.27970249E-01   0.95880326E-01   0.45163631
  5.7677678       0.40247338E-01   0.10803258       0.46847984
  5.7984474       0.50173366E-01   0.11245323       0.47742805
  5.8291270       0.55527437E-01   0.10921313       0.48009806
  5.8598066       0.56233338E-01   0.99020274E-01   0.47775839
  5.8904862       0.53790816E-01   0.83256261E-01   0.46797764
  5.9211658       0.50999258E-01   0.64330096E-01   0.44511716
  5.9518455       0.50838494E-01   0.46837033E-01   0.40365067
  5.9825251       0.54184915E-01   0.39662557E-01   0.34197057
  6.0132047       0.59001256E-01   0.48271271E-01   0.26615869
  6.0438843       0.62271802E-01   0.64328254E-01   0.19776705
  6.0745639       0.61728436E-01   0.80608927E-01   0.18548095
  6.1052435       0.56329617E-01   0.94931263E-01   0.25039700
  6.1359232       0.46275059E-01   0.10759927       0.34836496
  6.1666028       0.33143187E-01   0.11989607       0.44710174
  6.1972824       0.21339820E-01   0.13282619       0.53116144
  6.2279620       0.21460406E-01   0.14615175       0.59048118
  6.2586416       0.33024572E-01   0.15823989       0.61661187
  6.2893212       0.45495111E-01   0.16671948       0.60218073
  6.3200008       0.54763958E-01   0.16947126       0.54188483
  6.3506805       0.59398546E-01   0.16561546       0.43454332
  6.3813601       0.59090306E-01   0.15648684       0.28780980
  6.4120397       0.54382210E-01   0.14662588       0.15131491
  6.4427193       0.46698273E-01   0.14386328       0.23445144
  6.4733989       0.38681981E-01   0.15553668       0.45494657
  6.5040785       0.34610991E-01   0.18203160       0.69000110
  6.5347582       0.38051223E-01   0.21714230       0.90881710
  6.5654378       0.47303581E-01   0.25351994        1.0933656
  6.5961174       0.58307745E-01   0.28536734        1.2313722
  6.6267970       0.68261041E-01   0.30874361        1.3161119
  6.6574766       0.75554333E-01   0.32136620        1.3464834
  6.6881562       0.79271296E-01   0.32239049        1.3265934
  6.7188359       0.78980497E-01   0.31216969        1.2648146
  6.7495155       0.74676087E-01   0.29196780        1.1724710
  6.7801951       0.66763347E-01   0.26363439        1.0623642
  6.8108747       0.56044879E-01   0.22927697       0.94736956
  6.8415543       0.43702714E-01   0.19098075       0.83931068
  6.8722339       0.31331181E-01   0.15063831       0.74826204
  6.9029135       0.21205760E-01   0.11000556       0.68227202
  6.9335932       0.16544596E-01   0.71459981E-01   0.64722914
  6.9642728       0.17906952E-01   0.42614558E-01   0.64646435
  6.9949524       0.20860027E-01   0.46901508E-01   0.68017590
  7.0256320       0.22493518E-01   0.78672696E-01   0.74541527
  7.0563116       0.22342589E-01   0.11708560       0.83688205
  7.0869912       0.21163150E-01   0.15699330       0.94781906
  7.1176709       0.20271696E-01   0.19693863        1.0704475
  7.1483505       0.20710025E-01   0.23602525        1.1960549
  7.1790301       0.22427859E-01   0.27335334        1.3150875
  7.2097097       0.24670631E-01   0.30791501        1.4174854
  7.2403893       0.27069217E-01   0.33862593        1.4933246
  7.2710689       0.30162203E-01   0.36441691        1.5337011
  7.3017486       0.35071607E-01   0.38435068        1.5317127
