# data from ifeffit
#------------------------
#   r         chir_mag     chir_re     chir_mag      chir_re      rw        resid
  0.0000000       0.90989953E-02   0.90989953E-02   0.38060564E-01   0.38060564E-01    0.0000000       -2.0000000
  0.30679616E-01   0.93894384E-02   0.93877154E-02   0.38365125E-01   0.38325077E-01    0.0000000       -2.0000000
  0.61359232E-01   0.99831111E-02   0.99828924E-02   0.39169861E-01   0.38978576E-01    0.0000000       -2.0000000
  0.92038847E-01   0.10439249E-01   0.10418746E-01   0.40215893E-01   0.39687275E-01    0.0000000       -2.0000000
  0.12271846       0.10715291E-01   0.10655573E-01   0.41252818E-01   0.40138534E-01    0.0000000       -2.0000000
  0.15339808       0.11270124E-01   0.11190305E-01   0.42197583E-01   0.40260840E-01    0.0000000       -2.0000000
  0.18407769       0.12559269E-01   0.12425505E-01   0.43216292E-01   0.40291860E-01    0.0000000       -2.0000000
  0.21475731       0.14365735E-01   0.13961031E-01   0.44667449E-01   0.40603706E-01    0.0000000       -2.0000000
  0.24543693       0.15912822E-01   0.14703745E-01   0.46888307E-01   0.41362726E-01    0.0000000       -2.0000000
  0.27611654       0.16488343E-01   0.13897128E-01   0.49936347E-01   0.42266223E-01    0.0000000       -2.0000000
  0.30679616       0.15943558E-01   0.12102562E-01   0.53503460E-01   0.42601531E-01    0.0000000       -2.0000000
  0.33747577       0.15072310E-01   0.10981968E-01   0.57094047E-01   0.41651969E-01    0.0000000       -2.0000000
  0.36815539       0.15561885E-01   0.11802244E-01   0.60330647E-01   0.39170594E-01    0.0000000       -2.0000000
  0.39883500       0.18369277E-01   0.13965304E-01   0.63193377E-01   0.35523637E-01    0.0000000       -2.0000000
  0.42951462       0.22343760E-01   0.15130305E-01   0.66063504E-01   0.31328886E-01    0.0000000       -2.0000000
  0.46019424       0.25623032E-01   0.13151161E-01   0.69512887E-01   0.26841886E-01    0.0000000       -2.0000000
  0.49087385       0.26913503E-01   0.82172785E-02   0.73919869E-01   0.21609481E-01    0.0000000       -2.0000000
  0.52155347       0.25949028E-01   0.30679761E-02   0.79186893E-01   0.14735414E-01    0.0000000       -2.0000000
  0.55223308       0.23949012E-01   0.70947448E-03   0.84815613E-01   0.55808424E-02    0.0000000       -2.0000000
  0.58291270       0.23795125E-01   0.14729365E-02   0.90283701E-01  -0.57027836E-02    0.0000000       -2.0000000
  0.61359232       0.27680943E-01   0.22334353E-02   0.95437746E-01  -0.18320753E-01    0.0000000       -2.0000000
  0.64427193       0.34004923E-01  -0.10550185E-02   0.10064768      -0.31583592E-01    0.0000000       -2.0000000
  0.67495155       0.39499902E-01  -0.94497579E-02   0.10660241      -0.45587931E-01    0.0000000       -2.0000000
  0.70563116       0.41761842E-01  -0.19383592E-01   0.11382593      -0.61140551E-01    0.0000000       -2.0000000
  0.73631078       0.40053891E-01  -0.25359977E-01   0.12224958      -0.78883479E-01    0.0000000       -2.0000000
  0.76699039       0.36292548E-01  -0.25148219E-01   0.13120737      -0.98353970E-01    0.0000000       -2.0000000
  0.79767001       0.36231600E-01  -0.22852768E-01   0.13987310      -0.11787991        0.0000000       -2.0000000
  0.82834963       0.45098277E-01  -0.26413877E-01   0.14781721      -0.13552108        0.0000000       -2.0000000
  0.85902924       0.59945163E-01  -0.40803240E-01   0.15532910      -0.15027372        0.0000000       -2.0000000
  0.88970886       0.74580526E-01  -0.62530568E-01   0.16328483      -0.16238886        0.0000000       -2.0000000
  0.92038847       0.84241726E-01  -0.80905572E-01   0.17255356      -0.17236787        0.0000000       -2.0000000
  0.95106809       0.86200851E-01  -0.86199400E-01   0.18327610      -0.17945677        0.0000000       -2.0000000
  0.98174770       0.80611610E-01  -0.78481511E-01   0.19456955      -0.18111922        0.0000000       -2.0000000
  1.0124273       0.72698927E-01  -0.69156191E-01   0.20492794      -0.17428535        0.0000000       -2.0000000
  1.0431069       0.74636735E-01  -0.72436213E-01   0.21305537      -0.15759226        0.0000000       -2.0000000
  1.0737866       0.95085981E-01  -0.92566824E-01   0.21865720      -0.13272650        0.0000000       -2.0000000
  1.1044662       0.12716955      -0.11739140       0.22281140      -0.10347598        0.0000000       -2.0000000
  1.1351458       0.15980321      -0.12501038       0.22765393      -0.72973720E-01    0.0000000       -2.0000000
  1.1658254       0.18470940      -0.99937180E-01   0.23531959      -0.41315542E-01    0.0000000       -2.0000000
  1.1965050       0.19671036      -0.46404175E-01   0.24664525      -0.56603886E-02    0.0000000       -2.0000000
  1.2271846       0.19435296       0.12879360E-01   0.26065027       0.37074066E-01    0.0000000       -2.0000000
  1.2578642       0.18173160       0.53462264E-01   0.27528949       0.87109289E-01    0.0000000       -2.0000000
  1.2885439       0.17125010       0.69328979E-01   0.28885954       0.14100655        0.0000000       -2.0000000
  1.3192235       0.18169883       0.79955959E-01   0.30111105       0.19395602        0.0000000       -2.0000000
  1.3499031       0.22134293       0.11647889       0.31350424       0.24311300        0.0000000       -2.0000000
  1.3805827       0.27919237       0.19553185       0.32843829       0.28876224        0.0000000       -2.0000000
  1.4112623       0.33932550       0.30052173       0.34775771       0.33184798        0.0000000       -2.0000000
  1.4419419       0.38934644       0.38643918       0.37147855       0.36976845        0.0000000       -2.0000000
  1.4726216       0.42117967       0.40726049       0.39771777       0.39430539        0.0000000       -2.0000000
  1.5033012       0.43115362       0.34705396       0.42384109       0.39411239        0.0000000       -2.0000000
  1.5339808       0.42066704       0.23135141       0.44797763       0.36028260        0.0000000       -2.0000000
  1.5646604       0.39744544       0.10886788       0.47010052       0.29055512        0.0000000       -2.0000000
  1.5953400       0.37690282       0.15883579E-01   0.49230028       0.18861849        0.0000000       -2.0000000
  1.6260196       0.38010961      -0.50347319E-01   0.51818031       0.59344216E-01    4.5000000       -3.0969154
  1.6566993       0.42230214      -0.12836914       0.55160535      -0.95098635E-01    4.5000000       -2.3327050
  1.6873789       0.50131149      -0.26052493       0.59544628      -0.27340854        4.5000000       -1.8711639
  1.7180585       0.60371726      -0.45507166       0.65109919      -0.46757700        4.5000000       -1.8749465
  1.7487381       0.71656000      -0.67022003       0.71902558      -0.65517036        4.5000000       -2.1504967
  1.7794177       0.83180081      -0.83165862       0.79984017      -0.79832001        4.5000000       -2.3333861
  1.8100973       0.94689292      -0.86998511       0.89530547      -0.85153605        4.5000000       -2.1844906
  1.8407769        1.0648606      -0.75016093        1.0088971      -0.77365321        4.5000000       -1.7650772
  1.8714566        1.1941317      -0.47333014        1.1458474      -0.53678808        4.5000000       -1.3654206
  1.9021362        1.3471797      -0.55977355E-01    1.3125827      -0.13007542        4.5000000       -1.2590193
  1.9328158        1.5372090       0.48756346        1.5154607       0.43607784        4.5000000       -1.4851438
  1.9634954        1.7735456        1.1343542        1.7589165        1.1171588        4.5000000       -1.8280461
  1.9941750        2.0578659        1.8140635        2.0434676        1.8138071        4.5000000       -1.9974355
  2.0248546        2.3829544        2.3734209        2.3641891        2.3591308        4.5000000       -1.8570989
  2.0555343        2.7338257        2.5866382        2.7100991        2.5386486        4.5000000       -1.5201041
  2.0862139        3.0900252        2.2325969        3.0645769        2.1570532        4.5000000       -1.2445628
  2.1168935        3.4282126        1.2145045        3.4066969        1.1369041        4.5000000       -1.2239957
  2.1475731        3.7246779      -0.34118892        3.7132517      -0.39693989        4.5000000       -1.4424904
  2.1782527        3.9576825       -2.0734620        3.9611851       -2.1031806        4.5000000       -1.7028134
  2.2089323        4.1095278       -3.4901514        4.1301327       -3.5108176        4.5000000       -1.7933375
  2.2396120        4.1682143       -4.1507671        4.2047511       -4.1853603        4.5000000       -1.6540679
  2.2702916        4.1285455       -3.8450557        4.1765406       -3.9037615        4.5000000       -1.4129423
  2.3009712        3.9925680       -2.6800094        4.0449202       -2.7526520        4.5000000       -1.2735736
  2.3316508        3.7692993       -1.0327519        3.8174108       -1.0976082        4.5000000       -1.3514375
  2.3623304        3.4737771       0.60548868        3.5088927       0.56421335        4.5000000       -1.5872466
  2.3930100        3.1255352        1.8169229        3.1400306        1.7966401        4.5000000       -1.7971723
  2.4236896        2.7466717        2.3902820        2.7350578        2.3714999        4.5000000       -1.8121789
  2.4543693        2.3597106        2.3497449        2.3191961        2.3095756        4.5000000       -1.5983072
  2.4850489        1.9854616        1.8868190        1.9160154        1.8144155        4.5000000       -1.2759646
  2.5157285        1.6410706        1.2464263        1.5450375        1.1502461        4.5000000       -1.0381979
  2.5464081        1.3384413       0.62832008        1.2198599       0.53201216        4.5000000       -1.0369208
  2.5770877        1.0832487       0.14163470       0.94706960       0.73017710E-01    4.5000000       -1.3138301
  2.6077673       0.87487765      -0.18650573       0.72625794      -0.20597739        0.0000000       -2.0000000
  2.6384470       0.70765493      -0.37436205       0.55144283      -0.33493296        0.0000000       -2.0000000
  2.6691266       0.57336441      -0.45149314       0.41384558      -0.35533242        0.0000000       -2.0000000
  2.6998062       0.46420496      -0.44354500       0.30514791      -0.30269018        0.0000000       -2.0000000
  2.7304858       0.37487006      -0.37347430       0.21979017      -0.20762491        0.0000000       -2.0000000
  2.7611654       0.30299719      -0.26669883       0.15538512      -0.10076339        0.0000000       -2.0000000
  2.7918450       0.24826435      -0.15027346       0.11123045      -0.10580138E-01    0.0000000       -2.0000000
  2.8225246       0.21095380      -0.45689082E-01   0.85186305E-01   0.45073763E-01    0.0000000       -2.0000000
  2.8532043       0.19081015       0.37916613E-01   0.71233264E-01   0.65157981E-01    0.0000000       -2.0000000
  2.8838839       0.18671347       0.10368500       0.62633262E-01   0.62579416E-01    0.0000000       -2.0000000
  2.9145635       0.19691493       0.15974119       0.56918193E-01   0.53684581E-01    0.0000000       -2.0000000
  2.9452431       0.21914383       0.21015871       0.55224883E-01   0.47943613E-01    0.0000000       -2.0000000
