# data from ifeffit
#------------------------
#   k         chikn       chikn       diff
  0.0000000        0.0000000        0.0000000       -2.0000000
  0.50000000E-01  -0.10597631E-02  -0.10597819E-02   -1.9999981
  0.10000000      -0.42412041E-02  -0.42412349E-02   -1.9999969
  0.15000000      -0.94737317E-02  -0.94739517E-02   -1.9999780
  0.20000000      -0.16790035E-01  -0.16789216E-01   -2.0000819
  0.25000000      -0.25946425E-01  -0.25949938E-01   -1.9996487
  0.30000000      -0.37080269E-01  -0.37084603E-01   -1.9995666
  0.35000000      -0.49692290E-01  -0.49695045E-01   -1.9997245
  0.40000000      -0.64076637E-01  -0.64069960E-01   -2.0006678
  0.45000000      -0.79370885E-01  -0.79395400E-01   -1.9975485
  0.50000000      -0.96041385E-01  -0.96061380E-01   -1.9980005
  0.55000000      -0.11289778      -0.11291370       -1.9984080
  0.60000000      -0.13048771      -0.13049998       -1.9987732
  0.65000000      -0.14719557      -0.14724329       -1.9952283
  0.70000000      -0.16374680      -0.16376913       -1.9977675
  0.75000000      -0.17805371      -0.17808016       -1.9973549
  0.80000000      -0.19097002      -0.19107318       -1.9896836
  0.85000000      -0.19991258      -0.19997875       -1.9933830
  0.90000000      -0.20608013      -0.20617188       -1.9908256
  0.95000000      -0.20626628      -0.20642595       -1.9840338
  1.0000000      -0.20227482      -0.20231499       -1.9959832
  1.0500000      -0.19002013      -0.19016104       -1.9859091
  1.1000000      -0.17222142      -0.17237379       -1.9847629
  1.1500000      -0.14472716      -0.14493684       -1.9790324
  1.2000000      -0.11082587      -0.11107132       -1.9754556
  1.2500000      -0.66664064E-01  -0.66907511E-01   -1.9756553
  1.3000000      -0.15918751E-01  -0.16306169E-01   -1.9612583
  1.3500000       0.44267431E-01   0.44049834E-01   -1.9782403
  1.4000000       0.10956744       0.10928311       -1.9715667
  1.4500000       0.18230895       0.18196008       -1.9651132
  1.5000000       0.25692283       0.25670524       -1.9782413
  1.5500000       0.33398818       0.33377652       -1.9788344
  1.6000000       0.40858321       0.40828202       -1.9698806
  1.6500000       0.47961702       0.47948283       -1.9865810
  1.7000000       0.54304433       0.54307090       -2.0026569
  1.7500000       0.59603514       0.59624560       -2.0210465
  1.8000000       0.63645408       0.63621559       -1.9761517
  1.8500000       0.65838961       0.65846207       -2.0072456
  1.9000000       0.66364675       0.66351452       -1.9867770
  1.9500000       0.64647190       0.64661179       -2.0139886
  2.0000000       0.61067155       0.61072390       -2.0052347
  2.0500000       0.54807685       0.54824971       -2.0172852
  2.1000000       0.46767892       0.46790485       -2.0225931
  2.1500000       0.37302057       0.37362644       -2.0605874
  2.2000000       0.26770440       0.26833006       -2.0625660
  2.2500000       0.14975736       0.14996243       -2.0205070
  2.3000000       0.31614466E-01   0.31912927E-01   -2.0298460
  2.3500000      -0.77275950E-01  -0.76711897E-01   -2.0564053
  2.4000000      -0.16642409      -0.16587279       -2.0551304
  2.4500000      -0.24498453      -0.24470053       -2.0284009
  2.5000000      -0.31117595      -0.31086178       -2.0314172
  2.5500000      -0.36271564      -0.36224064       -2.0475001
  2.6000000      -0.39686745      -0.39729534       -1.9572109
  2.6500000      -0.42019557      -0.42031264       -1.9882938
  2.7000000      -0.42375545      -0.42373379       -2.0021664
  2.7500000      -0.40880882      -0.40879966       -2.0009166
  2.8000000      -0.37801948      -0.37863628       -1.9383201
  2.8500000      -0.32983009      -0.32976801       -2.0062078
  2.9000000      -0.26562598      -0.26592054       -1.9705439
  2.9500000      -0.19121677      -0.19132300       -1.9893776
  3.0000000      -0.11161802      -0.11225775       -1.9360271
  3.0500000      -0.19263326E-01  -0.18223623E-01   -2.1039704
  3.1000000       0.72052971E-01   0.71900628E-01   -1.9847657
  3.1500000       0.15205256       0.15230209       -2.0249521
  3.2000000       0.21498470       0.21468728       -1.9702580
  3.2500000       0.27945491       0.27953439       -2.0079486
  3.3000000       0.32308570       0.32265656       -1.9570869
  3.3500000       0.33895923       0.33894621       -1.9986980
  3.4000000       0.32235685       0.32223478       -1.9877931
  3.4500000       0.29637782       0.29599642       -1.9618599
  3.5000000       0.23809572       0.23811241       -2.0016694
  3.5500000       0.14991199       0.15036796       -2.0455978
  3.6000000       0.34701761E-01   0.34756002E-01   -2.0054241
  3.6500000      -0.86166610E-01  -0.86068736E-01   -2.0097875
  3.7000000      -0.22355502      -0.22287904       -2.0675976
  3.7500000      -0.36803897      -0.36802599       -2.0012984
  3.8000000      -0.51107007      -0.51169245       -1.9377621
  3.8500000      -0.63954352      -0.63990070       -1.9642823
  3.9000000      -0.75004806      -0.74996960       -2.0078465
  3.9500000      -0.83377990      -0.83381798       -1.9961922
  4.0000000      -0.87970164      -0.88086559       -1.8836052
  4.0500000      -0.88270314      -0.88371106       -1.8992076
  4.1000000      -0.83976897      -0.84000583       -1.9763135
  4.1500000      -0.74968290      -0.74864236       -2.1040539
  4.2000000      -0.60919197      -0.61025814       -1.8933835
  4.2500000      -0.42930780      -0.43053195       -1.8775855
  4.3000000      -0.21193645      -0.21356384       -1.8372615
  4.3500000       0.36042685E-01   0.34607120E-01   -1.8564435
  4.4000000       0.30439930       0.30275756       -1.8358256
  4.4500000       0.58129541       0.58084778       -1.9552374
  4.5000000       0.85328433       0.85165491       -1.8370576
  4.5500000        1.1046882        1.1028880       -1.8199804
  4.6000000        1.3230684        1.3203708       -1.7302396
  4.6500000        1.4926708        1.4917805       -1.9109660
  4.7000000        1.6020000        1.6023000       -2.0299969
  4.7500000        1.6422868        1.6427647       -2.0477912
  4.8000000        1.6091880        1.6102168       -2.1028758
  4.8500000        1.4929785        1.4946131       -2.1634640
  4.9000000        1.3012858        1.3026628       -2.1376999
  4.9500000        1.0423590        1.0430896       -2.0730539
  5.0000000       0.71985111       0.72321980       -2.3368693
  5.0500000       0.35179492       0.35282763       -2.1032711
  5.1000000      -0.53397185E-01  -0.49683917E-01   -2.3713268
  5.1500000      -0.47185795      -0.46674870       -2.5109243
  5.2000000      -0.88250587      -0.88240780       -2.0098069
  5.2500000       -1.2759160       -1.2757111       -2.0204888
  5.3000000       -1.6244956       -1.6210977       -2.3397910
  5.3500000       -1.9052973       -1.9065317       -1.8765656
  5.4000000       -2.1082720       -2.1111878       -1.7084220
  5.4500000       -2.2176679       -2.2182347       -1.9433146
  5.5000000       -2.2247271       -2.2256738       -1.9053307
  5.5500000       -2.1300880       -2.1307095       -1.9378497
  5.6000000       -1.9347572       -1.9347232       -2.0033948
  5.6500000       -1.6375944       -1.6386852       -1.8909173
  5.7000000       -1.2566915       -1.2569093       -1.9782286
  5.7500000      -0.80421179      -0.80774745       -1.6464338
  5.8000000      -0.30481054      -0.30766562       -1.7144919
  5.8500000       0.22131100       0.21758156       -1.6270568
  5.9000000       0.74720133       0.74426981       -1.7068481
  5.9500000        1.2471664        1.2461821       -1.9015679
  6.0000000        1.6981129        1.6961436       -1.8030630
  6.0500000        2.0762832        2.0726041       -1.6320869
  6.1000000        2.3581251        2.3561054       -1.7980332
  6.1500000        2.5306957        2.5320616       -2.1365956
  6.2000000        2.5856278        2.5872086       -2.1580795
  6.2500000        2.5192160        2.5198968       -2.0680762
  6.3000000        2.3323402        2.3342072       -2.1867011
  6.3500000        2.0321468        2.0329671       -2.0820306
  6.4000000        1.6320436        1.6308470       -1.8803460
  6.4500000        1.1514788        1.1543271       -2.2848264
  6.5000000       0.61124862       0.61420800       -2.2959383
  6.5500000       0.30673615E-01   0.34279274E-01   -2.3605659
  6.6000000      -0.55134290      -0.54904908       -2.2293819
  6.6500000       -1.1057329       -1.1023826       -2.3350241
  6.7000000       -1.6095855       -1.6072233       -2.2362223
  6.7500000       -2.0379877       -2.0330936       -2.4894139
  6.8000000       -2.3648672       -2.3635152       -2.1351969
  6.8500000       -2.5800420       -2.5818163       -1.8225648
  6.9000000       -2.6694645       -2.6713409       -1.8123549
  6.9500000       -2.6330362       -2.6307669       -2.2269330
  7.0000000       -2.4666698       -2.4703279       -1.6341975
  7.0500000       -2.1755155       -2.1785016       -1.7013983
  7.1000000       -1.7820935       -1.7859797       -1.6113819
  7.1500000       -1.3092104       -1.3092843       -1.9926042
  7.2000000      -0.76747518      -0.77168780       -1.5787373
  7.2500000      -0.19641131      -0.20075616       -1.5655145
  7.3000000       0.38016581       0.37496301       -1.4797203
  7.3500000       0.93057441       0.92647960       -1.5905191
  7.4000000        1.4305519        1.4280779       -1.7525949
  7.4500000        1.8567861        1.8570889       -2.0302813
  7.5000000        2.1885403        2.1898945       -2.1354164
  7.5500000        2.4095898        2.4055032       -1.5913351
  7.6000000        2.5054946        2.5063341       -2.0839474
  7.6500000        2.4791951        2.4785085       -1.9313357
  7.7000000        2.3324830        2.3295355       -1.7052550
  7.7500000        2.0676070        2.0691058       -2.1498835
  7.8000000        1.7091134        1.7096130       -2.0499599
  7.8500000        1.2674382        1.2725184       -2.5080108
  7.9000000       0.77411358       0.77872708       -2.4613500
  7.9500000       0.25456679       0.25666051       -2.2093716
  8.0000000      -0.27229610      -0.26954866       -2.2747440
  8.0500000      -0.78213855      -0.77567364       -2.6464905
  8.1000000       -1.2368650       -1.2372290       -1.9635988
  8.1500000       -1.6247715       -1.6186895       -2.6082020
  8.2000000       -1.9182016       -1.9192730       -1.8928632
  8.2500000       -2.1145014       -2.1102523       -2.4249061
  8.3000000       -2.1997036       -2.1985093       -2.1194347
  8.3500000       -2.1724607       -2.1708671       -2.1593688
  8.4000000       -2.0344465       -2.0334434       -2.1003121
  8.4500000       -1.7987184       -1.8016200       -1.7098356
  8.5000000       -1.4820648       -1.4821704       -1.9894498
  8.5500000       -1.0863334       -1.0916070       -1.4726331
  8.6000000      -0.65763593      -0.66104235       -1.6593588
  8.6500000      -0.20042026      -0.20539359       -1.5026673
  8.7000000       0.25034486       0.24933215       -1.8987293
  8.7500000       0.68127313       0.67746326       -1.6190134
  8.8000000        1.0634741        1.0586140       -1.5139916
  8.8500000        1.3911912        1.3818409       -1.0649671
  8.9000000        1.6293723        1.6228315       -1.3459267
  8.9500000        1.7781097        1.7778394       -1.9729689
  9.0000000        1.8361527        1.8387753       -2.2622590
  9.0500000        1.8001953        1.8026297       -2.2434420
  9.1000000        1.6777422        1.6770467       -1.9304474
  9.1500000        1.4681130        1.4675210       -1.9408082
  9.2000000        1.1956793        1.1968940       -2.1214712
  9.2500000       0.86680692       0.86629340       -1.9486479
  9.3000000       0.50000145       0.50868777       -2.8686321
  9.3500000       0.13211363       0.13391192       -2.1798293
  9.4000000      -0.24211815      -0.24110872       -2.1009434
  9.4500000      -0.58226224      -0.58342487       -1.8837378
  9.5000000      -0.89015409      -0.88683296       -2.3321127
  9.5500000       -1.1362811       -1.1389479       -1.7333174
  9.6000000       -1.3232251       -1.3265715       -1.6653642
  9.6500000       -1.4315380       -1.4300696       -2.1468388
  9.7000000       -1.4605372       -1.4690285       -1.1508717
  9.7500000       -1.4248039       -1.4251064       -1.9697467
  9.8000000       -1.3159362       -1.3125098       -2.3426354
  9.8500000       -1.1412163       -1.1419174       -1.9298929
  9.9000000      -0.91595260      -0.92050096       -1.5451638
  9.9500000      -0.65140540      -0.65848278       -1.2922616
  10.000000      -0.36150386      -0.37002610       -1.1477755
  10.050000      -0.66265528E-01  -0.72258326E-01   -1.4007202
  10.100000       0.22167308       0.21742444       -1.5751359
  10.150000       0.48510266       0.47976536       -1.4662705
  10.200000       0.71300333       0.71602757       -2.3024239
  10.250000       0.90729183       0.90810578       -2.0813948
  10.300000        1.0391026        1.0402423       -2.1139762
  10.350000        1.1152257        1.1129950       -1.7769350
  10.400000        1.1280846        1.1360645       -2.7979974
  10.450000        1.0868327        1.0932118       -2.6379065
  10.500000       0.99846294       0.99845509       -1.9992141
  10.550000       0.85307915       0.85251267       -1.9433523
  10.600000       0.67459941       0.67577862       -2.1179213
  10.650000       0.46706967       0.46636826       -1.9298594
  10.700000       0.23984860       0.24682104       -2.6972444
  10.750000       0.20384963E-01   0.25010259E-01   -2.4625297
  10.800000      -0.20062717      -0.19724172       -2.3385449
  10.850000      -0.39702632      -0.39624855       -2.0777765
  10.900000      -0.56669710      -0.55916942       -2.7527676
  10.950000      -0.70296676      -0.69899040       -2.3976368
  11.000000      -0.78720092      -0.79320101       -1.3999911
  11.050000      -0.83733739      -0.83169449       -2.5642895
  11.100000      -0.84985976      -0.83957223       -3.0287524
  11.150000      -0.80242544      -0.79220602       -3.0219421
  11.200000      -0.72411858      -0.73113956       -1.2979020
  11.250000      -0.61196852      -0.61620012       -1.5768390
  11.300000      -0.47255564      -0.47545625       -1.7099390
  11.350000      -0.31507565      -0.31581167       -1.9263981
  11.400000      -0.14721833      -0.14847265       -1.8745685
  11.450000       0.24879573E-01   0.16345934E-01   -1.1466360
  11.500000       0.18447060       0.17930810       -1.4837498
  11.550000       0.32305980       0.31851710       -1.5457298
  11.600000       0.44150886       0.44990962       -2.8400760
  11.650000       0.53175790       0.53952438       -2.7766486
  11.700000       0.59713472       0.59076189       -1.3627170
  11.750000       0.62373468       0.61839974       -1.4665063
  11.800000       0.61924001       0.61890400       -1.9663988
  11.850000       0.57900858       0.58162302       -2.2614445
  11.900000       0.51747650       0.51463407       -1.7157566
  11.950000       0.42475284       0.42844588       -2.3693039
  12.000000       0.31504186       0.31913175       -2.4089893
  12.050000       0.20022463       0.20455118       -2.4326548
  12.100000       0.75733992E-01   0.83431759E-01   -2.7697767
  12.150000      -0.39296632E-01  -0.39623292E-01   -1.9673340
  12.200000      -0.15287855      -0.16146860       -1.1409947
  12.250000      -0.26245028      -0.25441779       -2.8032490
  12.300000      -0.34742152      -0.33293741       -3.4484109
  12.350000      -0.40350208      -0.40073517       -2.2766910
  12.400000      -0.43869481      -0.43873496       -1.9959845
  12.450000      -0.44731391      -0.46092853      -0.63853852
  12.500000      -0.44290273      -0.43796292       -2.4939807
  12.550000      -0.40016867      -0.41310151      -0.70671688
  12.600000      -0.36101262      -0.35419151       -2.6821114
  12.650000      -0.29354022      -0.28942896       -2.4111268
  12.700000      -0.20958789      -0.21380107       -1.5786818
  12.750000      -0.11926793      -0.13027411      -0.89938146
  12.800000      -0.28446744E-01  -0.29731707E-01   -1.8715037
  12.850000       0.50938907E-01   0.57078355E-01   -2.6139448
  12.900000       0.13438535       0.13310610       -1.8720751
  12.950000       0.19378939       0.19592742       -2.2138024
  13.000000       0.24888765       0.24886935       -1.9981699
  13.050000       0.29089241       0.29117106       -2.0278651
  13.100000       0.32721436       0.31776365       -1.0549296
  13.150000       0.32165877       0.31422398       -1.2565214
  13.200000       0.30950236       0.30938683       -1.9884464
  13.250000       0.28757870       0.27870041       -1.1121709
  13.300000       0.23440377       0.24177257       -2.7368806
  13.350000       0.19146788       0.19562103       -2.4153150
  13.400000       0.12279159       0.11889476       -1.6103175
  13.450000       0.71901566E-01   0.62959678E-01   -1.1058112
  13.500000      -0.73534346E-02  -0.43345755E-02   -2.3018859
  13.550000      -0.57495181E-01  -0.62775575E-01   -1.4719606
  13.600000      -0.11922013      -0.10865224       -3.0567890
  13.650000      -0.15819331      -0.15468931       -2.3503999
  13.700000      -0.20693995      -0.19539062       -3.1549335
  13.750000      -0.22071263      -0.21920777       -2.1504858
  13.800000      -0.23028366      -0.22736616       -2.2917499
  13.850000      -0.23150887      -0.23293249       -1.8576385
  13.900000      -0.20988531      -0.19651514       -3.3370173
  13.950000      -0.17998157      -0.19035022      -0.96313475
  14.000000      -0.15678840      -0.15778551       -1.9002891
  14.050000      -0.11317988      -0.11680949       -1.6370391
  14.100000      -0.73147846E-01  -0.69325275E-01   -2.3822571
  14.150000      -0.30851360E-01  -0.31416445E-01   -1.9434915
  14.200000       0.26192921E-01   0.27167888E-01   -2.0974966
  14.250000       0.50956156E-01   0.50207012E-01   -1.9250856
  14.300000       0.94791673E-01   0.89851518E-01   -1.5059845
  14.350000       0.10556711       0.11617221       -3.0605100
  14.400000       0.13428539       0.13536927       -2.1083877
  14.450000       0.15778570       0.15558980       -1.7804091
  14.500000       0.15759718       0.15522047       -1.7623290
  14.550000       0.15001824       0.13839900      -0.83807547
  14.600000       0.14048320       0.14542856       -2.4945356
  14.650000       0.11649201       0.11485932       -1.8367305
  14.700000       0.99629516E-01   0.93930678E-01   -1.4301161
  14.750000       0.50253521E-01   0.69965416E-01   -3.9711895
  14.800000       0.33139635E-01   0.52316565E-01   -3.9176930
  14.850000       0.68723692E-02   0.19295000E-02   -1.5057131
  14.900000      -0.36906606E-01  -0.25949700E-01   -3.0956906
  14.950000      -0.58267281E-01  -0.39612035E-01   -3.8655246
  15.000000      -0.62340596E-01  -0.69477054E-01   -1.2863542
  15.050000      -0.88637512E-01  -0.88674122E-01   -1.9963391
  15.100000      -0.10174603      -0.98183158E-01   -2.3562867
  15.150000      -0.10189674      -0.10778179       -1.4114948
  15.200000      -0.11591445      -0.11343204       -2.2482410
  15.250000      -0.10555357      -0.11415222       -1.1401354
  15.300000      -0.96936281E-01  -0.95076171E-01   -2.1860110
