# data from ifeffit
#------------------------
#   k         e00       e01       e02
  0.0000000        0.0000000      -0.60000000E-01  -0.30000000E-01
  0.50000000E-01   0.10099865E-06  -0.60000483E-01  -0.27881910E-01
  0.10000000       0.32902779E-06  -0.59981425E-01  -0.29998542E-01
  0.15000000       0.21954931E-05  -0.59986252E-01  -0.30016450E-01
  0.20000000       0.13035783E-05  -0.59943850E-01  -0.30007412E-01
  0.25000000      -0.29504928E-08  -0.59956612E-01  -0.30053768E-01
  0.30000000       0.89990659E-05  -0.59890337E-01  -0.30035912E-01
  0.35000000      -0.42387808E-05  -0.59898202E-01  -0.30108570E-01
  0.40000000       0.78985154E-05  -0.59806110E-01  -0.30089479E-01
  0.45000000       0.12540881E-04  -0.59794867E-01  -0.30182956E-01
  0.50000000       0.35777027E-04  -0.59664496E-01  -0.30146012E-01
  0.55000000       0.12711644E-04  -0.59696792E-01  -0.30315221E-01
  0.60000000       0.35105885E-04  -0.59526275E-01  -0.30305801E-01
  0.65000000       0.51471876E-04  -0.59482745E-01  -0.30414259E-01
  0.70000000       0.22494860E-04  -0.59359610E-01  -0.30509497E-01
  0.75000000       0.11162864E-04  -0.59221792E-01  -0.30652222E-01
  0.80000000       0.57976903E-04  -0.58993557E-01  -0.30701360E-01
  0.85000000       0.89016158E-04  -0.58939127E-01  -0.30880520E-01
  0.90000000       0.10956048E-03  -0.58743951E-01  -0.30995407E-01
  0.95000000       0.12990965E-03  -0.58621025E-01  -0.31202452E-01
  1.0000000       0.72168464E-04  -0.58285882E-01  -0.31324965E-01
  1.0500000       0.12217835E-03  -0.58317026E-01  -0.31565200E-01
  1.1000000       0.14004919E-03  -0.57900007E-01  -0.31618339E-01
  1.1500000       0.10822974E-03  -0.57870705E-01  -0.31795250E-01
  1.2000000       0.15349522E-03  -0.57569384E-01  -0.31871791E-01
  1.2500000       0.24646399E-03  -0.57559463E-01  -0.31956346E-01
  1.3000000       0.19801792E-03  -0.57427293E-01  -0.32113404E-01
  1.3500000       0.22631520E-03  -0.57431964E-01  -0.32091487E-01
  1.4000000       0.30374236E-03  -0.57378922E-01  -0.32141459E-01
