# data from ifeffit
#------------------------
#   x1        y1        x2        y2
  2.5122718        3.2561171        2.5077572        2.8859873
  2.5245431        3.2621962        2.5155142        2.8898301
  2.5368135        3.2682373        2.5232705        2.8936487
  2.5490825        3.2742400        2.5310260        2.8974432
  2.5613496        3.2802042        2.5387803        2.9012133
  2.5736144        3.2861296        2.5465332        2.9049588
  2.5858765        3.2920160        2.5542843        2.9086797
  2.5981353        3.2978631        2.5620334        2.9123758
  2.6103905        3.3036708        2.5697801        2.9160470
  2.6226415        3.3094388        2.5775242        2.9196931
  2.6348878        3.3151670        2.5852654        2.9233140
  2.6471291        3.3208550        2.5930033        2.9269095
  2.6593649        3.3265027        2.6007378        2.9304795
  2.6715946        3.3321099        2.6084685        2.9340239
  2.6838179        3.3376764        2.6161951        2.9375426
  2.6960343        3.3432019        2.6239173        2.9410354
  2.7082433        3.3486862        2.6316349        2.9445021
  2.7204444        3.3541292        2.6393474        2.9479428
  2.7326373        3.3595306        2.6470548        2.9513571
  2.7448214        3.3648902        2.6547566        2.9547450
  2.7569962        3.3702079        2.6624526        2.9581064
  2.7691614        3.3754833        2.6701425        2.9614412
  2.7813165        3.3807164        2.6778259        2.9647491
  2.7934609        3.3859070        2.6855027        2.9680302
  2.8055944        3.3910548        2.6931725        2.9712842
  2.8177163        3.3961596        2.7008350        2.9745110
  2.8298262        3.4012212        2.7084899        2.9777106
  2.8419238        3.4062395        2.7161370        2.9808828
  2.8540084        3.4112143        2.7237760        2.9840274
  2.8660798        3.4161454        2.7314066        2.9871445
  2.8781373        3.4210325        2.7390284        2.9902337
  2.8901806        3.4258756        2.7466412        2.9932951
  2.9022093        3.4306744        2.7542447        2.9963286
  2.9142228        3.4354287        2.7618387        2.9993339
  2.9262206        3.4401385        2.7694228        3.0023110
  2.9382025        3.4448034        2.7769968        3.0052598
  2.9501678        3.4494233        2.7845603        3.0081801
  2.9621162        3.4539981        2.7921132        3.0110719
  2.9740472        3.4585275        2.7996550        3.0139351
  2.9859604        3.4630114        2.8071855        3.0167695
  2.9978552        3.4674497        2.8147045        3.0195750
  3.0097313        3.4718421        2.8222116        3.0223515
  3.0215882        3.4761886        2.8297066        3.0250990
  3.0334255        3.4804888        2.8371892        3.0278173
  3.0452427        3.4847428        2.8446591        3.0305063
