# data from ifeffit
#------------------------
#   energy    j0        j         xmu
  6912.1140        228878.00        137541.00       0.50926706
  6917.0853        228073.00        138106.00       0.50164425
  6922.0648        227352.00        138638.00       0.49463326
  6927.0524        226618.00        139188.00       0.48744024
  6932.0482        225920.00        139773.00       0.48016128
  6937.0522        225277.00        140382.00       0.47296348
  6942.0644        224698.00        141024.00       0.46582719
  6947.0849        224060.00        141653.00       0.45853347
  6952.1137        223373.00        142233.00       0.45137646
  6957.1507        222686.00        142808.00       0.44426164
  6962.1961        222009.00        143389.00       0.43715670
  6967.2498        221166.00        143882.00       0.42992003
  6972.3118        220425.00        144410.00       0.42290102
  6977.3822        219553.00        144885.00       0.41565334
  6982.4610        218220.00        145232.00       0.40717126
  6987.5482        218799.00        146444.00       0.40151040
  6992.6438        217929.00        146903.00       0.39439682
  6997.7479        217151.00        147422.00       0.38729374
  7002.8605        216392.00        147964.00       0.38012258
  7007.9815        215547.00        148433.00       0.37304531
  7013.1110        214771.00        148949.00       0.36596838
  7018.2491        213983.00        149456.00       0.35889454
  7023.3957        213386.00        150094.00       0.35184097
  7028.5508        212649.00        150628.00       0.34482970
  7033.7146        211853.00        151121.00       0.33781180
  7038.8870        211101.00        151661.00       0.33068892
  7044.0680        210317.00        152174.00       0.32359131
  7049.2576        209530.00        152648.00       0.31673231
  7054.4559        208619.00        153041.00       0.30980376
  7059.6629        207553.00        153323.00       0.30283992
  7064.8786        205272.00        152845.00       0.29491159
  7070.1031        205521.00        154077.00       0.28809574
  7075.3363        207259.00        156072.00       0.28365178
  7080.5783        205459.00        155797.00       0.27669262
  7085.8290        204494.00        156025.00       0.27052238
  7091.0886        203615.00        156257.00       0.26472887
  7096.3570        202799.00        156412.00       0.25972179
  7101.6343        201967.00        156350.00       0.25600723
  7101.8772        201966.00        156352.00       0.25598949
  7102.1200        201891.00        156325.00       0.25579077
  7102.3629        201827.00        156284.00       0.25573603
  7102.6058        201721.00        156212.00       0.25567150
  7102.8487        201680.00        156180.00       0.25567309
  7103.0917        201601.00        156137.00       0.25555667
  7103.3346        201550.00        156104.00       0.25551504
  7103.5776        201475.00        156052.00       0.25547602
  7103.8206        201447.00        156051.00       0.25534344
  7104.0636        201394.00        156009.00       0.25534949
  7104.3067        201290.00        155923.00       0.25538436
  7104.5497        201240.00        155880.00       0.25541175
  7104.7928        201181.00        155844.00       0.25534949
  7105.0359        201080.00        155771.00       0.25531586
  7105.2790        201000.00        155684.00       0.25547660
  7105.5221        200953.00        155644.00       0.25549970
  7105.7653        200878.00        155559.00       0.25567268
  7106.0084        200820.00        155501.00       0.25575682
  7106.2516        200819.00        155484.00       0.25586117
  7106.4948        200787.00        155426.00       0.25607491
  7106.7381        200679.00        155303.00       0.25632857
  7106.9813        200625.00        155237.00       0.25648451
  7107.2246        200483.00        155075.00       0.25682058
  7107.4678        200467.00        155014.00       0.25713421
  7107.7111        200390.00        154900.00       0.25748572
  7107.9545        200381.00        154786.00       0.25817704
  7108.1978        200326.00        154689.00       0.25852939
  7108.4411        200293.00        154542.00       0.25931539
  7108.6845        200289.00        154437.00       0.25997508
  7108.9279        200193.00        154210.00       0.26096659
  7109.1713        200104.00        153947.00       0.26222884
  7109.4147        200005.00        153621.00       0.26385384
