# data: k, chik, win, fit_k, fit_chik, path1, path2
#------------------------
#   k         chik       win       k         chik      chik
  0.0000000        0.0000000        0.0000000        0.0000000        0.0000000       -1.5000000
  0.50000000E-01   0.34662285E-03    0.0000000       0.50000000E-01   0.19669902E-03   -1.4998033
  0.10000000       0.12456429E-02    0.0000000       0.10000000       0.79757461E-03   -1.4992024
  0.15000000       0.24857874E-02    0.0000000       0.15000000       0.18345684E-02   -1.4981654
  0.20000000       0.38557837E-02    0.0000000       0.20000000       0.33596301E-02   -1.4966404
  0.25000000       0.51443589E-02    0.0000000       0.25000000       0.54428794E-02   -1.4945571
  0.30000000       0.67240864E-02    0.0000000       0.30000000       0.82089876E-02   -1.4917910
  0.35000000       0.11865201E-01    0.0000000       0.35000000       0.11775804E-01   -1.4882242
  0.40000000       0.19040880E-01    0.0000000       0.40000000       0.16253438E-01   -1.4837466
  0.45000000       0.28651267E-01    0.0000000       0.45000000       0.21767871E-01   -1.4782321
  0.50000000       0.41041415E-01   0.20488476       0.50000000       0.28445126E-01   -1.4715549
  0.55000000       0.56516632E-01   0.21127048       0.55000000       0.36406867E-01   -1.4635931
  0.60000000       0.74731345E-01   0.21770999       0.60000000       0.45766211E-01   -1.4542338
  0.65000000       0.96474622E-01   0.22420223       0.65000000       0.56623819E-01   -1.4433762
  0.70000000       0.12104812       0.23074614       0.70000000       0.69064298E-01   -1.4309357
  0.75000000       0.14922363       0.23734061       0.75000000       0.83458666E-01   -1.4165413
  0.80000000       0.18230436       0.24398455       0.80000000       0.99692469E-01   -1.4003075
  0.85000000       0.22364275       0.25067681       0.85000000       0.11762881       -1.3823712
  0.90000000       0.27658807       0.25741627       0.90000000       0.13721151       -1.3627885
  0.95000000       0.33454524       0.26420175       0.95000000       0.15834607       -1.3416539
  1.0000000       0.40387028       0.27103206        1.0000000       0.18089865       -1.3191013
  1.0500000       0.49103751       0.27790601        1.0500000       0.20488275       -1.2951172
  1.1000000       0.58407427       0.28482238        1.1000000       0.22977163       -1.2702284
  1.1500000       0.67369958       0.29177993        1.1500000       0.25511683       -1.2448832
  1.2000000       0.74150515       0.29877740        1.2000000       0.28053753       -1.2194625
  1.2500000       0.77782055       0.30581353        1.2500000       0.30561524       -1.1943848
  1.3000000       0.78125256       0.31288704        1.3000000       0.32956513       -1.1704349
  1.3500000       0.74394339       0.31999661        1.3500000       0.35142362       -1.1485764
  1.4000000       0.64253667       0.32714093        1.4000000       0.37085386       -1.1291461
  1.4500000       0.56287344       0.33431867        1.4500000       0.38727077       -1.1127292
  1.5000000       0.47872015       0.34152847        1.5000000       0.40009858       -1.0999014
  1.5500000       0.36224441       0.34876899        1.5500000       0.40749013       -1.0925099
  1.6000000       0.29558666       0.35603883        1.6000000       0.40872536       -1.0912746
  1.6500000       0.23624744       0.36333661        1.6500000       0.40401961       -1.0959804
  1.7000000       0.19769344       0.37066092        1.7000000       0.39296074       -1.1070393
  1.7500000       0.13306015       0.37801034        1.7500000       0.37523332       -1.1247667
  1.8000000       0.69396925E-01   0.38538345        1.8000000       0.34671327       -1.1532867
  1.8500000       0.47617020E-02   0.39277880        1.8500000       0.31045505       -1.1895449
  1.9000000      -0.50910115E-01   0.40019494        1.9000000       0.26678812       -1.2332119
  1.9500000      -0.88914934E-01   0.40763039        1.9500000       0.21603311       -1.2839669
  2.0000000      -0.10361356       0.41508368        2.0000000       0.15655798       -1.3434420
  2.0500000      -0.82943831E-01   0.42255333        2.0500000       0.88491032E-01   -1.4115090
  2.1000000      -0.15021258E-01   0.43003782        2.1000000       0.15367470E-01   -1.4846325
  2.1500000       0.71152035E-01   0.43753566        2.1500000      -0.61649616E-01   -1.5616496
  2.2000000       0.18337801       0.44504532        2.2000000      -0.14150778       -1.6415078
  2.2500000       0.25385667       0.45256527        2.2500000      -0.22804452       -1.7280445
  2.3000000       0.25993854       0.46009398        2.3000000      -0.31272968       -1.8127297
  2.3500000       0.17690764       0.46762990        2.3500000      -0.39098029       -1.8909803
  2.4000000       0.83462838E-01   0.47517147        2.4000000      -0.45706956       -1.9570696
  2.4500000      -0.79088292E-01   0.48271714        2.4500000      -0.52369607       -2.0236961
  2.5000000      -0.21960726       0.49026534        2.5000000      -0.58794181       -2.0879418
  2.5500000      -0.36339286       0.49781449        2.5500000      -0.64112349       -2.1411235
  2.6000000      -0.49261909       0.50536302        2.6000000      -0.68053743       -2.1805374
  2.6500000      -0.60178791       0.51290932        2.6500000      -0.70805261       -2.2080526
  2.7000000      -0.68926279       0.52045182        2.7000000      -0.72589156       -2.2258916
  2.7500000      -0.76663793       0.52798891        2.7500000      -0.72826596       -2.2282660
  2.8000000      -0.83549798       0.53551899        2.8000000      -0.71472831       -2.2147283
  2.8500000      -0.89201750       0.54304046        2.8500000      -0.68546733       -2.1854673
  2.9000000      -0.93047761       0.55055171        2.9000000      -0.64235753       -2.1423575
  2.9500000      -0.94416799       0.55805112        2.9500000      -0.58588754       -2.0858875
  3.0000000      -0.92814030       0.56553708        3.0000000      -0.51713605       -2.0171360
  3.0500000      -0.88592450       0.57300797        3.0500000      -0.43748326       -1.9374833
  3.1000000      -0.83664633       0.58046217        3.1000000      -0.34547257       -1.8454726
  3.1500000      -0.77538779       0.58789807        3.1500000      -0.24596989       -1.7459699
  3.2000000      -0.70061269       0.59531404        3.2000000      -0.14125819       -1.6412582
  3.2500000      -0.59637442       0.60270846        3.2500000      -0.33667413E-01   -1.5336674
  3.3000000      -0.40678872       0.61007971        3.3000000       0.73421337E-01   -1.4265787
  3.3500000      -0.10691372       0.61742617        3.3500000       0.17799237       -1.3220076
  3.4000000       0.24080834       0.62474621        3.4000000       0.27797049       -1.2220295
  3.4500000       0.56769576       0.63203823        3.4500000       0.37118160       -1.1288184
  3.5000000       0.87333761       0.63930060        3.5000000       0.45671562       -1.0432844
  3.5500000        1.1376745       0.64653172        3.5500000       0.53187437      -0.96812563
  3.6000000        1.3213211       0.65372996        3.6000000       0.59429293      -0.90570707
  3.6500000        1.4397989       0.66089373        3.6500000       0.64266420      -0.85733580
  3.7000000        1.4888290       0.66802142        3.7000000       0.67577436      -0.82422564
  3.7500000        1.4466247       0.67511143        3.7500000       0.69331586      -0.80668414
  3.8000000        1.3054115       0.68216217        3.8000000       0.69548799      -0.80451201
  3.8500000        1.0914310       0.68917205        3.8500000       0.68249539      -0.81750461
  3.9000000       0.84905285       0.69613948        3.9000000       0.65500528      -0.84499472
  3.9500000       0.61142941       0.70306289        3.9500000       0.61391904      -0.88608096
  4.0000000       0.39384299       0.70994070        4.0000000       0.56025831      -0.93974169
  4.0500000       0.21667934       0.71677137        4.0500000       0.49554947       -1.0044505
  4.1000000       0.25645854E-01   0.72355332        4.1000000       0.42172851       -1.0782715
  4.1500000      -0.17351813       0.73028501        4.1500000       0.34084093       -1.1591591
  4.2000000      -0.36552506       0.73696490        4.2000000       0.25431732       -1.2456827
  4.2500000      -0.54147327       0.74359147        4.2500000       0.16434826       -1.3356517
  4.3000000      -0.67228767       0.75016319        4.3000000       0.73121990E-01   -1.4268780
  4.3500000      -0.73370419       0.75667854        4.3500000      -0.17497735E-01   -1.5174977
  4.4000000      -0.71625543       0.76313604        4.4000000      -0.10514584       -1.6051458
  4.4500000      -0.62790700       0.76953419        4.4500000      -0.18777084       -1.6877708
  4.5000000      -0.49954581       0.77587151        4.5000000      -0.26355843       -1.7635584
  4.5500000      -0.37030021       0.78214653        4.5500000      -0.33228695       -1.8322870
  4.6000000      -0.27904227       0.78835780        4.6000000      -0.39135794       -1.8913579
  4.6500000      -0.25110657       0.79450388        4.6500000      -0.43957927       -1.9395793
  4.7000000      -0.26649031       0.80058334        4.7000000      -0.47607097       -1.9760710
  4.7500000      -0.28293332       0.80659475        4.7500000      -0.50113898       -2.0011390
  4.8000000      -0.26613297       0.81253673        4.8000000      -0.51400646       -2.0140065
  4.8500000      -0.20315249       0.81840787        4.8500000      -0.51468574       -2.0146857
  4.9000000      -0.81049097E-01   0.82420681        4.9000000      -0.50353516       -2.0035352
  4.9500000       0.90671232E-01   0.82993218        4.9500000      -0.48224650       -1.9822465
  5.0000000       0.28882438       0.83558265        5.0000000      -0.45055079       -1.9505508
  5.0500000       0.45522116       0.84115689        5.0500000      -0.40939208       -1.9093921
  5.1000000       0.52394456       0.84665358        5.1000000      -0.36009441       -1.8600944
  5.1500000       0.47040234       0.85207142        5.1500000      -0.30416243       -1.8041624
  5.2000000       0.31052525       0.85740915        5.2000000      -0.24278294       -1.7427829
  5.2500000       0.73978886E-01   0.86266551        5.2500000      -0.17764195       -1.6776419
  5.3000000      -0.20981964       0.86783924        5.3000000      -0.11052581       -1.6105258
  5.3500000      -0.51402770       0.87292912        5.3500000      -0.43221583E-01   -1.5432216
  5.4000000      -0.80574101       0.87793395        5.4000000       0.22730017E-01   -1.4772700
  5.4500000       -1.0035612       0.88285255        5.4500000       0.85714526E-01   -1.4142855
  5.5000000       -1.0461352       0.88768373        5.5000000       0.14421903       -1.3557810
  5.5500000      -0.84549942       0.89242636        5.5500000       0.19763964       -1.3023604
  5.6000000      -0.57997391       0.89707931        5.6000000       0.24450780       -1.2554922
  5.6500000      -0.22028863       0.90164146        5.6500000       0.28349747       -1.2165025
  5.7000000       0.11866951       0.90611173        5.7000000       0.31387437       -1.1861256
  5.7500000       0.34332804       0.91048906        5.7500000       0.33567655       -1.1643235
  5.8000000       0.43901192       0.91477239        5.8000000       0.34845410       -1.1515459
  5.8500000       0.43829413       0.91896071        5.8500000       0.35189157       -1.1481084
  5.9000000       0.40593267       0.92305300        5.9000000       0.34626140       -1.1537386
  5.9500000       0.39942131       0.92704830        5.9500000       0.33269788       -1.1673021
  6.0000000       0.45547096       0.93094564        6.0000000       0.31145437       -1.1885456
  6.0500000       0.56957838       0.93474409        6.0500000       0.28283541       -1.2171646
  6.1000000       0.70675580       0.93844273        6.1000000       0.24790373       -1.2520963
  6.1500000       0.82598943       0.94204069        6.1500000       0.20786556       -1.2921344
  6.2000000       0.91860522       0.94553708        6.2000000       0.16402990       -1.3359701
  6.2500000       0.95900641       0.94893108        6.2500000       0.11776596       -1.3822340
  6.3000000       0.91952105       0.95222186        6.3000000       0.70460028E-01   -1.4295400
  6.3500000       0.80559609       0.95540864        6.3500000       0.23473323E-01   -1.4765267
  6.4000000       0.61408891       0.95849063        6.4000000      -0.21898049E-01   -1.5218980
  6.4500000       0.33695471       0.96146711        6.4500000      -0.64989325E-01   -1.5649893
  6.5000000       0.13940221E-01   0.96433735        6.5000000      -0.10512738       -1.6051274
  6.5500000      -0.35039833       0.96710066        6.5500000      -0.14073894       -1.6407389
  6.6000000      -0.70695811       0.96975638        6.6000000      -0.17099071       -1.6709907
  6.6500000       -1.0251701       0.97230385        6.6500000      -0.19524018       -1.6952402
  6.7000000       -1.2191749       0.97474247        6.7000000      -0.21304819       -1.7130482
  6.7500000       -1.2843937       0.97707164        6.7500000      -0.22418468       -1.7241847
  6.8000000       -1.2383607       0.97929080        6.8000000      -0.22862770       -1.7286277
  6.8500000       -1.0620235       0.98139941        6.8500000      -0.22655587       -1.7265559
  6.9000000      -0.80542408       0.98339696        6.9000000      -0.21833474       -1.7183347
  6.9500000      -0.52491428       0.98528298        6.9500000      -0.20485829       -1.7048583
  7.0000000      -0.23554629       0.98705699        7.0000000      -0.18696576       -1.6869658
  7.0500000       0.27464327E-01   0.98871857        7.0500000      -0.16458587       -1.6645859
  7.1000000       0.22535024       0.99026733        7.1000000      -0.13855135       -1.6385514
  7.1500000       0.38031091       0.99170287        7.1500000      -0.10977090       -1.6097709
  7.2000000       0.48176994       0.99302486        7.2000000      -0.79198248E-01   -1.5791982
  7.2500000       0.54931797       0.99423297        7.2500000      -0.47801024E-01   -1.5478010
  7.3000000       0.58161116       0.99532690        7.3000000      -0.16530323E-01   -1.5165303
  7.3500000       0.57800634       0.99630641        7.3500000       0.13708019E-01   -1.4862920
  7.4000000       0.54313213       0.99717123        7.4000000       0.42079582E-01   -1.4579204
  7.4500000       0.47787830       0.99792117        7.4500000       0.68009887E-01   -1.4319901
  7.5000000       0.38351757       0.99855605        7.5000000       0.91360722E-01   -1.4086393
  7.5500000       0.27075688       0.99907570        7.5500000       0.11115593       -1.3888441
  7.6000000       0.14138557       0.99948001        7.6000000       0.12695798       -1.3730420
  7.6500000       0.19177526E-01   0.99976887        7.6500000       0.13846671       -1.3615333
  7.7000000      -0.77131493E-01   0.99994221        7.7000000       0.14552325       -1.3544767
  7.7500000      -0.13544412        1.0000000        7.7500000       0.14810937       -1.3518906
  7.8000000      -0.14813277       0.99994221        7.8000000       0.14634239       -1.3536576
  7.8500000      -0.15034427       0.99976887        7.8500000       0.14046603       -1.3595340
  7.9000000      -0.17283366       0.99948001        7.9000000       0.13083762       -1.3691624
  7.9500000      -0.21619551       0.99907570        7.9500000       0.11797308       -1.3820269
  8.0000000      -0.26173042       0.99855605        8.0000000       0.10255482       -1.3974452
  8.0500000      -0.29769431       0.99792117        8.0500000       0.84790208E-01   -1.4152098
  8.1000000      -0.31305814       0.99717123        8.1000000       0.65302210E-01   -1.4346978
  8.1500000      -0.26415178       0.99630641        8.1500000       0.44741058E-01   -1.4552589
  8.2000000      -0.21616573       0.99532690        8.2000000       0.23763051E-01   -1.4762369
  8.2500000      -0.13424525       0.99423297        8.2500000       0.30099547E-02   -1.4969900
  8.3000000      -0.43592041E-01   0.99302486        8.3000000      -0.16910307E-01   -1.5169103
  8.3500000       0.10242111       0.99170287        8.3500000      -0.35441121E-01   -1.5354411
  8.4000000       0.22439451       0.99026733        8.4000000      -0.52092314E-01   -1.5520923
  8.4500000       0.31998648       0.98871857        8.4500000      -0.66479267E-01   -1.5664793
  8.5000000       0.38888906       0.98705699        8.5000000      -0.78508285E-01   -1.5785083
  8.5500000       0.40930032       0.98528298        8.5500000      -0.87692202E-01   -1.5876922
  8.6000000       0.37059248       0.98339696        8.6000000      -0.93876705E-01   -1.5938767
  8.6500000       0.29000532       0.98139941        8.6500000      -0.97006430E-01   -1.5970064
  8.7000000       0.16720849       0.97929080        8.7000000      -0.97122513E-01   -1.5971225
  8.7500000       0.25878518E-01   0.97707164        8.7500000      -0.94357164E-01   -1.5943572
  8.8000000      -0.14052509       0.97474247        8.8000000      -0.88925558E-01   -1.5889256
  8.8500000      -0.27159267       0.97230385        8.8500000      -0.81115419E-01   -1.5811154
  8.9000000      -0.34121056       0.96975638        8.9000000      -0.71274741E-01   -1.5712747
  8.9500000      -0.38046024       0.96710066        8.9500000      -0.59795503E-01   -1.5597955
  9.0000000      -0.37885007       0.96433735        9.0000000      -0.47009074E-01   -1.5470091
  9.0500000      -0.16426397       0.96146711        9.0500000      -0.33412065E-01   -1.5334121
  9.1000000      -0.19076859       0.95849063        9.1000000      -0.19464165E-01   -1.5194642
  9.1500000      -0.29369177       0.95540864        9.1500000      -0.56144032E-02   -1.5056144
  9.2000000      -0.23427832       0.95222186        9.2000000       0.77127876E-02   -1.4922872
  9.2500000      -0.16489402       0.94893108        9.2500000       0.20130069E-01   -1.4798699
  9.3000000      -0.81122290E-01   0.94553708        9.3000000       0.31297894E-01   -1.4687021
  9.3500000       0.18330121E-01   0.94204069        9.3500000       0.40933136E-01   -1.4590669
  9.4000000       0.12440329       0.93844273        9.4000000       0.48815458E-01   -1.4511845
  9.4500000       0.22960705       0.93474409        9.4500000       0.54791310E-01   -1.4452087
  9.5000000       0.30960105       0.93094564        9.5000000       0.58867210E-01   -1.4411328
  9.5500000       0.36090450       0.92704830        9.5500000       0.60901194E-01   -1.4390988
  9.6000000       0.38158926       0.92305300        9.6000000       0.60934543E-01   -1.4390655
  9.6500000       0.37854595       0.91896071        9.6500000       0.59072996E-01   -1.4409270
  9.7000000       0.35902003       0.91477239        9.7000000       0.55477994E-01   -1.4445220
  9.7500000       0.27967155       0.91048906        9.7500000       0.50358467E-01   -1.4496415
  9.8000000       0.15759644       0.90611173        9.8000000       0.43961450E-01   -1.4560385
  9.8500000       0.38418096E-01   0.90164146        9.8500000       0.36561904E-01   -1.4634381
  9.9000000      -0.79518729E-01   0.89707931        9.9000000       0.28452129E-01   -1.4715479
  9.9500000      -0.15607891       0.89242636        9.9500000       0.19931150E-01   -1.4800688
  10.000000      -0.19671397       0.88768373        10.000000       0.11246548E-01   -1.4887535
  10.050000      -0.20874503       0.88285255        10.050000       0.26655447E-02   -1.4973345
  10.100000      -0.18361962       0.87793395        10.100000      -0.55394141E-02   -1.5055394
  10.150000      -0.16488466       0.87292912        10.150000      -0.13123628E-01   -1.5131236
  10.200000      -0.14946509       0.86783924        10.200000      -0.19875708E-01   -1.5198757
  10.250000      -0.13212687       0.86266551        10.250000      -0.25622881E-01   -1.5256229
  10.300000      -0.13035623       0.85740915        10.300000      -0.30234718E-01   -1.5302347
  10.350000      -0.12515665       0.85207142        10.350000      -0.33625227E-01   -1.5336252
  10.400000      -0.11481550       0.84665358        10.400000      -0.35753332E-01   -1.5357533
  10.450000      -0.97879214E-01   0.84115689        10.450000      -0.36621802E-01   -1.5366218
  10.500000      -0.61323866E-01   0.83558265        10.500000      -0.36274745E-01   -1.5362747
  10.550000      -0.97149349E-01   0.82993218        10.550000      -0.34793841E-01   -1.5347938
  10.600000      -0.10297124       0.82420681        10.600000      -0.32293490E-01   -1.5322935
  10.650000       0.68948418E-01   0.81840787        10.650000      -0.28915130E-01   -1.5289151
  10.700000       0.91909279E-01   0.81253673        10.700000      -0.24820935E-01   -1.5248209
  10.750000       0.14092233       0.80659475        10.750000      -0.20187169E-01   -1.5201872
  10.800000       0.18613482       0.80058334        10.800000      -0.15197437E-01   -1.5151974
  10.850000       0.18289099       0.79450388        10.850000      -0.10036067E-01   -1.5100361
  10.900000       0.15952964       0.78835780        10.900000      -0.48818542E-02   -1.5048819
  10.950000       0.12672139       0.78214653        10.950000       0.97643781E-04   -1.4999024
  11.000000       0.91713700E-01   0.77587151        11.000000       0.48511485E-02   -1.4951489
  11.050000       0.54777422E-01   0.76953419        11.050000       0.92109722E-02   -1.4907890
  11.100000       0.18590856E-01   0.76313604        11.100000       0.13039968E-01   -1.4869600
  11.150000       0.71904628E-02   0.75667854        11.150000       0.16238825E-01   -1.4837612
  11.200000      -0.56749309E-02   0.75016319        11.200000       0.18734574E-01   -1.4812654
  11.250000      -0.42507967E-01   0.74359147        11.250000       0.20481699E-01   -1.4795183
