# data: k, chik, win, fit_k, fit_chik, path1, path2
#------------------------
#   k         chik       win       k         chik      chik      chik
  0.0000000        0.0000000        0.0000000        0.0000000        0.0000000       -1.5000000       -2.0000000
  0.50000000E-01   0.34662285E-03   0.92945984E-01   0.50000000E-01   0.31646637E-03   -1.4999815       -1.9997020
  0.10000000       0.12456429E-02   0.97494145E-01   0.10000000       0.12871355E-02   -1.4999087       -1.9988041
  0.15000000       0.24857874E-02   0.10212473       0.15000000       0.29743672E-02   -1.4997302       -1.9972954
  0.20000000       0.38557837E-02   0.10683742       0.20000000       0.54774656E-02   -1.4993633       -1.9951593
  0.25000000       0.51443589E-02   0.11163187       0.25000000       0.89263984E-02   -1.4986976       -1.9923760
  0.30000000       0.67240864E-02   0.11650770       0.30000000       0.13474139E-01   -1.4975999       -1.9889259
  0.35000000       0.11865201E-01   0.12146449       0.35000000       0.19288415E-01   -1.4959192       -1.9847923
  0.40000000       0.19040880E-01   0.12650180       0.40000000       0.26543528E-01   -1.4934914       -1.9799650
  0.45000000       0.28651267E-01   0.13161915       0.45000000       0.35701656E-01   -1.4897986       -1.9744997
  0.50000000       0.41041415E-01   0.13681602       0.50000000       0.46792899E-01   -1.4847807       -1.9684264
  0.55000000       0.56516632E-01   0.14209186       0.55000000       0.59922174E-01   -1.4782749       -1.9618030
  0.60000000       0.74731345E-01   0.14744609       0.60000000       0.75193542E-01   -1.4700903       -1.9547162
  0.65000000       0.96474622E-01   0.15287809       0.65000000       0.92673035E-01   -1.4600490       -1.9472779
  0.70000000       0.12104812       0.15838721       0.70000000       0.11238540       -1.4479895       -1.9396251
  0.75000000       0.14922363       0.16397278       0.75000000       0.13451563       -1.4332415       -1.9322429
  0.80000000       0.18230436       0.16963406       0.80000000       0.15885077       -1.4155962       -1.9255530
  0.85000000       0.22364275       0.17537032       0.85000000       0.18495104       -1.3954681       -1.9195809
  0.90000000       0.27658807       0.18118077       0.90000000       0.21255064       -1.3728443       -1.9146050
  0.95000000       0.33454524       0.18706459       0.95000000       0.24133756       -1.3477532       -1.9109092
  1.0000000       0.40387028       0.19302093        1.0000000       0.27077850       -1.3198452       -1.9093763
  1.0500000       0.49103751       0.19904890        1.0500000       0.29989653       -1.2889931       -1.9111104
  1.1000000       0.58407427       0.20514760        1.1000000       0.32832062       -1.2562633       -1.9154160
  1.1500000       0.67369958       0.21131608        1.1500000       0.35553638       -1.2219826       -1.9224811
  1.2000000       0.74150515       0.21755335        1.2000000       0.38104343       -1.1865304       -1.9324261
  1.2500000       0.77782055       0.22385840        1.2500000       0.40281507       -1.1501082       -1.9470767
