# data from ifeffit
#------------------------
#   r         chir_mag       chir_mag      chir_re       chir_re
  0.0000000       0.38636650E-01   0.84057202E-02   0.38636650E-01   0.84057202E-02
  0.30679616E-01   0.38950248E-01   0.85578410E-02   0.38947268E-01   0.84989250E-02
  0.61359232E-01   0.39729079E-01   0.90025083E-02   0.39704942E-01   0.87799158E-02
  0.92038847E-01   0.40595446E-01   0.97051677E-02   0.40493131E-01   0.92488138E-02
  0.12271846       0.41185964E-01   0.10614122E-01   0.40905853E-01   0.98970925E-02
  0.15339808       0.41341768E-01   0.11675870E-01   0.40790750E-01   0.10706388E-01
  0.18407769       0.41174591E-01   0.12855391E-01   0.40328979E-01   0.11658905E-01
  0.21475731       0.40992616E-01   0.14150422E-01   0.39899933E-01   0.12754542E-01
  0.24543693       0.41110121E-01   0.15590518E-01   0.39820788E-01   0.14022206E-01
  0.27611654       0.41640251E-01   0.17219646E-01   0.40142700E-01   0.15514744E-01
  0.30679616       0.42434006E-01   0.19071583E-01   0.40657878E-01   0.17287813E-01
  0.33747577       0.43241835E-01   0.21153292E-01   0.41128251E-01   0.19374778E-01
  0.36815539       0.43988872E-01   0.23445993E-01   0.41575012E-01   0.21773118E-01
  0.39883500       0.44969399E-01   0.25920991E-01   0.42393453E-01   0.24450103E-01
  0.42951462       0.46788593E-01   0.28558786E-01   0.44153155E-01   0.27362575E-01
  0.46019424       0.49986773E-01   0.31361123E-01   0.47167034E-01   0.30477482E-01
  0.49087385       0.54578602E-01   0.34352819E-01   0.51114298E-01   0.33782163E-01
  0.52155347       0.59943303E-01   0.37577606E-01   0.55021748E-01   0.37283645E-01
  0.55223308       0.65151640E-01   0.41095615E-01   0.57696867E-01   0.41005005E-01
  0.58291270       0.69416873E-01   0.44987589E-01   0.58386861E-01   0.44986625E-01
  0.61359232       0.72425264E-01   0.49364184E-01   0.57236811E-01   0.49290788E-01
  0.64427193       0.74472089E-01   0.54372461E-01   0.55209180E-01   0.53997790E-01
  0.67495155       0.76352468E-01   0.60190799E-01   0.53480521E-01   0.59179785E-01
  0.70563116       0.78972742E-01   0.67009517E-01   0.52715607E-01   0.64848043E-01
  0.73631078       0.82838376E-01   0.75003710E-01   0.52743053E-01   0.70884070E-01
  0.76699039       0.87828377E-01   0.84310192E-01   0.52889519E-01   0.76974870E-01
  0.79767001       0.93533787E-01   0.95017468E-01   0.52726594E-01   0.82571421E-01
  0.82834963       0.99944190E-01   0.10716910       0.52606458E-01   0.86879547E-01
  0.85902924       0.10799011       0.12077413       0.53425034E-01   0.88882481E-01
  0.88970886       0.11947142       0.13581749       0.55575333E-01   0.87391250E-01
  0.92038847       0.13617247       0.15226737       0.57707301E-01   0.81121903E-01
  0.95106809       0.15872260       0.17008101       0.56215270E-01   0.68800381E-01
  0.98174770       0.18619952       0.18921212       0.46047014E-01   0.49290578E-01
  1.0124273       0.21664611       0.20962147       0.22618602E-01   0.21730889E-01
  1.0431069       0.24787567       0.23128852      -0.16151538E-01  -0.14340809E-01
  1.0737866       0.27811955       0.25421888      -0.68856073E-01  -0.58885331E-01
  1.1044662       0.30642287       0.27844143      -0.13123346      -0.11127435
  1.1351458       0.33277909       0.30399199      -0.19798324      -0.17018865
  1.1658254       0.35797882       0.33088501      -0.26456198      -0.23347624
  1.1965050       0.38318285       0.35907925      -0.32779593      -0.29797331
  1.2271846       0.40934365       0.38844544      -0.38498593      -0.35933869
  1.2578642       0.43671775       0.41874183      -0.43226782      -0.41199386
  1.2885439       0.46470208       0.44959912      -0.46357165      -0.44927680
  1.3192235       0.49205274       0.48051216      -0.47117584      -0.46390233
  1.3499031       0.51733818       0.51083468      -0.44780135      -0.44878352
  1.3805827       0.53939737       0.53977569      -0.38916376      -0.39821412
  1.4112623       0.55762288       0.56640082      -0.29562095      -0.30933411
  1.4419419       0.57198951       0.58964589      -0.17221229      -0.18368286
  1.4726216       0.58284405       0.60835121      -0.27491690E-01  -0.28487514E-01
  1.5033012       0.59054995       0.62132236       0.12771977       0.14281153
  1.5339808       0.59513336       0.62741719       0.28075902       0.31132810
  1.5646604       0.59607760       0.62565179       0.41684811       0.45512967
