# data: r, chi, fit, path1, path2
#------------------------
#   r         chir_mag       chir_mag      chir_mag        chir_mag        chir_re       chir_re
  0.0000000       0.26707228E-01   0.10141895E-01   0.12525567E-01   0.24022246E-02   0.26707228E-01   0.10141895E-01
  0.30679616E-01   0.26752667E-01   0.10296047E-01   0.12614637E-01   0.24047668E-02   0.26746618E-01   0.10255993E-01
  0.61359232E-01   0.26909204E-01   0.10736838E-01   0.12872214E-01   0.24143481E-02   0.26885003E-01   0.10589789E-01
  0.92038847E-01   0.27209766E-01   0.11410142E-01   0.13274724E-01   0.24359813E-02   0.27152271E-01   0.11120185E-01
  0.12271846       0.27640880E-01   0.12253281E-01   0.13796828E-01   0.24753276E-02   0.27523516E-01   0.11816328E-01
  0.15339808       0.28106739E-01   0.13216721E-01   0.14422741E-01   0.25355017E-02   0.27882834E-01   0.12649531E-01
  0.18407769       0.28455767E-01   0.14275577E-01   0.15151420E-01   0.26148290E-02   0.28061803E-01   0.13603333E-01
  0.21475731       0.28559409E-01   0.15430404E-01   0.15995210E-01   0.27073384E-02   0.27942286E-01   0.14679633E-01
  0.24543693       0.28396773E-01   0.16699452E-01   0.16974656E-01   0.28061836E-02   0.27556745E-01   0.15897518E-01
  0.27611654       0.28097694E-01   0.18106113E-01   0.18112458E-01   0.29081725E-02   0.27109711E-01   0.17284457E-01
  0.30679616       0.27914598E-01   0.19667004E-01   0.19428118E-01   0.30168664E-02   0.26895987E-01   0.18863702E-01
  0.33747577       0.28124874E-01   0.21386251E-01   0.20933705E-01   0.31425394E-02   0.27169049E-01   0.20644325E-01
  0.36815539       0.28919517E-01   0.23258308E-01   0.22631183E-01   0.32989983E-02   0.28053409E-01   0.22619354E-01
  0.39883500       0.30367460E-01   0.25276961E-01   0.24512539E-01   0.34990505E-02   0.29556788E-01   0.24772830E-01
  0.42951462       0.32476744E-01   0.27445147E-01   0.26563944E-01   0.37511053E-02   0.31646134E-01   0.27091342E-01
  0.46019424       0.35256982E-01   0.29780790E-01   0.28773908E-01   0.40581372E-02   0.34285343E-01   0.29573224E-01
  0.49087385       0.38685238E-01   0.32317126E-01   0.31143614E-01   0.44181662E-02   0.37362955E-01   0.32231016E-01
  0.52155347       0.42599176E-01   0.35099947E-01   0.33696591E-01   0.48248276E-02   0.40555959E-01   0.35088264E-01
  0.55223308       0.46636050E-01   0.38186346E-01   0.36485311E-01   0.52678614E-02   0.43282238E-01   0.38175924E-01
  0.58291270       0.50301093E-01   0.41648370E-01   0.39593780E-01   0.57345183E-02   0.44874480E-01   0.41532818E-01
  0.61359232       0.53146956E-01   0.45580750E-01   0.43136695E-01   0.62124891E-02   0.44941929E-01   0.45208607E-01
  0.64427193       0.54986738E-01   0.50107445E-01   0.47256169E-01   0.66934907E-02   0.43691287E-01   0.49260923E-01
  0.67495155       0.56052146E-01   0.55380175E-01   0.52116108E-01   0.71755445E-02   0.41934324E-01   0.53736103E-01
  0.70563116       0.56998569E-01   0.61565417E-01   0.57893088E-01   0.76623061E-02   0.40701647E-01   0.58628338E-01
  0.73631078       0.58670883E-01   0.68822886E-01   0.64762763E-01   0.81596044E-02   0.40694340E-01   0.63822582E-01
  0.76699039       0.61697873E-01   0.77283926E-01   0.72883083E-01   0.86715756E-02   0.41980590E-01   0.69036046E-01
  0.79767001       0.66263085E-01   0.87038357E-01   0.82378437E-01   0.91996831E-02   0.44189792E-01   0.73775861E-01
  0.82834963       0.72367304E-01   0.98133199E-01   0.93329658E-01   0.97462856E-02   0.47037028E-01   0.77325533E-01
  0.85902924       0.80385327E-01   0.11058059       0.10577293       0.10321072E-01   0.50650928E-01   0.78763965E-01
  0.88970886       0.91350808E-01   0.12436935       0.11970720       0.10945979E-01   0.55225937E-01   0.77013814E-01
  0.92038847       0.10656387       0.13947571       0.13510707       0.11654140E-01   0.60037523E-01   0.70913629E-01
  0.95106809       0.12673208       0.15587137       0.15193730       0.12481599E-01   0.62500283E-01   0.59309096E-01
  0.98174770       0.15139550       0.17352969       0.17016553       0.13455480E-01   0.58176525E-01   0.41159126E-01
  1.0124273       0.17904982       0.19243071       0.18977136       0.14585463E-01   0.42154743E-01   0.15650835E-01
  1.0431069       0.20770178       0.21256524       0.21075053       0.15863403E-01   0.11255633E-01  -0.17683930E-01
  1.0737866       0.23548674       0.23393606       0.23311414       0.17270117E-01  -0.34224902E-01  -0.58855084E-01
