 name:     FeO                                           Feff  6.01a  potph 4.12
 formula:  FeO
 sites:    Fe1,O1
 refer1:   wyckoff 1,III,88
 refer2:   (who also gives lattice constant a=4.3108)
 schoen:
 notes1:   salt, halite
 Abs   Z=26 Rmt= 1.197 Rnm= 1.402 K shell
 Pot 1 Z= 8 Rmt= 0.937 Rnm= 1.103
 Pot 2 Z=26 Rmt= 1.203 Rnm= 1.418
 Gam_ch=1.325E+00 H-L exch
 Mu=-4.210E+00 kf=2.067E+00 Vint=-2.048E+01 Rs_int= 1.755
 -------------------------------------------------------------------------------
    file        sig2   amp ratio    deg    nlegs  r effective
 feff0001.dat 0.00000   100.000     6.000     2   2.1387
 feff0002.dat 0.00000    90.378    12.000     2   3.0246
 feff0003.dat 0.00000    13.983    24.000     3   3.6510
 feff0004.dat 0.00000    19.691    48.000     3   3.6510
 feff0005.dat 0.00000    34.868     8.000     2   3.7043
 feff0006.dat 0.00000    19.562     6.000     2   4.2774
 feff0007.dat 0.00000    14.178     6.000     3   4.2774
 feff0008.dat 0.00000    48.598    12.000     3   4.2774
 feff0009.dat 0.00000    12.107     6.000     4   4.2774
 feff0010.dat 0.00000     4.504     6.000     4   4.2774
 feff0011.dat 0.00000    30.159     6.000     4   4.2774
 feff0012.dat 0.00000     7.355    24.000     4   4.2774
 feff0014.dat 0.00000     6.625    48.000     3   4.4338
 feff0015.dat 0.00000    21.110    48.000     3   4.4338
 feff0016.dat 0.00000    25.967    48.000     3   4.4338
 feff0017.dat 0.00000     7.700    48.000     3   4.5369
 feff0018.dat 0.00000    52.946    24.000     2   4.7823
 feff0019.dat 0.00000    21.204    48.000     3   4.9728
 feff0020.dat 0.00000    47.462    48.000     3   4.9728
 feff0021.dat 0.00000    31.038    48.000     3   4.9728
 feff0022.dat 0.00000     8.666    96.000     4   5.0602
 feff0023.dat 0.00000     6.838    48.000     3   5.1633
 feff0024.dat 0.00000     4.954    24.000     4   5.1633
 feff0025.dat 0.00000     3.633    48.000     4   5.1633
 feff0026.dat 0.00000     6.244    48.000     4   5.1633
 feff0027.dat 0.00000     9.798    48.000     4   5.1633
 feff0028.dat 0.00000    10.512    24.000     4   5.1633
 feff0029.dat 0.00000    16.760    24.000     4   5.1633
 feff0031.dat 0.00000     4.700    24.000     4   5.1633
 feff0032.dat 0.00000     5.205    24.000     4   5.1633
 feff0033.dat 0.00000     5.754    48.000     4   5.1633
 feff0034.dat 0.00000     8.915    96.000     4   5.1633
 feff0035.dat 0.00000    14.603    48.000     4   5.1633
 feff0036.dat 0.00000     9.106    48.000     4   5.1633
 feff0037.dat 0.00000     2.678    96.000     4   5.1633
 feff0038.dat 0.00000    45.969    24.000     2   5.2387
