# data: k, chik, win, fit_k, fit_chik, path1, path2
#------------------------
#   k         chik       win       k         chik      chik
  0.0000000        0.0000000        0.0000000        0.0000000        0.0000000       -1.5000000
  0.50000000E-01   0.34605100E-03    0.0000000       0.50000000E-01   0.19593347E-03   -1.4998041
  0.10000000       0.12417166E-02    0.0000000       0.10000000       0.79433020E-03   -1.4992057
  0.15000000       0.24732657E-02    0.0000000       0.15000000       0.18265896E-02   -1.4981734
  0.20000000       0.38269672E-02    0.0000000       0.20000000       0.33437721E-02   -1.4966562
  0.25000000       0.50890900E-02    0.0000000       0.25000000       0.54147820E-02   -1.4945852
  0.30000000       0.66205637E-02    0.0000000       0.30000000       0.81622183E-02   -1.4918378
  0.35000000       0.11684780E-01    0.0000000       0.35000000       0.11702043E-01   -1.4882980
  0.40000000       0.18753616E-01    0.0000000       0.40000000       0.16142390E-01   -1.4838576
  0.45000000       0.28220912E-01    0.0000000       0.45000000       0.21607044E-01   -1.4783930
  0.50000000       0.40426892E-01    0.0000000       0.50000000       0.28219785E-01   -1.4717802
  0.55000000       0.55673038E-01   0.21127048       0.55000000       0.36100063E-01   -1.4638999
  0.60000000       0.73617383E-01   0.21770999       0.60000000       0.45358868E-01   -1.4546411
  0.65000000       0.95038151E-01   0.22420223       0.65000000       0.56094887E-01   -1.4439051
  0.70000000       0.11924814       0.23074614       0.70000000       0.68390965E-01   -1.4316090
  0.75000000       0.14700604       0.23734061       0.75000000       0.82610901E-01   -1.4173891
  0.80000000       0.17959489       0.24398455       0.80000000       0.98641781E-01   -1.4013582
  0.85000000       0.22031637       0.25067681       0.85000000       0.11634826       -1.3836517
  0.90000000       0.27247717       0.25741627       0.90000000       0.13567430       -1.3643257
  0.95000000       0.32957500       0.26420175       0.95000000       0.15652616       -1.3434738
  1.0000000       0.39786892       0.27103206        1.0000000       0.17877133       -1.3212287
  1.0500000       0.48376691       0.27790601        1.0500000       0.20239150       -1.2976085
  1.1000000       0.57540455       0.28482238        1.1000000       0.22687582       -1.2731242
  1.1500000       0.66371227       0.29177993        1.1500000       0.25179354       -1.2482065
  1.2000000       0.73053016       0.29877740        1.2000000       0.27676917       -1.2232308
  1.2500000       0.76632372       0.30581353        1.2500000       0.30139052       -1.1986095
  1.3000000       0.76971684       0.31288704        1.3000000       0.32493908       -1.1750609
  1.3500000       0.73292816       0.31999661        1.3500000       0.34648732       -1.1535127
  1.4000000       0.63307763       0.32714093        1.4000000       0.36564486       -1.1343551
  1.4500000       0.55458816       0.33431867        1.4500000       0.38183441       -1.1181656
  1.5000000       0.47163170       0.34152847        1.5000000       0.39448757       -1.1055124
  1.5500000       0.35688047       0.34876899        1.5500000       0.40172745       -1.0982726
  1.6000000       0.29123988       0.35603883        1.6000000       0.40285637       -1.0971436
  1.6500000       0.23277185       0.36333661        1.6500000       0.39812363       -1.1018764
  1.7000000       0.19476578       0.37066092        1.7000000       0.38712426       -1.1128757
  1.7500000       0.13108944       0.37801034        1.7500000       0.36954875       -1.1304512
  1.8000000       0.68388433E-01   0.38538345        1.8000000       0.34133975       -1.1586602
  1.8500000       0.46905674E-02   0.39277880        1.8500000       0.30550812       -1.1944919
  1.9000000      -0.50143084E-01   0.40019494        1.9000000       0.26238070       -1.2376193
  1.9500000      -0.87599090E-01   0.40763039        1.9500000       0.21227505       -1.2877249
  2.0000000      -0.10208007       0.41508368        2.0000000       0.15358039       -1.3464196
  2.0500000      -0.81716364E-01   0.42255333        2.0500000       0.86421949E-01   -1.4135781
  2.1000000      -0.14799408E-01   0.43003782        2.1000000       0.14290830E-01   -1.4857092
  2.1500000       0.70098040E-01   0.43753566        2.1500000      -0.61665809E-01   -1.5616658
  2.2000000       0.18066245       0.44504532        2.2000000      -0.14029990       -1.6402999
  2.2500000       0.25009765       0.45256527        2.2500000      -0.22306532       -1.7230653
  2.3000000       0.25608951       0.46009398        2.3000000      -0.30411529       -1.8041153
  2.3500000       0.17428801       0.46762990        2.3500000      -0.37919281       -1.8791928
  2.4000000       0.82226753E-01   0.47517147        2.4000000      -0.44295251       -1.9429525
  2.4500000      -0.77917630E-01   0.48271714        2.4500000      -0.51029372       -2.0102937
  2.5000000      -0.21632327       0.49026534        2.5000000      -0.57604923       -2.0760492
  2.5500000      -0.35798449       0.49781449        2.5500000      -0.63042785       -2.1304278
  2.6000000      -0.48530293       0.50536302        2.6000000      -0.67059536       -2.1705954
  2.6500000      -0.59286181       0.51290932        2.6500000      -0.69813987       -2.1981399
  2.7000000      -0.67904590       0.52045182        2.7000000      -0.71574365       -2.2157437
  2.7500000      -0.75527772       0.52798891        2.7500000      -0.71809112       -2.2180911
  2.8000000      -0.82312066       0.53551899        2.8000000      -0.70473551       -2.2047355
  2.8500000      -0.87880690       0.54304046        2.8500000      -0.67582005       -2.1758201
  2.9000000      -0.91670194       0.55055171        2.9000000      -0.63307944       -2.1330794
  2.9500000      -0.93019526       0.55805112        2.9500000      -0.57719252       -2.0771925
  3.0000000      -0.91441062       0.56553708        3.0000000      -0.50923337       -2.0092334
  3.0500000      -0.87282152       0.57300797        3.0500000      -0.43057232       -1.9305723
  3.1000000      -0.82427416       0.58046217        3.1000000      -0.33989429       -1.8398943
  3.1500000      -0.76392441       0.58789807        3.1500000      -0.24186287       -1.7418629
  3.2000000      -0.69025886       0.59531404        3.2000000      -0.13872266       -1.6387227
