# data from ifeffit
#------------------------
#   r         chir_mag       chir_mag      chir_re       chir_re
  0.0000000       0.37831412E-01   0.85906621E-02   0.37831412E-01   0.85906621E-02
  0.30679616E-01   0.38140398E-01   0.87213292E-02   0.38137532E-01   0.86735142E-02
  0.61359232E-01   0.38907720E-01   0.91069106E-02   0.38884295E-01   0.89244002E-02
  0.92038847E-01   0.39761217E-01   0.97258712E-02   0.39661348E-01   0.93462185E-02
  0.12271846       0.40342952E-01   0.10541115E-01   0.40068729E-01   0.99347108E-02
  0.15339808       0.40496481E-01   0.11510266E-01   0.39956335E-01   0.10676558E-01
  0.18407769       0.40331837E-01   0.12604295E-01   0.39502619E-01   0.11558709E-01
  0.21475731       0.40152559E-01   0.13822619E-01   0.39081341E-01   0.12584388E-01
  0.24543693       0.40268283E-01   0.15193716E-01   0.39004975E-01   0.13783706E-01
  0.27611654       0.40790541E-01   0.16759123E-01   0.39323932E-01   0.15208671E-01
  0.30679616       0.41572556E-01   0.18549897E-01   0.39833523E-01   0.16912870E-01
  0.33747577       0.42368472E-01   0.20570699E-01   0.40299214E-01   0.18927490E-01
  0.36815539       0.43104578E-01   0.22801190E-01   0.40741880E-01   0.21248590E-01
  0.39883500       0.44070913E-01   0.25211773E-01   0.41550940E-01   0.23843059E-01
  0.42951462       0.45863836E-01   0.27782424E-01   0.43287526E-01   0.26668194E-01
  0.46019424       0.49015502E-01   0.30514524E-01   0.46259917E-01   0.29691854E-01
  0.49087385       0.53539738E-01   0.33432641E-01   0.50152085E-01   0.32902585E-01
  0.52155347       0.58824606E-01   0.36580464E-01   0.54005251E-01   0.36308973E-01
  0.55223308       0.63955095E-01   0.40018308E-01   0.56644541E-01   0.39936090E-01
  0.58291270       0.68156896E-01   0.43827154E-01   0.57328256E-01   0.43826568E-01
  0.61359232       0.71121250E-01   0.48117569E-01   0.56199254E-01   0.48044734E-01
  0.64427193       0.73138720E-01   0.53035772E-01   0.54205684E-01   0.52672268E-01
  0.67495155       0.74992060E-01   0.58758289E-01   0.52506664E-01   0.57782038E-01
  0.70563116       0.77573922E-01   0.65472686E-01   0.51757164E-01   0.63385991E-01
  0.73631078       0.81382488E-01   0.73350894E-01   0.51788416E-01   0.69367420E-01
  0.76699039       0.86298886E-01   0.82526823E-01   0.51937126E-01   0.75417408E-01
  0.79767001       0.91920316E-01   0.93086867E-01   0.51781254E-01   0.80994059E-01
  0.82834963       0.98236300E-01   0.10507349       0.51667727E-01   0.85313447E-01
  0.85902924       0.10616330       0.11849554       0.52479121E-01   0.87371621E-01
  0.88970886       0.11747464       0.13333844       0.54602541E-01   0.85993988E-01
  0.92038847       0.13392899       0.14957132       0.56707875E-01   0.79911211E-01
  0.95106809       0.15614750       0.16715257       0.55242856E-01   0.67862506E-01
  0.98174770       0.18322304       0.18603701       0.45230137E-01   0.48721998E-01
  1.0124273       0.21322910       0.20618616       0.22153759E-01   0.21633759E-01
  1.0431069       0.24401251       0.22757958      -0.16036928E-01  -0.13864146E-01
  1.0737866       0.27383105       0.25022199      -0.67955349E-01  -0.57738051E-01
  1.1044662       0.30174322       0.27414050      -0.12940300      -0.10937072
  1.1351458       0.32774134       0.29936862      -0.19515786      -0.16746001
  1.1658254       0.35260302       0.32591857      -0.26074374      -0.22987881
  1.1965050       0.37747101       0.35374775      -0.32303383      -0.29349939
  1.2271846       0.40328332       0.38272711      -0.37936895      -0.35403205
  1.2578642       0.43029241       0.41261710      -0.42594217      -0.40596807
  1.2885439       0.45790348       0.44305268      -0.45677348      -0.44273332
  1.3192235       0.48488964       0.47353507      -0.46425575      -0.45714366
  1.3499031       0.50983843       0.50342638      -0.44121789      -0.44221562
  1.3805827       0.53160349       0.53194612      -0.38343907      -0.39233262
  1.4112623       0.54958391       0.55817274      -0.29127208      -0.30468947
  1.4419419       0.56375279       0.58105731      -0.16968183      -0.18082147
  1.4726216       0.57445018       0.59945776      -0.27095775E-01  -0.27870158E-01
  1.5033012       0.58203304       0.61219899       0.12582510       0.14090499
  1.5339808       0.58652642       0.61815876       0.27660509       0.30688977
  1.5646604       0.58742106       0.61637195       0.41068505       0.44848415
  1.5953400       0.58369739       0.60614057       0.51162023       0.54495981
  1.6260196       0.57405344       0.58713337       0.56308578       0.58108244
  1.6566993       0.55723408       0.55945965       0.55305394       0.55124615
  1.6873789       0.53234141       0.52370499       0.47888715       0.46170269
  1.7180585       0.49904148       0.48092174       0.35088882       0.32985290
  1.7487381       0.45763627       0.43257375       0.19197628       0.18045775
  1.7794177       0.40901255       0.38044077       0.32705172E-01   0.39715748E-01
  1.8100973       0.35450301       0.32649340      -0.96915093E-01  -0.71008905E-01
  1.8407769       0.29570148       0.27275309      -0.17575713      -0.13982748
  1.8714566       0.23427171       0.22115411      -0.19688847      -0.16593089
  1.9021362       0.17178286       0.17342523      -0.16810067      -0.15787165
  1.9328158       0.10961187       0.13100958      -0.10800302      -0.12943390
  1.9634954       0.49126435E-01   0.95044525E-01  -0.39693874E-01  -0.94765994E-01
  1.9941750       0.15505228E-01   0.66427249E-01   0.15503376E-01  -0.64491357E-01
  2.0248546       0.69029304E-01   0.45952199E-01   0.42438943E-01  -0.43881146E-01
  2.0555343       0.12313694       0.34146615E-01   0.34061537E-01  -0.33212876E-01
  2.0862139       0.17502080       0.29843066E-01  -0.87900485E-02  -0.29606354E-01
  2.1168935       0.22468588       0.29407179E-01  -0.79032567E-01  -0.29253406E-01
  2.1475731       0.27248112       0.29581709E-01  -0.16578882      -0.29111275E-01
  2.1782527       0.31912346       0.29052357E-01  -0.25708657      -0.27625887E-01
  2.2089323       0.36581478       0.27680611E-01  -0.34212587      -0.24585721E-01
  2.2396120       0.41427629       0.25741402E-01  -0.41230404      -0.20528301E-01
  2.2702916       0.46657616       0.23566686E-01  -0.46045709      -0.16144541E-01
  2.3009712       0.52469937       0.21408413E-01  -0.47864676      -0.11936442E-01
  2.3316508       0.58995241       0.19408738E-01  -0.45596732      -0.81478706E-02
  2.3623304       0.66242325       0.17623943E-01  -0.37851010      -0.48444010E-02
  2.3930100       0.74071036       0.16064798E-01  -0.23309841      -0.20076141E-02
  2.4236896       0.82199549       0.14725725E-01  -0.14596150E-01   0.41718475E-03
  2.4543693       0.90238663       0.13592187E-01   0.26575163       0.25055053E-02
  2.4850489       0.97739976       0.12633887E-01   0.57508803       0.43321098E-02
  2.5157285        1.0424673       0.11799689E-01   0.86071346       0.59306129E-02
  2.5464081        1.0934029       0.11024601E-01    1.0603950       0.72578435E-02
  2.5770877        1.1267853       0.10246467E-01    1.1191672       0.81964724E-02
  2.6077673        1.1402398       0.94222278E-02    1.0073437       0.86057208E-02
  2.6384470        1.1326109       0.85358086E-02   0.73313640       0.83951230E-02
  2.6691266        1.1040247       0.75962683E-02   0.34462300       0.75795403E-02
  2.6998062        1.0558488       0.66294766E-02  -0.80625023E-01   0.62867615E-02
  2.7304858       0.99056451       0.56677901E-02  -0.45551987       0.47197328E-02
  2.7611654       0.91156584       0.47414647E-02  -0.70679002       0.30998490E-02
  2.7918450       0.82290798       0.38740056E-02  -0.79415661       0.16202321E-02
  2.8225246       0.72902215       0.30818034E-02  -0.71929599       0.42168605E-03
  2.8532043       0.63441500       0.23766611E-02  -0.52211659      -0.41444316E-03
  2.8838839       0.54336542       0.17688335E-02  -0.26623848      -0.86825810E-03
  2.9145635       0.45962479       0.12684026E-02  -0.19084808E-01  -0.98195848E-03
  2.9452431       0.38611938       0.88378405E-03   0.16658907      -0.85212277E-03
  2.9759227       0.32465703       0.61673088E-03   0.26403250      -0.60530544E-03
  3.0066023       0.27568095       0.45441016E-03   0.27412369      -0.35945573E-03
  3.0372820       0.23820419       0.36831734E-03   0.21846748      -0.18729432E-03
