# data: r, chi, fit, path1, path2
#------------------------
#   r         chir_mag       chir_mag      chir_mag        chir_mag        chir_re       chir_re
  0.0000000       0.26312338E-01   0.10524700E-01   0.12929909E-01   0.24182157E-02   0.26312338E-01   0.10524700E-01
  0.30679616E-01   0.26357104E-01   0.10608829E-01   0.12993088E-01   0.24335218E-02   0.26351144E-01   0.10594002E-01
  0.61359232E-01   0.26511323E-01   0.10851105E-01   0.13172566E-01   0.24810847E-02   0.26487480E-01   0.10795232E-01
  0.92038847E-01   0.26807437E-01   0.11228204E-01   0.13444673E-01   0.25646687E-02   0.26750790E-01   0.11112771E-01
  0.12271846       0.27232172E-01   0.11719114E-01   0.13786697E-01   0.26871834E-02   0.27116538E-01   0.11532638E-01
  0.15339808       0.27691139E-01   0.12318194E-01   0.14189516E-01   0.28474747E-02   0.27470537E-01   0.12053031E-01
  0.18407769       0.28035003E-01   0.13038620E-01   0.14661635E-01   0.30388645E-02   0.27646854E-01   0.12689205E-01
  0.21475731       0.28137113E-01   0.13906171E-01   0.15225017E-01   0.32504562E-02   0.27529101E-01   0.13470762E-01
  0.24543693       0.27976880E-01   0.14948160E-01   0.15907718E-01   0.34704617E-02   0.27149255E-01   0.14433436E-01
  0.27611654       0.27682221E-01   0.16183260E-01   0.16738036E-01   0.36897488E-02   0.26708825E-01   0.15609155E-01
  0.30679616       0.27501829E-01   0.17615880E-01   0.17741065E-01   0.39040203E-02   0.26498258E-01   0.17017420E-01
  0.33747577       0.27708996E-01   0.19235660E-01   0.18935262E-01   0.41140149E-02   0.26767282E-01   0.18659603E-01
  0.36815539       0.28491894E-01   0.21020997E-01   0.20327593E-01   0.43241941E-02   0.27638572E-01   0.20517144E-01
  0.39883500       0.29918441E-01   0.22945378E-01   0.21909556E-01   0.45410497E-02   0.29119736E-01   0.22554774E-01
  0.42951462       0.31996556E-01   0.24985539E-01   0.23658652E-01   0.47720334E-02   0.31178207E-01   0.24729266E-01
  0.46019424       0.34735715E-01   0.27130046E-01   0.25547532E-01   0.50252074E-02   0.33778418E-01   0.27002159E-01
  0.49087385       0.38113327E-01   0.29386380E-01   0.27558362E-01   0.53088045E-02   0.36810562E-01   0.29352464E-01
  0.52155347       0.41969466E-01   0.31784939E-01   0.29696722E-01   0.56298905E-02   0.39956411E-01   0.31784848E-01
  0.55223308       0.45946763E-01   0.34379889E-01   0.31999995E-01   0.59923768E-02   0.42642453E-01   0.34331175E-01
  0.58291270       0.49557762E-01   0.37248602E-01   0.34538762E-01   0.63957177E-02   0.44211220E-01   0.37046849E-01
  0.61359232       0.52361711E-01   0.40491936E-01   0.37413859E-01   0.68354953E-02   0.44277686E-01   0.40004748E-01
  0.64427193       0.54174433E-01   0.44235733E-01   0.40753367E-01   0.73056961E-02   0.43045443E-01   0.43286862E-01
  0.67495155       0.55224156E-01   0.48630622E-01   0.44711416E-01   0.78011100E-02   0.41314225E-01   0.46968822E-01
  0.70563116       0.56156526E-01   0.53845355E-01   0.49465688E-01   0.83182328E-02   0.40099410E-01   0.51090194E-01
  0.73631078       0.57803913E-01   0.60051079E-01   0.55207679E-01   0.88544087E-02   0.40091775E-01   0.55607224E-01
  0.76699039       0.60785853E-01   0.67399658E-01   0.62122949E-01   0.94066463E-02   0.41358576E-01   0.60334110E-01
  0.79767001       0.65283265E-01   0.76003972E-01   0.70366143E-01   0.99721896E-02   0.43534739E-01   0.64888246E-01
  0.82834963       0.71296974E-01   0.85927939E-01   0.80040964E-01   0.10551839E-01   0.46339543E-01   0.68658116E-01
  0.85902924       0.79196210E-01   0.97188837E-01   0.91193503E-01   0.11154801E-01   0.49899634E-01   0.70807317E-01
  0.88970886       0.89999261E-01   0.10976886       0.10382025       0.11802003E-01   0.54406484E-01   0.70317664E-01
  0.92038847       0.10498695       0.12363027       0.11788571       0.12524724E-01   0.59146229E-01   0.66064705E-01
  0.95106809       0.12485638       0.13872959       0.13334247       0.13357591E-01   0.61571756E-01   0.56914371E-01
  0.98174770       0.14915446       0.15502869       0.15014838       0.14328648E-01   0.57311154E-01   0.41829778E-01
  1.0124273       0.17639921       0.17250279       0.16827825       0.15451662E-01   0.41525752E-01   0.19979532E-01
  1.0431069       0.20462691       0.19114585       0.18773015       0.16724723E-01   0.11083427E-01  -0.91586341E-02
  1.0737866       0.23200053       0.21097282       0.20852673       0.18134945E-01  -0.33724219E-01  -0.45701362E-01
  1.1044662       0.25731482       0.23201729       0.23071178       0.19665494E-01  -0.89087923E-01  -0.89266140E-01
  1.1351458       0.28031789       0.25432230       0.25434115       0.21300806E-01  -0.14937363      -0.13886880
  1.1658254       0.30175431       0.27792325       0.27946691       0.23028220E-01  -0.20951322      -0.19279809
  1.1965050       0.32304447       0.30282410       0.30611460       0.24836901E-01  -0.26643759      -0.24846528
  1.2271846       0.34563403       0.32897006       0.33425515       0.26716183E-01  -0.31852585      -0.30225442
  1.2578642       0.37026764       0.35622098       0.36377480       0.28654934E-01  -0.36350175      -0.34943507
  1.2885439       0.39657501       0.38432883       0.39444674       0.30642030E-01  -0.39644949      -0.38422887
