# data from ifeffit
#------------------------
#   energy      xmu       bkg       preline      normline
  6911.7671      -0.35992590E-01  -0.35992590E-01  -0.37455984E-01    1.5220655
  6916.8730      -0.39081634E-01  -0.39081634E-01  -0.40380298E-01    1.5148708
  6921.7030      -0.42193483E-01  -0.42193483E-01  -0.43146619E-01    1.5080856
  6926.8344      -0.45165576E-01  -0.45165576E-01  -0.46085538E-01    1.5008994
  6931.7399      -0.47365589E-01  -0.47365589E-01  -0.48895118E-01    1.4940508
  6936.9887      -0.51824526E-01  -0.51824526E-01  -0.51901251E-01    1.4867463
  6941.7869      -0.54345142E-01  -0.54345142E-01  -0.54649375E-01    1.4800897
  6946.8779      -0.57534656E-01  -0.57534656E-01  -0.57565203E-01    1.4730487
  6951.9154      -0.60404535E-01  -0.60404535E-01  -0.60450360E-01    1.4661040
  6956.9401      -0.63496774E-01  -0.63496774E-01  -0.63328158E-01    1.4591990
  6961.9621      -0.66253301E-01  -0.66253301E-01  -0.66204427E-01    1.4523196
  6966.8684      -0.69411878E-01  -0.69411878E-01  -0.69014437E-01    1.4456199
  6971.9156      -0.72276060E-01  -0.72276060E-01  -0.71905178E-01    1.4387495
  6976.8572      -0.75346493E-01  -0.75346493E-01  -0.74735385E-01    1.4320445
  6981.9918      -0.78131005E-01  -0.78131005E-01  -0.77676155E-01    1.4251000
  6986.8759      -0.80983962E-01  -0.80983962E-01  -0.80473481E-01    1.4185156
  6991.9328      -0.83849719E-01  -0.83849719E-01  -0.83369729E-01    1.4117202
  6996.9144      -0.86748719E-01  -0.86748719E-01  -0.86222865E-01    1.4050476
  7001.8515      -0.89708205E-01  -0.89708205E-01  -0.89050522E-01    1.3984560
  7006.9934      -0.92703649E-01  -0.92703649E-01  -0.91995467E-01    1.3916134
  7011.8412      -0.95368015E-01  -0.95368015E-01  -0.94772007E-01    1.3851833
  7016.9463      -0.98405177E-01  -0.98405177E-01  -0.97695871E-01    1.3784340
  7021.8712      -0.10117834      -0.10117834      -0.10051653        1.3719444
  7026.8765      -0.10382368      -0.10382368      -0.10338325        1.3653705
  7031.9730      -0.10672080      -0.10672080      -0.10630221        1.3586992
  7036.8361      -0.10943124      -0.10943124      -0.10908744        1.3523546
  7041.8952      -0.11203882      -0.11203882      -0.11198496        1.3457760
  7046.8567      -0.11484428      -0.11484428      -0.11482659        1.3393459
  7051.8254      -0.11746089      -0.11746089      -0.11767239        1.3329278
  7056.8965      -0.12024282      -0.12024282      -0.12057677        1.3263998
  7061.8378      -0.12257262      -0.12257262      -0.12340683        1.3200604
  7066.7546      -0.12499900      -0.12499900      -0.12622285        1.3137734
  7071.8057      -0.12740380      -0.12740380      -0.12911579        1.3073367
  7076.7476      -0.12957813      -0.12957813      -0.13194618        1.3010606
  7081.6860      -0.13160163      -0.13160163      -0.13477461        1.2948100
  7086.7913      -0.13317032      -0.13317032      -0.13769860        1.2883706
  7091.5312      -0.13442890      -0.13442890      -0.14041331        1.2824123
  7096.5552      -0.13462033      -0.13462033      -0.14329075        1.2761182
  7101.5653      -0.13600264      -0.13600264      -0.14616021        1.2698635
  7101.9395      -0.13821163      -0.13821163      -0.14637452        1.2693972
  7102.2817      -0.13848671      -0.13848671      -0.14657047        1.2689710
  7102.6987      -0.13669881      -0.13669881      -0.14680933        1.2684516
  7103.1906      -0.13361964      -0.13361964      -0.14709109        1.2678391
  7103.6399      -0.13235382      -0.13235382      -0.14734838        1.2672800
  7104.0036      -0.13184203      -0.13184203      -0.14755669        1.2668274
  7104.2818      -0.13145725      -0.13145725      -0.14771600        1.2664814
  7104.6241      -0.13105615      -0.13105615      -0.14791210        1.2660555
  7105.0950      -0.13007480      -0.13007480      -0.14818176        1.2654701
  7105.5231      -0.12972524      -0.12972524      -0.14842694        1.2649380
  7105.8763      -0.12906308      -0.12906308      -0.14862923        1.2644991
  7106.2402      -0.12820551      -0.12820551      -0.14883768        1.2640469
  7106.5721      -0.12779651      -0.12779651      -0.14902775        1.2636347
  7107.0646      -0.12650680      -0.12650680      -0.14930983        1.2630232
  7107.5251      -0.12534315      -0.12534315      -0.14957356        1.2624516
