# data from ifeffit
# kmin =    2.5000000     
# kmax =    13.000000     
# dk1 =    1.5000000     
# dk2 =    1.5000000     
# kweight =    2.0000000     
# rmin =   0.90000000     
# rmax =    2.0000000     
# dr1 =   0.20000000     
# dr2 =   0.20000000     
#------------------------
#   q         chiq_re      chiq_im      chik_win
  0.0000000       0.18302465E-01    0.0000000        0.0000000
  0.50000000E-01   0.17540763E-01   0.65630147E-02    0.0000000
  0.10000000       0.15282778E-01   0.12827117E-01    0.0000000
  0.15000000       0.11609123E-01   0.18502617E-01    0.0000000
  0.20000000       0.66516623E-02   0.23318041E-01    0.0000000
  0.25000000       0.58982722E-03   0.27028655E-01    0.0000000
  0.30000000      -0.63544099E-02   0.29424313E-01    0.0000000
  0.35000000      -0.13922805E-01   0.30336412E-01    0.0000000
  0.40000000      -0.21828195E-01   0.29643777E-01    0.0000000
  0.45000000      -0.29762767E-01   0.27277304E-01    0.0000000
  0.50000000      -0.37407042E-01   0.23223225E-01    0.0000000
  0.55000000      -0.44439352E-01   0.17524894E-01    0.0000000
  0.60000000      -0.50545581E-01   0.10283003E-01    0.0000000
  0.65000000      -0.55428914E-01   0.16542133E-02    0.0000000
  0.70000000      -0.58819354E-01  -0.81518254E-02    0.0000000
  0.75000000      -0.60482731E-01  -0.18877008E-01    0.0000000
  0.80000000      -0.60228982E-01  -0.30220797E-01    0.0000000
  0.85000000      -0.57919432E-01  -0.41847609E-01    0.0000000
  0.90000000      -0.53472882E-01  -0.53395417E-01    0.0000000
  0.95000000      -0.46870281E-01  -0.64485374E-01    0.0000000
  1.0000000      -0.38157839E-01  -0.74732236E-01    0.0000000
  1.0500000      -0.27448412E-01  -0.83755337E-01    0.0000000
  1.1000000      -0.14921092E-01  -0.91189833E-01    0.0000000
  1.1500000      -0.81893344E-03  -0.96697933E-01    0.0000000
  1.2000000       0.14555192E-01  -0.99979800E-01    0.0000000
  1.2500000       0.30844561E-01  -0.10078383        0.0000000
  1.3000000       0.47646300E-01  -0.98916011E-01    0.0000000
  1.3500000       0.64520683E-01  -0.94248017E-01    0.0000000
  1.4000000       0.81001819E-01  -0.86723874E-01    0.0000000
  1.4500000       0.96609517E-01  -0.76364848E-01    0.0000000
  1.5000000       0.11086203      -0.63272420E-01    0.0000000
  1.5500000       0.12328938      -0.47629160E-01    0.0000000
  1.6000000       0.13344689      -0.29697407E-01    0.0000000
  1.6500000       0.14092865      -0.98156878E-02    0.0000000
  1.7000000       0.14538036       0.11607109E-01    0.0000000
  1.7500000       0.14651145       0.34099734E-01   0.12784770E-32
  1.8000000       0.14410577       0.57138629E-01   0.18396931E-03
  1.8500000       0.13803087       0.80159825E-01   0.37698175E-04
  1.9000000       0.12824518       0.10257243      -0.12818246E-02
  1.9500000       0.11480317       0.12377344      -0.39104011E-02
  2.0000000       0.97857949E-01   0.14316338      -0.70835753E-02
  2.0500000       0.77661380E-01   0.16016262      -0.78479061E-02
  2.1000000       0.54561447E-01   0.17422768      -0.29092726E-02
  2.1500000       0.28996927E-01   0.18486722       0.13479611E-01
  2.2000000       0.14893800E-02   0.19165725       0.38390309E-01
  2.2500000      -0.27367408E-01   0.19425505       0.63536636E-01
  2.3000000      -0.56920341E-01   0.19241143       0.77571716E-01
  2.3500000      -0.86472008E-01   0.18598093       0.68838972E-01
  2.4000000      -0.11529742       0.17492949       0.29802037E-01
  2.4500000      -0.14266208       0.15933950      -0.32133989E-01
  2.5000000      -0.16784096       0.13941182      -0.10971856
  2.5500000      -0.19013783       0.11546462      -0.20004275
  2.6000000      -0.20890449       0.87929123E-01  -0.29627162
  2.6500000      -0.22355932       0.57342112E-01  -0.39202665
  2.7000000      -0.23360464       0.24335347E-01  -0.48234279
  2.7500000      -0.23864231      -0.10377871E-01  -0.57190323
  2.8000000      -0.23838724      -0.46018747E-01  -0.65959523
  2.8500000      -0.23267811      -0.81761264E-01  -0.74016999
  2.9000000      -0.22148522      -0.11675225      -0.80621748
  2.9500000      -0.20491495      -0.15013272      -0.84892786
  3.0000000      -0.18321073      -0.18105996      -0.86075062
  3.0500000      -0.15675037      -0.20872978      -0.84242387
  3.1000000      -0.12603974      -0.23239824      -0.81108502
  3.1500000      -0.91702835E-01  -0.25140236      -0.76206330
  3.2000000      -0.54468506E-01  -0.26517913      -0.69414898
  3.2500000      -0.15154054E-01  -0.27328233      -0.59228487
  3.3000000       0.25353885E-01  -0.27539650      -0.40419420
  3.3500000       0.66120698E-01  -0.27134789      -0.10628873
  3.4000000       0.10618688      -0.26111170       0.23944616
  3.4500000       0.14459222      -0.24481558       0.56426310
  3.5000000       0.18040046      -0.22273912       0.86798865
  3.5500000       0.21272374      -0.19530929        1.1306499
  3.6000000       0.24074618      -0.16309188        1.3132158
  3.6500000       0.26374596      -0.12677911        1.4309114
  3.7000000       0.28111515      -0.87173697E-01    1.4796283
  3.7500000       0.29237684      -0.45169757E-01    1.4378013
  3.8000000       0.29719907      -0.17310236E-02    1.2976242
  3.8500000       0.29540497       0.42133056E-01    1.0849697
  3.9000000       0.28697902       0.85392723E-01   0.84408411
  3.9500000       0.27206894       0.12702411       0.60799429
  4.0000000       0.25098344       0.16603558       0.39172237
  4.0500000       0.22418550       0.20149337       0.21573339
  4.1000000       0.19228162       0.23254601       0.25943488E-01
  4.1500000       0.15600708       0.25844664      -0.17192774
  4.2000000       0.11620775       0.27857276      -0.36272125
  4.2500000       0.73818816E-01   0.29244270      -0.53750176
  4.3000000       0.29841026E-01   0.29972850      -0.66753127
  4.3500000      -0.14684868E-01   0.30026467      -0.72860942
  4.4000000      -0.58704851E-01   0.29405273      -0.71135232
  4.4500000      -0.10117877       0.28126121      -0.62360069
  4.5000000      -0.14110716       0.26222125      -0.49608916
  4.5500000      -0.17755691       0.23741789      -0.36768369
  4.6000000      -0.20968527       0.20747714      -0.27696916
  4.6500000      -0.23676133       0.17314939      -0.24924565
  4.7000000      -0.25818443       0.13528950      -0.26452784
  4.7500000      -0.27349913       0.94834134E-01  -0.28088794
  4.8000000      -0.28240615       0.52776981E-01  -0.26424122
  4.8500000      -0.28476904       0.10142585E-01  -0.20169647
  4.9000000      -0.28061657      -0.32040536E-01  -0.80459870E-01
  4.9500000      -0.27014049      -0.72766708E-01   0.90102641E-01
  5.0000000      -0.25368900      -0.11107911       0.28687900
  5.0500000      -0.23175610      -0.14609425       0.45222290
  5.1000000      -0.20496693      -0.17702430       0.52059572
  5.1500000      -0.17405990      -0.20319652       0.46741602
  5.2000000      -0.13986575      -0.22406950       0.30854846
  5.2500000      -0.10328445      -0.23924554       0.73506533E-01
  5.3000000      -0.65260464E-01  -0.24847906      -0.20848167
  5.3500000      -0.26757072E-01  -0.25168069      -0.51075039
  5.4000000       0.11269426E-01  -0.24891710      -0.80060734
  5.4500000       0.47894977E-01  -0.24040649      -0.99717405
  5.5000000       0.82251778E-01  -0.22651012       -1.0394926
  5.5500000       0.11355035      -0.20771988      -0.84047397
  5.6000000       0.14109911      -0.18464261      -0.57638322
  5.6500000       0.16432089      -0.15798146      -0.21936552
  5.7000000       0.18276602      -0.12851489       0.11757116
  5.7500000       0.19612161      -0.97074060E-01   0.34080065
  5.8000000       0.20421688      -0.64519091E-01   0.43595751
  5.8500000       0.20702440      -0.31715089E-01   0.43520363
  5.9000000       0.20465734       0.49154040E-03   0.40303380
  5.9500000       0.19736283       0.31295715E-01   0.39646881
  6.0000000       0.18551168       0.59954653E-01   0.45209434
  6.0500000       0.16958488       0.85806618E-01   0.56541737
  6.1000000       0.15015735       0.10828694       0.70173732
  6.1500000       0.12787935       0.12694091       0.82017221
  6.2000000       0.10345622       0.14143323       0.91217551
  6.2500000       0.77627152E-01   0.15155384       0.95233770
  6.3000000       0.51143417E-01   0.15722003       0.91309826
  6.3500000       0.24746922E-01   0.15847480       0.79990707
  6.4000000      -0.85043662E-03   0.15548174       0.60963901
  6.4500000      -0.24985973E-01   0.14851649       0.33430455
  6.5000000      -0.47063449E-01   0.13795528       0.13378451E-01
  6.5500000      -0.66567898E-01   0.12426084      -0.34858131
  6.6000000      -0.83077655E-01   0.10796621      -0.70284740
  6.6500000      -0.96273304E-01   0.89656977E-01   -1.0189567
  6.7000000      -0.10594337       0.69952548E-01   -1.2118005
  6.7500000      -0.11198668       0.49486931E-01   -1.2766048
