# data from ifeffit
#------------------------
#   k         chi       chi       chix
  0.0000000        0.0000000        0.0000000        1.0000000
  0.50000000E-01   0.22797410       0.23964123        1.4676153
  0.10000000       0.44392147       0.46529553        1.9092170
  0.15000000       0.63645126       0.66379399        2.3002452
  0.20000000       0.79541070       0.82355579        2.6189665
  0.25000000       0.91242172       0.93526521        2.8476869
  0.30000000       0.98132347       0.99241596        2.9737394
  0.35000000       0.99849747       0.99169086        2.9901883
  0.40000000       0.96305802       0.93315478        2.8962128
  0.45000000       0.87689798       0.82024953        2.6971475
  0.50000000       0.74458749       0.65959107        2.4041786
  0.55000000       0.57313097       0.46058111        2.0337121
  0.60000000       0.37159553       0.23485576        1.6064513
  0.65000000       0.15063038      -0.43961737E-02    1.1462342
  0.70000000      -0.78097090E-01  -0.24320533       0.67869758
  0.75000000      -0.30251879      -0.46763909       0.22984212
  0.80000000      -0.51080405      -0.66461609      -0.17542014
  0.85000000      -0.69198471      -0.82267018      -0.51465489
  0.90000000      -0.83653395      -0.93261923      -0.76915318
  0.95000000      -0.93686838      -0.98809964      -0.92496802
  1.0000000      -0.98774671      -0.98593536      -0.97368207
  1.0500000      -0.98654417      -0.92632002      -0.91286419
  1.1000000      -0.93338815      -0.81280164      -0.74618979
  1.1500000      -0.83114808      -0.65207119      -0.48321928
  1.2000000      -0.68528030      -0.45356743      -0.13884773
  1.2500000      -0.50353623      -0.22892156       0.26754221
  1.3000000      -0.29554962       0.87256505E-02   0.71317603
  1.3500000      -0.72324782E-01   0.24549403        1.1731693
  1.4000000       0.15434695       0.46757636        1.6219233
  1.4500000       0.37251138       0.66204508        2.0345565
  1.5000000       0.57068330       0.81760635        2.3882896
  1.5500000       0.73845246       0.92525719        2.6637097
  1.6000000       0.86703160       0.97880757        2.8458392
  1.6500000       0.94971768       0.97523691        2.9249546
  1.7000000       0.98224208       0.91486463        2.8971067
  1.7500000       0.96299130       0.80132501        2.7643163
  1.8000000       0.89308690       0.64134817        2.5344351
  1.8500000       0.77632062       0.44436048        2.2206811
  1.9000000       0.61894838       0.22192810        1.8408765
