# data from ifeffit
#------------------------
#   r         chir_mag     chir_mag     chir_mag
  0.0000000       0.71350801E-01   0.50705565E-01   0.12205637
  0.30679616E-01   0.81118101E-01   0.59777181E-01   0.13436842
  0.61359232E-01   0.10716903       0.78384501E-01   0.15966071
  0.92038847E-01   0.14237303       0.97469092E-01   0.17995834
  0.12271846       0.17832472       0.11632082       0.18490333
  0.15339808       0.20694801       0.13850888       0.17202993
  0.18407769       0.22278841       0.16626836       0.14660871
  0.21475731       0.22556023       0.19719796       0.12350734
  0.24543693       0.22210089       0.22576177       0.12357410
  0.27611654       0.22523253       0.24685205       0.14828060
  0.30679616       0.24510993       0.25862524       0.17707817
  0.33747577       0.27885604       0.26386336       0.19296215
  0.36815539       0.31352216       0.26917182       0.18783183
  0.39883500       0.33597225       0.28108318       0.16094945
  0.42951462       0.33815515       0.30079188       0.11956033
  0.46019424       0.31878713       0.32276829       0.85743563E-01
  0.49087385       0.28412949       0.33851530       0.96230005E-01
  0.52155347       0.24811902       0.34106282       0.13561619
  0.55223308       0.22821444       0.32761598       0.16655126
  0.58291270       0.23102963       0.30076495       0.17100297
  0.61359232       0.24298164       0.26876535       0.14119097
  0.64427193       0.24468301       0.24362746       0.76948428E-01
  0.67495155       0.22603715       0.23373699       0.15021050E-01
  0.70563116       0.19162012       0.23438187       0.11740174
  0.73631078       0.16309384       0.23019961       0.21081891
  0.76699039       0.16562799       0.20691683       0.27087612
  0.79767001       0.18879700       0.15938314       0.27640457
  0.82834963       0.20407604       0.99374474E-01   0.21792935
  0.85902924       0.21644299       0.85650697E-01   0.13297376
  0.88970886       0.28392524       0.14431297       0.21783069
  0.92038847       0.44298438       0.20125981       0.42975177
  0.95106809       0.65976254       0.22914541       0.64072211
  0.98174770       0.88224180       0.24418984       0.78773579
  1.0124273        1.0615213       0.31249355       0.82477310
  1.0431069        1.1645281       0.47518308       0.73641001
  1.0737866        1.1965007       0.69609032       0.58719435
  1.1044662        1.2289194       0.91919128       0.62187843
  1.1351458        1.3858699        1.0942620       0.96931378
  1.1658254        1.7241680        1.1903834        1.4103901
  1.1965050        2.1643295        1.2188527        1.7646721
  1.2271846        2.5756907        1.2592169        1.9177413
  1.2578642        2.8531963        1.4349453        1.8189435
  1.2885439        2.9602103        1.7881336        1.5377528
  1.3192235        2.9712407        2.2292379        1.4000365
  1.3499031        3.0877015        2.6278267        1.8261167
  1.3805827        3.5125054        2.8843987        2.6157686
  1.4112623        4.2264818        2.9724983        3.3593539
  1.4419419        5.0060852        2.9811588        3.7850232
  1.4726216        5.6095451        3.1216383        3.7504523
  1.5033012        5.8992934        3.5819255        3.3009529
  1.5339808        5.9241340        4.3140455        2.8539648
  1.5646604        5.9779169        5.0839485        3.2343265
  1.5953400        6.4872322        5.6565218        4.5185223
  1.6260196        7.6052397        5.9099172        5.9603178
  1.6566993        9.0180220        5.9162564        6.9559805
  1.6873789        10.241445        5.9932247        7.1514515
  1.7180585        10.923552        6.5619993        6.5009413
  1.7487381        11.036003        7.7284603        5.5536568
  1.7794177        11.045063        9.1441696        5.8100909
  1.8100973        11.848794        10.326905        8.0512136
  1.8407769        14.001488        10.947997        11.023200
  1.8714566        17.003107        11.018864        13.389777
  1.9021362        19.767382        11.056769        14.226994
  1.9328158        21.317443        11.973134        13.102377
  1.9634954        21.322338        14.239334        10.835903
  1.9941750        21.043387        17.267832        11.722262
  2.0248546        24.362571        19.957946        19.521473
  2.0555343        34.739909        21.367974        31.558228
  2.0862139        51.418445        21.260553        45.312790
  2.1168935        72.106141        21.107304        59.058312
  2.1475731        94.604090        24.970575        71.324940
  2.1782527        116.78975        35.987176        80.913881
  2.2089323        136.61150        53.113956        87.056565
  2.2396120        152.21700        74.047868        89.583840
  2.2702916        162.12569        96.602686        89.044540
  2.3009712        165.38644        118.66051        86.703697
  2.3316508        161.68442        138.18126        84.295670
  2.3623304        151.37723        153.33821        83.398684
  2.3930100        135.45383        162.69129        84.597938
  2.4236896        115.42358        165.34158        87.111287
  2.4543693        93.156355        161.03273        89.281997
  2.4850489        70.710707        150.18053        89.417507
  2.5157285        50.211161        133.82530        86.354788
  2.5464081        33.864427        113.51551        79.659080
  2.5770877        23.946976        91.145133        69.600747
  2.6077673        20.995251        68.783002        57.025272
  2.6384470        21.345125        48.558475        43.181191
  2.6691266        21.257012        32.692220        29.570603
  2.6998062        19.610902        23.428448        17.983840
  2.7304858        16.798553        20.964756        11.138608
  2.7611654        13.818481        21.385290        11.139457
  2.7918450        11.744617        21.169885        13.392505
  2.8225246        11.016481        19.389026        14.224399
  2.8532043        11.027214        16.515911        13.112872
  2.8838839        10.889801        13.577362        10.587012
  2.9145635        10.170961        11.623138        7.6301037
  2.9452431        8.9236907        10.998540        5.6383023
  2.9759227        7.5138107        11.026770        5.6735758
  3.0066023        6.4262538        10.844506        6.6511534
  3.0372820        5.9542626        10.068246        7.1896944
  3.0679616        5.9174672        8.7871689        6.8608238
  3.0986412        5.8865301        7.3869786        5.7677941
  3.1293208        5.5808288        6.3504467        4.3024032
  3.1600004        4.9640546        5.9338137        3.1097822
  3.1906800        4.1819288        5.9155089        2.8965497
  3.2213597        3.4796841        5.8668202        3.3964036
  3.2520393        3.0756319        5.5301277        3.8000075
  3.2827189        2.9747041        4.8894354        3.7620605
  3.3133985        2.9669640        4.1034441        3.2733011
  3.3440781        2.8555489        3.4217145        2.4972939
  3.3747577        2.5723679        3.0506587        1.7280176
  3.4054373        2.1586264        2.9698372        1.3904424
  3.4361170        1.7223568        2.9599993        1.5885757
  3.4667966        1.3948451        2.8342567        1.8589065
  3.4974762        1.2502349        2.5363497        1.9206629
  3.5281558        1.2243719        2.1153543        1.7291084
  3.5588354        1.1930202        1.6834935        1.3471633
  3.5895150        1.0876354        1.3713487       0.89870927
  3.6201947       0.90510995        1.2429085       0.58232353
  3.6508743       0.68032670        1.2226720       0.60254534
  3.6815539       0.46500941        1.1878212       0.75996818
  3.7122335       0.31496463        1.0762541       0.83163283
  3.7429131       0.25926604       0.88922170       0.77248727
  3.7735927       0.24963507       0.66358624       0.60583801
  3.8042724       0.22672325       0.45164467       0.38195462
  3.8349520       0.18031990       0.30867566       0.17110144
  3.8656316       0.13499935       0.25933321       0.14406712
  3.8963112       0.12977580       0.25131290       0.24770886
  3.9269908       0.15923168       0.22867269       0.29798904
  3.9576704       0.18571240       0.18441917       0.27864841
  3.9883500       0.19395823       0.14359750       0.20386990
  4.0190297       0.18843607       0.13959380       0.98164494E-01
  4.0497093       0.18559862       0.16463070       0.32842860E-01
  4.0803889       0.20169871       0.18595725       0.12211187
  4.1110685       0.23591826       0.19023988       0.18969416
  4.1417481       0.27378020       0.18287832       0.21962412
  4.1724277       0.30164644       0.18105676       0.21193470
  4.2031074       0.31207085       0.19999157       0.17515324
  4.2337870       0.30404186       0.23624186       0.12848383
  4.2644666       0.28252740       0.27428357       0.10959148
  4.2951462       0.25752512       0.30088467       0.14059067
  4.3258258       0.24081828       0.30929676       0.18571574
  4.3565054       0.23866701       0.29920230       0.21649381
  4.3871851       0.24624844       0.27625817       0.22239436
  4.4178647       0.25246352       0.25109718       0.20261527
  4.4485443       0.24835987       0.23570985       0.16422298
  4.4792239       0.23075741       0.23554464       0.12368727
  4.5099035       0.20229058       0.24448519       0.10817221
  4.5405831       0.17026453       0.25092773       0.12714873
  4.5712627       0.14437426       0.24621356       0.15385490
  4.6019424       0.13130765       0.22769281       0.16720472
  4.6326220       0.12829638       0.19849709       0.16016950
  4.6633016       0.12604054       0.16634506       0.13418888
  4.6939812       0.11738802       0.14119468       0.96903920E-01
