# data from ifeffit
#------------------------
#   k         chi       chix      chix      chix      kwin
  0.0000000        0.0000000        2.5000000        3.0000000        5.5000000        0.0000000
  0.50000000E-01   0.15931582        2.4872125        3.2279741        5.7151866        0.0000000
  0.10000000       0.31454769        2.4491785        3.4439215        5.8930999        0.0000000
  0.15000000       0.46171684        2.3868752        3.6364513        6.0233264        0.0000000
  0.20000000       0.59705213        2.3019033        3.7954107        6.0973140        0.0000000
  0.25000000       0.71708713        2.1964455        3.9124217        6.1088672        0.0000000
  0.30000000       0.81874932        2.0732104        3.9813235        6.0545338        0.0000000
  0.35000000       0.89943911        1.9353623        3.9984975        5.9338598        0.0000000
  0.40000000       0.95709661        1.7864401        3.9630580        5.7494981        0.0000000
  0.45000000       0.99025446        1.6302653        3.8768980        5.5071633        0.0000000
  0.50000000       0.99807537        1.4708442        3.7445875        5.2154317        0.0000000
  0.55000000       0.98037332        1.3122642        3.5731310        4.8853952       0.68523230E-03
  0.60000000       0.93761803        1.1585886        3.3715955        4.5301841       0.27390510E-02
  0.65000000       0.87092239        1.0137521        3.1506304        4.1643825       0.61558268E-02
  0.70000000       0.78201342       0.88145957        2.9219029        3.8033625       0.10926195E-01
  0.75000000       0.67318733       0.76509079        2.6974812        3.4625720       0.17037079E-01
  0.80000000       0.54724996       0.66761373        2.4891960        3.1568097       0.24471731E-01
  0.85000000       0.40744407       0.59150850        2.3080153        2.8995238       0.33209771E-01
  0.90000000       0.25736551       0.53870396        2.1634660        2.7021700       0.43227251E-01
  0.95000000       0.10087029       0.51052862        2.0631316        2.5736602       0.54496713E-01
  1.0000000      -0.58024947E-01   0.50767706        2.0122533        2.5199304       0.66987268E-01
  1.0500000      -0.21524650       0.53019276        2.0134558        2.5436486       0.80664679E-01
  1.1000000      -0.36676853       0.57746775        2.0666118        2.6440796       0.95491460E-01
  1.1500000      -0.50871658       0.64825902        2.1688519        2.8171109       0.11142697
  1.2000000      -0.63746716       0.74072136        2.3147197        3.0554411       0.12842753
  1.2500000      -0.74974063       0.85245565        2.4964638        3.3489194       0.14644654
  1.3000000      -0.84268510       0.98057140        2.7044504        3.6850218       0.16543462
  1.3500000      -0.91394928        1.1217618        2.9276752        4.0494370       0.18533972
  1.4000000      -0.96174213        1.2723896        3.1543469        4.4267365       0.20610728
  1.4500000      -0.98487813        1.4285809        3.3725114        4.8010923       0.22768039
  1.5000000      -0.98280676        1.5863257        3.5706833        5.1570090       0.24999989
  1.5500000      -0.95562559        1.7415809        3.7384525        5.4800334       0.27300464
  1.6000000      -0.90407666        1.8903748        3.8670316        5.7574064       0.29663156
  1.6500000      -0.82952615        2.0289086        3.9497177        5.9786262       0.32081589
  1.7000000      -0.73392812        2.1536543        3.9822421        6.1358964       0.34549136
  1.7500000      -0.61977303        2.2614450        3.9629913        6.2244363       0.37059033
  1.8000000      -0.49002265        2.3495551        3.8930869        6.2426420       0.39604400
  1.8500000      -0.34803282        2.4157702        3.7763206        6.1920908       0.42178260
  1.9000000      -0.19746635        2.4584425        3.6189484        6.0773908       0.44773560
  1.9500000      -0.42198070E-01    2.4765320        3.4293545        5.9058865       0.47383184
  2.0000000       0.11378532        2.4696322        3.2176042        5.6872365       0.49999982
  2.0500000       0.26648807        2.4379790        2.9949080        5.4328870       0.52616779
  2.1000000       0.41200815        2.3824427        2.7730270        5.1554697       0.55226404
  2.1500000       0.54663747        2.3045047        2.5636503        4.8681550       0.57821703
  2.2000000       0.66695673        2.2062175        2.3777783        4.5839958       0.60395564
  2.2500000       0.76992266        2.0901505        2.2251430        4.3152935       0.62940932
  2.3000000       0.85294530        1.9593225        2.1136978        4.0730204       0.65450829
  2.3500000       0.91395346        1.8171233        2.0492020        3.8663253       0.67918376
  2.4000000       0.95144654        1.6672249        2.0349228        3.7021477       0.70336811
  2.4500000       0.96453154        1.5134866        2.0714695        3.5849561       0.72699504
  2.5000000       0.95294434        1.3598552        2.1567694        3.5166245       0.74999979
  2.5500000       0.91705464        1.2102631        2.2861842        3.4964473       0.77231931
  2.6000000       0.85785459        1.0685275        2.4527633        3.5212908       0.79389242
  2.6500000       0.77693140       0.93825215        2.6476173        3.5858695       0.81465999
  2.7000000       0.67642468       0.82273576        2.8603934        3.6831291       0.83456510
  2.7500000       0.55896971       0.72488784        3.0798264        3.8047142       0.85355320
  2.8000000       0.42762808       0.64715525        3.2943366        3.9414918       0.87157222
  2.8500000       0.28580755       0.59146073        3.4926420        4.0841027       0.88857280
  2.9000000       0.13717334       0.55915526        3.6643528        4.2235080       0.90450832
  2.9500000      -0.14447057E-01   0.55098518        3.8005169        4.3515021       0.91933512
  3.0000000      -0.16516279       0.56707511        3.8940876        4.4611627       0.93301255
  3.0500000      -0.31111994       0.60692693        3.9402886        4.5472156       0.94550312
  3.1000000      -0.44860046       0.66943478        3.9368585        4.6062933       0.95677260
  3.1500000      -0.57411729       0.75291567        3.8841605        4.6370762       0.96679010
  3.2000000      -0.68450317       0.85515491        3.7851541        4.6403090       0.97552816
  3.2500000      -0.77699083       0.97346498        3.6452288        4.6186938       0.98296283
  3.3000000      -0.84928268        1.1047565        3.4719107        4.5766671       0.98907373
  3.3500000      -0.89960802        1.2456190        3.2744569        4.5200759       0.99384412
  3.4000000      -0.92676650        1.3924102        3.0633603        4.4557705       0.99726091
  3.4500000      -0.93015676        1.5413501        2.8497909        4.3911410       0.99931475
  3.5000000      -0.90978942        1.6886192        2.6450036        4.3336228       1.00000000
  3.5500000      -0.86628434        1.8304563        2.4597440        4.2902004        1.0000000
  3.6000000      -0.80085216        1.9632556        2.3036834        4.2669390        1.0000000
  3.6500000      -0.71526066        2.0836581        2.1849129        4.2685710        1.0000000
  3.7000000      -0.61178699        2.1886371        2.1095236        4.2981607        1.0000000
  3.7500000      -0.49315694        2.2755748        2.0812935        4.3568683        1.0000000
  3.8000000      -0.36247287        2.3423275        2.1014986        4.4438261        1.0000000
  3.8500000      -0.22313233        2.3872785        2.1688564        4.5561349        1.0000000
  3.9000000      -0.78739417E-01    2.4093779        2.2796053        4.6889832        1.0000000
  3.9500000       0.66988804E-01    2.4081660        2.4277146        4.8358806        1.0000000
  4.0000000       0.21031835        2.3837834        2.6052128        4.9889961        1.0000000
  4.0500000       0.34759434        2.3369638        2.8026172        5.1395810        1.0000000
  4.1000000       0.47533457        2.2690129        3.0094419        5.2784548        1.0000000
  4.1500000       0.59031816        2.1817716        3.2147551        5.3965267        1.0000000
  4.2000000       0.68966704        2.0775664        3.4077584        5.4853248        1.0000000
  4.2500000       0.77091821        1.9591474        3.5783555        5.5375029        1.0000000
  4.3000000       0.83208499        1.8296150        3.7176813        5.5472963        1.0000000
  4.3500000       0.87170566        1.6923389        3.8185636        5.5109024        1.0000000
  4.4000000       0.88887832        1.5508699        3.8758921        5.4267620        1.0000000
  4.4500000       0.88328120        1.4088480        3.8868779        5.2957259        1.0000000
  4.5000000       0.85517789        1.2699081        3.8511883        5.1210963        1.0000000
  4.5500000       0.80540746        1.1375869        3.7709510        4.9085378        1.0000000
  4.6000000       0.73535987        1.0152323        3.6506293        4.6658616        1.0000000
  4.6500000       0.64693726       0.90591875        3.4967737        4.4026924        1.0000000
  4.7000000       0.54250230       0.81236941        3.3176651        4.1300345        1.0000000
  4.7500000       0.42481494       0.73688832        3.1228686        3.8597569        1.0000000
  4.8000000       0.29695930       0.68130350        2.9227220        3.6040255        1.0000000
  4.8500000       0.16226264       0.64692269        2.7277861        3.3747088        1.0000000
  4.9000000       0.24208443E-01   0.63450270        2.5482868        3.1827895        1.0000000
  4.9500000      -0.11365390       0.64423314        2.3935775        3.0378107        1.0000000
  5.0000000      -0.24780068       0.67573485        2.2716513        2.9473862        1.0000000
  5.0500000      -0.37482424       0.72807298        2.1887275        2.9168005        1.0000000
  5.1000000      -0.49151978       0.79978432        2.1489338        2.9487182        1.0000000
  5.1500000      -0.59496651       0.88891800        2.1541021        3.0430201        1.0000000
  5.2000000      -0.68260089       0.99308858        2.2036848        3.1967733        1.0000000
  5.2500000      -0.75228034        1.1095400        2.2947990        3.4043390        1.0000000
  5.3000000      -0.80233565        1.2352185        2.4223927        3.6576112        1.0000000
  5.3500000      -0.83161091        1.3668533        2.5795245        3.9463777        1.0000000
  5.4000000      -0.83948995        1.5010413        2.7577416        4.2587829        1.0000000
  5.4500000      -0.82590877        1.6343361        2.9475349        4.5818710        1.0000000
  5.5000000      -0.79135362        1.7633361        3.1388474        4.9021834        1.0000000
  5.5500000      -0.73684497        1.8847719        3.3216071        5.2063791        1.0000000
  5.6000000      -0.66390779        1.9955897        3.4862590        5.4818487        1.0000000
  5.6500000      -0.57452912        2.0930274        3.6242645        5.7172919        1.0000000
  5.7000000      -0.47110392        2.1746845        3.7285452        5.9032297        1.0000000
  5.7500000      -0.35637087        2.2385810        3.7938458        6.0324269        1.0000000
  5.8000000      -0.23333972        2.2832052        3.8169993        6.1002045        1.0000000
  5.8500000      -0.10521213        2.3075495        3.7970790        6.1046284        1.0000000
  5.9000000       0.24701823E-01    2.3111328        3.7354321        6.0465649        1.0000000
  5.9500000       0.15306941        2.2940093        3.6355934        5.9296026        1.0000000
  6.0000000       0.27662096        2.2567630        3.5030827        5.7598457        1.0000000
  6.0500000       0.39223339        2.2004895        3.3451008        5.5455903        1.0000000
  6.1000000       0.49700932        2.1267637        3.1701375        5.2969011        1.0000000
  6.1500000       0.58834986        2.0375963        2.9875150        5.0251113        1.0000000
  6.2000000       0.66401916        1.9353788        2.8068911        4.7422699        1.0000000
  6.2500000       0.72219914        1.8228195        2.6377470        4.4605665        1.0000000
