# data from ifeffit
#------------------------
#   r         chirx     chirx     chirx
  0.0000000       0.12346936        40.234878        80.071351
  0.30679616E-01   0.16565732        40.247595        80.081118
  0.61359232E-01   0.24220336        40.272367        80.107169
  0.92038847E-01   0.30679337        40.286055        80.142373
  0.12271846       0.34235053        40.279111        80.178325
  0.15339808       0.35622656        40.274973        80.206948
  0.18407769       0.39532787        40.336605        80.222788
  0.21475731       0.51987365        40.491382        80.225560
  0.24543693       0.72583235        40.699628        80.222101
  0.27611654       0.95761738        40.910369        80.225233
  0.30679616        1.1548543        41.079069        80.245110
  0.33747577        1.2729679        41.176253        80.278856
  0.36815539        1.3042574        41.205871        80.313522
  0.39883500        1.3071668        41.230150        80.335972
  0.42951462        1.4109733        41.363341        80.338155
  0.46019424        1.7092028        41.670950        80.318787
  0.49087385        2.1436561        42.091352        80.284129
  0.52155347        2.5745741        42.502552        80.248119
  0.55223308        2.8795985        42.798536        80.228214
  0.58291270        3.0026121        42.931871        80.231030
  0.61359232        2.9966705        42.954589        80.242982
  0.64427193        3.0531403        43.042861        80.244683
  0.67495155        3.4065979        43.406800        80.226037
  0.70563116        4.0878738        44.073118        80.191620
  0.73631078        4.8843986        44.848871        80.163094
  0.76699039        5.5361683        45.491617        80.165628
  0.79767001        5.8765643        45.842133        80.188797
  0.82834963        5.9161800        45.909065        80.204076
  0.85902924        5.9118265        45.936427        80.216443
  0.88970886        6.3028761        46.341678        80.283925
  0.92038847        7.3281947        47.355204        80.442984
  0.95106809        8.7350273        48.741244        80.659763
  0.98174770        10.032470        50.026675        80.882242
  1.0124273        10.825064        50.822826        81.061521
  1.0431069        11.012727        51.028081        81.164528
  1.0737866        10.967010        51.005187        81.196501
  1.1044662        11.550561        51.600961        81.228919
  1.1351458        13.466746        53.510367        81.385870
  1.1658254        16.396633        56.426415        81.724168
  1.1965050        19.293275        59.314920        82.164329
  1.2271846        21.119673        61.141684        82.575691
  1.2578642        21.377930        61.405027        82.853196
  1.2885439        20.937976        60.966442        82.960210
  1.3192235        23.243471        63.260585        82.971241
  1.3499031        32.281678        72.285168        83.087702
  1.3805827        47.971736        87.975795        83.512505
  1.4112623        68.084912        108.10371        84.226482
  1.4419419        90.398986        130.44156        85.006085
  1.4726216        112.78655        152.85633        85.609545
  1.5033012        133.17876        173.27367        85.899293
  1.5339808        149.67610        189.78934        85.924134
  1.5646604        160.71806        200.83952        85.977917
  1.5953400        165.24656        205.36480        86.487232
  1.6260196        162.82420        202.92849        87.605240
  1.6566993        153.68453        193.76657        89.018022
  1.6873789        138.70534        178.76039        90.241445
  1.7180585        119.30978        159.33692        90.923552
  1.7487381        97.313464        137.31520        91.036003
  1.7794177        74.751351        114.73259        91.045063
  1.8100973        53.739657        93.706643        91.848794
  1.8407769        36.460457        76.420605        94.001488
  1.8714566        25.216897        65.181115        97.003107
  1.9021362        21.143986        61.124801        99.767382
  1.9328158        21.233604        61.230540        101.31744
  1.9634954        21.370267        61.376135        101.32234
  1.9941750        20.004938        60.015044        101.04339
  2.0248546        17.340407        57.351765        104.36257
  2.0555343        14.306009        54.315795        114.73991
  2.0862139        12.005784        52.011720        131.41845
  2.1168935        11.052326        51.055499        152.10614
  2.1475731        10.999916        51.005225        174.60409
  2.1782527        10.934576        50.946696        196.78975
  2.2089323        10.324861        50.345808        216.61150
  2.2396120        9.1491103        49.177730        232.21700
  2.2702916        7.7312967        47.763041        242.12569
  2.3009712        6.5546893        46.582304        245.38644
  2.3316508        5.9755979        45.993811        241.68442
  2.3623304        5.8958267        45.907375        231.37723
  2.3930100        5.8927549        45.905178        215.45383
  2.4236896        5.6434644        45.662665        195.42358
  2.4543693        5.0724216        45.100374        173.15635
  2.4850489        4.3005368        44.334971        150.71071
  2.5157285        3.5645389        43.598979        130.21116
  2.5464081        3.1027427        43.128885        113.86443
  2.5770877        2.9660773        42.981258        103.94698
  2.6077673        2.9638264        42.973536        100.99525
  2.6384470        2.8808811        42.892061        101.34513
  2.6691266        2.6265545        42.643313        101.25701
  2.6998062        2.2272472        42.250230        99.610902
  2.7304858        1.7836512        41.810108        96.798553
  2.7611654        1.4291919        41.453047        93.818481
  2.7918450        1.2572620        41.272264        91.744617
  2.8225246        1.2252349        41.231620        91.016481
  2.8532043        1.2056132        41.208441        91.027214
  2.8838839        1.1164715        41.120002        90.889801
  2.9145635       0.94567313        40.951927        90.170961
  2.9452431       0.72392453        40.733083        88.923691
  2.9759227       0.50180857        40.512553        87.513811
  3.0066023       0.33670001        40.345772        86.426254
  3.0372820       0.26811880        40.271153        85.954263
  3.0679616       0.25923690        40.256594        85.917467
  3.0986412       0.24364454        40.237933        85.886530
  3.1293208       0.20263048        40.194729        85.580829
  3.1600004       0.15430937        40.144153        84.964055
  3.1906800       0.13434410        40.124631        84.181929
  3.2213597       0.15251026        40.147611        83.479684
  3.2520393       0.17630752        40.176572        83.075632
  3.2827189       0.18468546        40.189659        82.974704
  3.3133985       0.17819049        40.187270        82.966964
  3.3440781       0.17206587        40.183356        82.855549
  3.3747577       0.18509357        40.195157        82.572368
  3.4054373       0.21928625        40.226183        82.158626
  3.4361170       0.25965135        40.264176        81.722357
  3.4667966       0.29104237        40.295017        81.394845
  3.4974762       0.30480210        40.310006        81.250235
  3.5281558       0.29898149        40.306724        81.224372
  3.5588354       0.27791178        40.288671        81.193020
  3.5895150       0.25155935        40.264534        81.087635
  3.6201947       0.23284173        40.245737        80.905110
  3.6508743       0.23006533        40.240272        80.680327
  3.6815539       0.23934372        40.246110        80.465009
  3.7122335       0.24870060        40.253322        80.314965
  3.7429131       0.24786132        40.252256        80.259266
  3.7735927       0.23264333        40.238340        80.249635
  3.8042724       0.20507197        40.212781        80.226723
  3.8349520       0.17230414        40.181661        80.180320
  3.8656316       0.14469677        40.154044        80.134999
  3.8963112       0.13067323        40.137654        80.129776
  3.9269908       0.12877224        40.132381        80.159232
  3.9576704       0.12906645        40.130274        80.185712
  3.9883500       0.12313951        40.123422        80.193958
  4.0190297       0.10814204        40.108565        80.188436
  4.0497093       0.85664825E-01    40.086738        80.185599
  4.0803889       0.59855082E-01    40.061626        80.201699
  4.1110685       0.35964503E-01    40.038078        80.235918
  4.1417481       0.19727675E-01    40.021140        80.273780
  4.1724277       0.14883129E-01    40.013959        80.301646
  4.2031074       0.14224815E-01    40.011125        80.312071
  4.2337870       0.13218390E-01    40.007904        80.304042
  4.2644666       0.18402841E-01    40.014043        80.282527
  4.2951462       0.30113562E-01    40.027451        80.257525
  4.3258258       0.42644126E-01    40.041332        80.240818
  4.3565054       0.52241803E-01    40.052441        80.238667
  4.3871851       0.57025107E-01    40.059060        80.246248
  4.4178647       0.56970034E-01    40.061057        80.252464
  4.4485443       0.54163211E-01    40.060085        80.248360
  4.4792239       0.52612360E-01    40.059313        80.230757
  4.5099035       0.55972861E-01    40.061828        80.202291
  4.5405831       0.63894086E-01    40.068082        80.170265
  4.5712627       0.72680349E-01    40.075630        80.144374
  4.6019424       0.78713003E-01    40.081392        80.131308
  4.6326220       0.79983178E-01    40.083334        80.128296
  4.6633016       0.76321100E-01    40.080981        80.126041
  4.6939812       0.69362504E-01    40.075450        80.117388
  4.7246608       0.62286966E-01    40.069173        80.100354
  4.7553404       0.58612456E-01    40.064960        80.076955
  4.7860201       0.59517244E-01    40.064176        80.051421
  4.8166997       0.62602353E-01    40.065549        80.028774
  4.8473793       0.64354041E-01    40.066388        80.014203
  4.8780589       0.62530748E-01    40.064564        80.010050
  4.9087385       0.56691213E-01    40.059379        80.007462
  4.9394181       0.47968090E-01    40.051560        80.006903
  4.9700978       0.38725742E-01    40.042945        80.018443
  5.0007774       0.31956439E-01    40.035880        80.033352
  5.0314570       0.29432423E-01    40.031930        80.047152
  5.0621366       0.29578354E-01    40.030392        80.057187
  5.0928162       0.29326460E-01    40.029005        80.062184
  5.1234958       0.26924230E-01    40.026059        80.062561
  5.1541754       0.22231410E-01    40.021158        80.060605
  5.1848551       0.16150439E-01    40.014942        80.059950
  5.2155347       0.10166528E-01    40.008722        80.063400
  5.2462143       0.61198266E-02    40.004702        80.070403
  5.2768939       0.50646218E-02    40.005135        80.077831
  5.3075735       0.49572655E-02    40.006604        80.082592
  5.3382531       0.50828720E-02    40.007652        80.082994
  5.3689328       0.77154886E-02    40.009733        80.079044
  5.3996124       0.12721347E-01    40.013745        80.072389
  5.4302920       0.18308809E-01    40.018809        80.065907
  5.4609716       0.23095076E-01    40.023623        80.062428
  5.4916512       0.26148478E-01    40.027196        80.062606
  5.5223308       0.27068200E-01    40.029025        80.064300
  5.5530105       0.26128920E-01    40.029192        80.064582
  5.5836901       0.24394726E-01    40.028404        80.061619
  5.6143697       0.23540740E-01    40.027817        80.055182
  5.6450493       0.24795076E-01    40.028427        80.046457
  5.6757289       0.27683548E-01    40.030283        80.037670
  5.7064085       0.30608173E-01    40.032476        80.031339
  5.7370881       0.32174648E-01    40.033893        80.028555
  5.7677678       0.31716466E-01    40.033828        80.027663
  5.7984474       0.29351574E-01    40.032193        80.026112
  5.8291270       0.25940768E-01    40.029517        80.022575
  5.8598066       0.22924152E-01    40.026784        80.017158
  5.8904862       0.21659900E-01    40.024995        80.010977
  5.9211658       0.22215538E-01    40.024472        80.006203
  5.9518455       0.23276497E-01    40.024567        80.005976
  5.9825251       0.23457925E-01    40.024266        80.007863
  6.0132047       0.22070401E-01    40.022874        80.008866
  6.0438843       0.19138867E-01    40.020259        80.009595
  6.0745639       0.15240734E-01    40.016790        80.011977
  6.1052435       0.11363056E-01    40.013192        80.016441
  6.1359232       0.87188729E-02    40.010317        80.021648
  6.1666028       0.79337007E-02    40.008664        80.026184
  6.1972824       0.80524227E-02    40.007831        80.029115
  6.2279620       0.78312149E-02    40.006928        80.030102
  6.2586416       0.69175154E-02    40.005493        80.029468
  6.2893212       0.57422255E-02    40.003818        80.028194
  6.3200008       0.51914093E-02    40.003250        80.027613
  6.3506805       0.56469214E-02    40.004566        80.028573
  6.3813601       0.63783935E-02    40.006256        80.030693
  6.4120397       0.66630327E-02    40.007455        80.032759
  6.4427193       0.64229016E-02    40.008068        80.033647
  6.4733989       0.63082119E-02    40.008476        80.032815
  6.5040785       0.73028220E-02    40.009301        80.030416
  6.5347582       0.94638704E-02    40.010864        80.027234
  6.5654378       0.11952374E-01    40.012879        80.024455
  6.5961174       0.13971031E-01    40.014777        80.023047
  6.6267970       0.15030954E-01    40.016081        80.022949
  6.6574766       0.14984054E-01    40.016562        80.023132
  6.6881562       0.14061534E-01    40.016294        80.022518
  6.7188359       0.12895509E-01    40.015642        80.020582
  6.7495155       0.12355790E-01    40.015147        80.017414
  6.7801951       0.12933074E-01    40.015217        80.013582
  6.8108747       0.14215260E-01    40.015812        80.009973
  6.8415543       0.15350006E-01    40.016487        80.007531
  6.8722339       0.15690130E-01    40.016738        80.006515
  6.9029135       0.14991159E-01    40.016277        80.005980
  6.9335932       0.13405596E-01    40.015116        80.004973
  6.9642728       0.11442796E-01    40.013547        80.003455
  6.9949524       0.98662056E-02    40.012049        80.002807
  7.0256320       0.92958607E-02    40.011050        80.004406
  7.0563116       0.95759808E-02    40.010619        80.006547
  7.0869912       0.99437922E-02    40.010399        80.008167
  7.1176709       0.97740091E-02    40.009932        80.008987
  7.1483505       0.88366706E-02    40.008953        80.009204
  7.1790301       0.72235601E-02    40.007457        80.009428
  7.2097097       0.52345975E-02    40.005640        80.010350
  7.2403893       0.32891359E-02    40.003821        80.012096
  7.2710689       0.18994125E-02    40.002349        80.014142
  7.3017486       0.15050116E-02    40.001463        80.015836
  7.3324282       0.15955339E-02    40.000965        80.016734
  7.3631078       0.16698337E-02    40.000452        80.016710
  7.3937874       0.20835931E-02    40.000993        80.015977
  7.4244670       0.30490165E-02    40.002334        80.015054
  7.4551466       0.42097925E-02    40.003799        80.014560
  7.4858262       0.51732940E-02    40.005112        80.014807
  7.5165059       0.56910095E-02    40.006077        80.015515
  7.5471855       0.57006789E-02    40.006620        80.016082
  7.5778651       0.53860288E-02    40.006826        80.016010
  7.6085447       0.52124286E-02    40.006946        80.015111
  7.6392243       0.56823276E-02    40.007282        80.013536
  7.6699039       0.67789855E-02    40.007969        80.011721
  7.7005836       0.80204564E-02    40.008859        80.010247
  7.7312632       0.89383566E-02    40.009659        80.009500
  7.7619428       0.92620154E-02    40.010120        80.009309
  7.7926224       0.89438965E-02    40.010134        80.009117
  7.8233020       0.81699280E-02    40.009764        80.008467
  7.8539816       0.73522041E-02    40.009229        80.007209
  7.8846612       0.69928824E-02    40.008815        80.005461
  7.9153409       0.72887596E-02    40.008711        80.003512
  7.9460205       0.79092320E-02    40.008857        80.001723
  7.9767001       0.83557042E-02    40.009002        80.000523
  8.0073797       0.83029744E-02    40.008890        80.000545
  8.0380593       0.76665751E-02    40.008395        80.000550
