# data from ifeffit
#------------------------
#   r         chirr     chirr     chirr
  0.0000000      -0.12346936        39.765122        79.928649
  0.30679616E-01  -0.16351703        39.764183        79.947733
  0.61359232E-01  -0.17742262        39.799054        80.010088
  0.92038847E-01  -0.10324000E-01    39.931462        80.106158
  0.12271846       0.26323976        40.140830        80.178308
  0.15339808       0.33341635        40.274842        80.147375
  0.18407769       0.32011164E-02    40.145177        79.997072
  0.21475731      -0.48241571        39.730719        79.825988
  0.24543693      -0.56863179        39.305145        79.785409
  0.27611654       0.38363930E-01    39.297847        79.937095
  0.30679616       0.92768883        39.909507        80.169098
  0.33747577        1.2306953        40.796256        80.274072
  0.36815539       0.46477863        41.202814        80.137500
  0.39883500      -0.82184227        40.587025        79.858455
  0.42951462       -1.3710638        39.254462        79.673346
  0.46019424      -0.38773762        38.331193        79.741752
  0.49087385        1.4981903        38.878287        79.996915
  0.52155347        2.5534357        40.798505        80.208698
  0.55223308        1.4935829        42.605501        80.199363
  0.58291270       -1.0887025        42.539715        80.000664
  0.61359232       -2.9244202        40.256187        79.802846
  0.64427193       -2.0271716        37.516826        79.760121
  0.67495155        1.2349151        36.939685        79.859166
  0.70563116        4.0338562        39.600593        79.976670
  0.73631078        3.4307315        43.626977        80.038234
  0.76699039      -0.71066203        45.408161        80.082638
  0.79767001       -5.0502439        42.782186        80.158897
  0.82834963       -5.4237912        37.454216        80.200852
  0.85902924      -0.80255570        34.099439        80.073709
  0.88970886        5.1120319        36.371243        79.782208
  0.92038847        6.6548645        43.130347        79.588820
  0.95106809        1.3931368        48.634788        79.819486
  0.98174770       -6.8978961        47.261984        80.471445
  1.0124273       -10.782068        39.012754        81.044784
  1.0431069       -5.7452445        30.583386        80.903843
  1.0737866        4.8510366        30.127751        79.945637
  1.1044662        11.544956        39.597547        78.912475
  1.1351458        6.8081893        51.616406        78.873727
  1.1658254       -7.2357343        54.786264        80.184467
  1.1965050       -18.904174        43.972227        81.895822
  1.2271846       -16.330146        26.682105        82.377138
  1.2578642       0.92623936        18.610621        80.819200
  1.2885439        18.580926        30.239639        78.272632
  1.3192235        17.587161        55.117892        77.030745
  1.3499031       -8.8710526        71.079268        78.599434
  1.3805827       -45.188916        56.245164        82.003618
  1.4112623       -60.505748        8.9149493        84.221613
  1.4419419       -30.763926       -44.990122        82.764352
  1.4726216        39.802543       -65.643316        78.258240
  1.5033012        115.24528       -26.883071        74.453695
  1.5339808        148.06918        61.832166        75.140693
  1.5646604        110.75878        156.54062        80.425267
  1.5953400        16.541223        204.53790        85.920122
  1.6260196       -86.396113        178.06106        86.195000
  1.6566993       -144.41323        92.505174        79.895725
  1.6873789       -131.67550       -3.7200639        71.831473
  1.7180585       -64.445084       -60.488399        69.434069
  1.7487381        12.547871       -56.490700        76.001046
  1.7794177        56.766866       -8.5657191        86.694117
  1.8100973        53.550062        44.562725        91.685362
  1.8407769        20.112492        70.402939        84.751364
  1.8714566       -12.022337        62.112533        70.058933
  1.9021362       -20.968937        37.234280        60.249992
  1.9328158       -7.1556365        19.994445        65.907696
  1.9634954        12.268833        22.520271        84.673870
  1.9941750        19.960982        38.699135        100.27257
  2.0248546        11.658068        52.852388        94.566278
  2.0555343       -3.1691510        53.960366        64.462850
  2.0862139       -11.476793        43.534527        29.470623
