# data from ifeffit
#------------------------
#   k         chik      hann3      kaiser3      kaiser5      welch3      parzen3      sine3
  0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.0000000       0.92268359E-01
  0.50000000E-01   0.40993028E-04    0.0000000        0.0000000       0.39626118E-01    0.0000000        0.0000000       0.10146485
  0.10000000       0.20348534E-03    0.0000000        0.0000000       0.42636245E-01    0.0000000        0.0000000       0.11065268
  0.15000000       0.61809401E-03    0.0000000        0.0000000       0.45742032E-01    0.0000000        0.0000000       0.11983106
  0.20000000       0.15349257E-02    0.0000000        0.0000000       0.48944192E-01    0.0000000        0.0000000       0.12899922
  0.25000000       0.33447319E-02    0.0000000        0.0000000       0.52243399E-01    0.0000000        0.0000000       0.13815635
  0.30000000       0.65250493E-02    0.0000000        0.0000000       0.55640284E-01    0.0000000        0.0000000       0.14730170
  0.35000000       0.11420372E-01    0.0000000        0.0000000       0.59135433E-01    0.0000000        0.0000000       0.15643447
  0.40000000       0.18606694E-01    0.0000000        0.0000000       0.62729388E-01    0.0000000        0.0000000       0.16555388
  0.45000000       0.28285239E-01    0.0000000        0.0000000       0.66422645E-01    0.0000000        0.0000000       0.17465915
  0.50000000       0.40607275E-01    0.0000000        0.0000000       0.70215655E-01    0.0000000        0.0000000       0.18374952
  0.55000000       0.55810347E-01    0.0000000        0.0000000       0.74108821E-01    0.0000000        0.0000000       0.19282419
  0.60000000       0.74068860E-01    0.0000000        0.0000000       0.78102497E-01    0.0000000        0.0000000       0.20188241
  0.65000000       0.95394573E-01    0.0000000        0.0000000       0.82196990E-01    0.0000000        0.0000000       0.21092339
  0.70000000       0.11977653        0.0000000        0.0000000       0.86392557E-01    0.0000000        0.0000000       0.21994636
  0.75000000       0.14769079        0.0000000        0.0000000       0.90689405E-01    0.0000000        0.0000000       0.22895055
  0.80000000       0.18045751        0.0000000        0.0000000       0.95087690E-01    0.0000000        0.0000000       0.23793520
  0.85000000       0.22141960        0.0000000        0.0000000       0.99587517E-01    0.0000000        0.0000000       0.24689953
  0.90000000       0.27398717        0.0000000        0.0000000       0.10418894        0.0000000        0.0000000       0.25584278
  0.95000000       0.33158785        0.0000000        0.0000000       0.10889196        0.0000000        0.0000000       0.26476419
  1.0000000       0.40027321        0.0000000        0.0000000       0.11369652        0.0000000        0.0000000       0.27366299
  1.0500000       0.48498664       0.68523230E-03   0.21149955       0.11860252       0.33055548E-01   0.16666663E-01   0.28253843
  1.1000000       0.57915347       0.27390510E-02   0.21817199       0.12360980       0.65555541E-01   0.33333326E-01   0.29138975
  1.1500000       0.66813302       0.61558268E-02   0.22490091       0.12871814       0.97499978E-01   0.49999988E-01   0.30021619
  1.2000000       0.73547052       0.10926195E-01   0.23168513       0.13392728       0.12888886       0.66666651E-01   0.30901699
  1.2500000       0.77149839       0.17037079E-01   0.23852343       0.13923688       0.15972219       0.83333314E-01   0.31779142
  1.3000000       0.77483341       0.24471731E-01   0.24541457       0.14464658       0.18999996       0.99999977E-01   0.32653871
  1.3500000       0.73249279       0.33209771E-01   0.25235730       0.15015592       0.21972217       0.11666664       0.33525813
  1.4000000       0.63691970       0.43227251E-01   0.25935033       0.15576443       0.24888883       0.13333330       0.34394892
  1.4500000       0.55768579       0.54496713E-01   0.26639237       0.16147155       0.27749994       0.14999997       0.35261034
  1.5000000       0.45979783       0.66987268E-01   0.27348210       0.16727668       0.30555549       0.16666663       0.36124167
  1.5500000       0.36556681       0.80664679E-01   0.28061817       0.17317915       0.33305549       0.18333329       0.36984215
  1.6000000       0.29197536       0.95491460E-01   0.28779922       0.17917825       0.35999993       0.19999995       0.37841105
  1.6500000       0.23299752       0.11142697       0.29502387       0.18527320       0.38638881       0.21666662       0.38694765
  1.7000000       0.18522687       0.12842753       0.30229072       0.19146316       0.41222214       0.23333328       0.39545121
  1.7500000       0.12353770       0.14644654       0.30959835       0.19774724       0.43749991       0.24999994       0.40392100
  1.8000000       0.67165378E-01   0.16543462       0.31694532       0.20412450       0.46222213       0.26666660       0.41235632
  1.8500000       0.34502582E-02   0.18533972       0.32433017       0.21059393       0.48638879       0.28333327       0.42075642
  1.9000000      -0.52379834E-01   0.20610728       0.33175144       0.21715447       0.50999990       0.29999993       0.42912061
  1.9500000      -0.90461521E-01   0.22768039       0.33920762       0.22380499       0.53305545       0.31666659       0.43744816
  2.0000000      -0.10574515       0.24999989       0.34669722       0.23054433       0.55555545       0.33333326       0.44573836
  2.0500000      -0.82184415E-01   0.27300464       0.35421869       0.23737124       0.57749989       0.34999992       0.45399050
  2.1000000      -0.22653040E-01   0.29663156       0.36177051       0.24428445       0.59888878       0.36666658       0.46220388
  2.1500000       0.81480023E-01   0.32081589       0.36935112       0.25128259       0.61972211       0.38333324       0.47037781
  2.2000000       0.18626380       0.34549136       0.37695894       0.25836427       0.63999989       0.39999991       0.47851157
  2.2500000       0.25414676       0.37059033       0.38459239       0.26552803       0.65972211       0.41666657       0.48660448
  2.3000000       0.26150875       0.39604400       0.39224986       0.27277236       0.67888877       0.43333323       0.49465584
  2.3500000       0.19924955       0.42178260       0.39992973       0.28009568       0.69749988       0.44999990       0.50266498
  2.4000000       0.75249338E-01   0.44773560       0.40763039       0.28749639       0.71555544       0.46666656       0.51063119
  2.4500000      -0.71770038E-01   0.47383184       0.41535018       0.29497279       0.73305544       0.48333322       0.51855381
  2.5000000      -0.21943728       0.49999982       0.42308746       0.30252315       0.74999988       0.49999988       0.52643216
  2.5500000      -0.36222316       0.52616779       0.43084055       0.31014570       0.76638877       0.51666655       0.53426557
  2.6000000      -0.49055211       0.55226404       0.43860778       0.31783860       0.78222211       0.53333321       0.54205336
  2.6500000      -0.59896381       0.57821703       0.44638745       0.32559996       0.79749988       0.54999987       0.54979487
  2.7000000      -0.68576173       0.60395564       0.45417788       0.33342784       0.81222211       0.56666653       0.55748944
  2.7500000      -0.76253804       0.62940932       0.46197734       0.34132025       0.82638878       0.58333320       0.56513641
  2.8000000      -0.83083727       0.65450829       0.46978412       0.34927516       0.83999989       0.59999986       0.57273514
  2.8500000      -0.88689324       0.67918376       0.47759650       0.35729047       0.85305545       0.61666652       0.58028497
  2.9000000      -0.92501532       0.70336811       0.48541272       0.36536404       0.86555545       0.63333319       0.58778525
  2.9500000      -0.93855189       0.72699504       0.49323106       0.37349371       0.87749989       0.64999985       0.59523535
  3.0000000      -0.92255000       0.74999979       0.50104974       0.38167723       0.88888879       0.66666651       0.60263464
  3.0500000      -0.88048506       0.77231931       0.50886703       0.38991232       0.89972212       0.68333317       0.60998247
  3.1000000      -0.83143178       0.79389242       0.51668115       0.39819667       0.90999990       0.69999984       0.61727822
  3.1500000      -0.77048184       0.81465999       0.52449032       0.40652792       0.91972213       0.71666650       0.62452127
  3.2000000      -0.69605556       0.83456510       0.53229277       0.41490365       0.92888880       0.73333316       0.63171101
  3.2500000      -0.59228487       0.85355320       0.54008673       0.42332141       0.93749991       0.74999983       0.63884681
  3.3000000      -0.40419419       0.87157222       0.54787039       0.43177872       0.94555547       0.76666649       0.64592806
  3.3500000      -0.10628873       0.88857280       0.55564198       0.44027304       0.95305548       0.78333315       0.65295417
  3.4000000       0.23944616       0.90450832       0.56339970       0.44880182       0.95999993       0.79999981       0.65992453
  3.4500000       0.56426311       0.91933512       0.57114175       0.45736243       0.96638882       0.81666648       0.66683856
  3.5000000       0.86798864       0.93301255       0.57886633       0.46595225       0.97222216       0.83333314       0.67369564
  3.5500000        1.1306499       0.94550312       0.58657165       0.47456858       0.97749994       0.84999980       0.68049521
  3.6000000        1.3132158       0.95677260       0.59425590       0.48320873       0.98222217       0.86666646       0.68723669
  3.6500000        1.4309114       0.96679010       0.60191728       0.49186995       0.98638884       0.88333313       0.69391948
  3.7000000        1.4796283       0.97552816       0.60955399       0.50054947       0.98999996       0.89999979       0.70054304
  3.7500000        1.4378013       0.98296283       0.61716424       0.50924448       0.99305552       0.91666645       0.70710678
  3.8000000        1.2976242       0.98907373       0.62474621       0.51795214       0.99555553       0.93333312       0.71361015
  3.8500000        1.0849697       0.99384412       0.63229812       0.52666960       0.99749998       0.94999978       0.72005260
  3.9000000       0.84408410       0.99726091       0.63981817       0.53539397       0.99888887       0.96666644       0.72643357
  3.9500000       0.60799430       0.99931475       0.64730456       0.54412234       0.99972221       0.98333310       0.73275253
  4.0000000       0.39172237       1.00000000       0.65475551       0.55285178       1.00000000       0.99999977       0.73900892
  4.0500000       0.21573339        1.0000000       0.66216923       0.56157932        1.0000000        1.0000000       0.74520221
  4.1000000       0.25943489E-01    1.0000000       0.66954394       0.57030200        1.0000000        1.0000000       0.75133189
