# data from ifeffit
#------------------------
#   r         chir_h0      chir_h2      chir_h4      chir_h6
  0.0000000       0.10607408       0.54049684        1.0074361        1.5117636
  0.30679616E-01   0.10754351       0.54102332        1.0074030        1.5119238
  0.61359232E-01   0.11124016       0.54243033        1.0073867        1.5123776
  0.92038847E-01   0.11548899       0.54430463        1.0076010        1.5130446
  0.12271846       0.11856742       0.54621354        1.0082639        1.5138011
  0.15339808       0.11941134       0.54789868        1.0094378        1.5145118
  0.18407769       0.11794818       0.54938188        1.0110112        1.5150761
  0.21475731       0.11514456       0.55097488        1.0128307        1.5154655
  0.24543693       0.11276076       0.55317504        1.0148296        1.5157342
  0.27611654       0.11268535       0.55644275        1.0170834        1.5159967
  0.30679616       0.11594208       0.56094997        1.0197813        1.5163917
  0.33747577       0.12204550       0.56646662        1.0231168        1.5170671
  0.36815539       0.12932938       0.57245822        1.0271522        1.5181980
  0.39883500       0.13587771       0.57830444        1.0317510        1.5199927
  0.42951462       0.14031583       0.58351565        1.0366177        1.5226172
  0.46019424       0.14221827       0.58788981        1.0414099        1.5260669
  0.49087385       0.14221156       0.59159026        1.0458761        1.5301068
  0.52155347       0.14180135       0.59511953        1.0499828        1.5343459
  0.55223308       0.14284630       0.59915860        1.0539900        1.5384017
  0.58291270       0.14670811       0.60428789        1.0584144        1.5420871
  0.61359232       0.15350529       0.61070948        1.0638323        1.5455602
  0.64427193       0.16206480       0.61814629        1.0705897        1.5493513
  0.67495155       0.17059701       0.62599381        1.0786152        1.5541717
  0.70563116       0.17755750       0.63363734        1.0874923        1.5605423
  0.73631078       0.18229095       0.64079109        1.0967477        1.5685280
  0.76699039       0.18537590       0.64775004        1.1062010        1.5778496
  0.79767001       0.18864229       0.65546621        1.1162337        1.5882947
  0.82834963       0.19471696       0.66535409        1.1278431        1.6001340
  0.85902924       0.20601002       0.67880036        1.1423642        1.6142672
  0.88970886       0.22356717       0.69657275        1.1608985        1.6319345
  0.92038847       0.24664693       0.71849312        1.1837668        1.6540775
  0.95106809       0.27330082       0.74356369        1.2103439        1.6807605
  0.98174770       0.30134194       0.77038941        1.2393171        1.7110402
  1.0124273       0.32908980       0.79763106        1.2691377        1.7432806
  1.0431069       0.35573745       0.82434039        1.2984571        1.7756654
  1.0737866       0.38140054       0.85013858        1.3264491        1.8067032
  1.1044662       0.40691037       0.87523305        1.3529753        1.8356122
  1.1351458       0.43340834       0.90027511        1.3785589        1.8625015
  1.1658254       0.46185281       0.92608609        1.4041501        1.8882710
  1.1965050       0.49261327       0.95332818        1.4307312        1.9142104
  1.2271846       0.52531379       0.98223645        1.4588943        1.9413990
  1.2578642       0.55897327        1.0125169        1.4885709        1.9701625
  1.2885439       0.59235160        1.0434431        1.5190315        1.9998605
