# data from ifeffit
#------------------------
#   r         chir_h3      chir_p3      chir_k3      chir_k5
  0.0000000       0.15896273E-01   0.50208304        1.0168328        1.5132875
  0.30679616E-01   0.16205461E-01   0.50201875        1.0171246        1.5133961
  0.61359232E-01   0.17175421E-01   0.50215521        1.0178418        1.5136828
  0.92038847E-01   0.18858417E-01   0.50307918        1.0186321        1.5140513
  0.12271846       0.21192133E-01   0.50473269        1.0191761        1.5143932
  0.15339808       0.23984786E-01   0.50675419        1.0193396        1.5146233
  0.18407769       0.27021219E-01   0.50887112        1.0192134        1.5146909
  0.21475731       0.30190429E-01   0.51092934        1.0190574        1.5145784
  0.24543693       0.33555036E-01   0.51293096        1.0191480        1.5143012
  0.27611654       0.37324197E-01   0.51507124        1.0195945        1.5139213
  0.30679616       0.41727603E-01   0.51769100        1.0202828        1.5135701
  0.33747577       0.46851269E-01   0.52109892        1.0210286        1.5134632
  0.36815539       0.52541515E-01   0.52536690        1.0218225        1.5138660
  0.39883500       0.58439042E-01   0.53026993        1.0229712        1.5149888
  0.42951462       0.64114269E-01   0.53538866        1.0249803        1.5168756
  0.46019424       0.69235807E-01   0.54027680        1.0281648        1.5193900
  0.49087385       0.73716542E-01   0.54463050        1.0323321        1.5222855
  0.52155347       0.77793411E-01   0.54843595        1.0368669        1.5252728
  0.55223308       0.81992895E-01   0.55205526        1.0410570        1.5280614
  0.58291270       0.86947950E-01   0.55616925        1.0443880        1.5303981
  0.61359232       0.93110531E-01   0.56150812        1.0467293        1.5321142
  0.64427193       0.10051956       0.56846496        1.0483972        1.5331771
  0.67495155       0.10879279       0.57688023        1.0500409        1.5337264
  0.70563116       0.11735818       0.58618045        1.0523160        1.5340750
  0.73631078       0.12579633       0.59575285        1.0555086        1.5346708
  0.76699039       0.13415042       0.60534189        1.0594597        1.5360567
  0.79767001       0.14309109       0.61532742        1.0639524        1.5388854
  0.82834963       0.15383003       0.62676674        1.0693035        1.5439628
  0.85902924       0.16772149       0.64108393        1.0767149        1.5521594
  0.88970886       0.18568005       0.65945153        1.0879469        1.5641184
  0.92038847       0.20775520       0.68221008        1.1043104        1.5799718
  0.95106809       0.23312611       0.70871078        1.1258316        1.5992737
  0.98174770       0.26045023       0.73760612        1.1513133        1.6211172
  1.0124273       0.28831772       0.76732779        1.1789499        1.6443361
  1.0431069       0.31563182       0.79652908        1.2069374        1.6677427
  1.0737866       0.34184742       0.82439964        1.2339141        1.6903801
  1.1044662       0.36704612       0.85081793        1.2592395        1.7117452
  1.1351458       0.39183706       0.87631354        1.2830890        1.7319176
  1.1658254       0.41709698       0.90182948        1.3063130        1.7515213
  1.1965050       0.44361673       0.92833356        1.3300506        1.7714800
  1.2271846       0.47177802       0.95640969        1.3552040        1.7926199
  1.2578642       0.50139124       0.98599942        1.3819992        1.8152809
  1.2885439       0.53175617        1.0164049        1.4098479        1.8391347
  1.3192235       0.56190241        1.0465336        1.4375611        1.8632953
  1.3499031       0.59089526        1.0752569        1.4637721        1.8866423
  1.3805827       0.61808475        1.1017306        1.4873597        1.9081866
  1.4112623       0.64321155        1.1255621        1.5077089        1.9273249
  1.4419419       0.66633512        1.1467758        1.5247365        1.9438996
  1.4726216       0.68760553        1.1655886        1.5386917        1.9580591
  1.5033012       0.70695457        1.1820773        1.5498163        1.9699804
  1.5339808       0.72381818        1.1958591        1.5580012        1.9795695
  1.5646604       0.73699844        1.2059147        1.5625866        1.9862716
  1.5953400       0.74472198        1.2106243        1.5623876        1.9890704
  1.6260196       0.74487785        1.2080069        1.5559306        1.9866753
  1.6566993       0.73536063        1.1960757        1.5417994        1.9778127
  1.6873789       0.71442825        1.1732075        1.5189703        1.9615200
  1.7180585       0.68100132        1.1384406        1.4870472        1.9373590
  1.7487381       0.63486355        1.0916542        1.4463573        1.9055142
  1.7794177       0.57675553        1.0336256        1.3979116        1.8667753
  1.8100973       0.50838498       0.96598582        1.3432626        1.8224365
  1.8407769       0.43241454       0.89113137        1.2843045        1.7741569
  1.8714566       0.35256495       0.81220896        1.2230692        1.7238560
  1.9021362       0.27418128       0.73348987        1.1616003        1.6737732
  1.9328158       0.20615069       0.66227894        1.1021602        1.6270487
  1.9634954       0.16477453       0.61589554        1.0498966        1.5899445
  1.9941750       0.16796172       0.62187022        1.0390220        1.5759057
  2.0248546       0.20836258       0.66908429        1.0808695        1.5927356
  2.0555343       0.26404524       0.72813235        1.1285012        1.6260801
  2.0862139       0.32227830       0.78714315        1.1746996        1.6639901
  2.1168935       0.37796054       0.84242228        1.2187327        1.7022411
  2.1475731       0.42941179       0.89300384        1.2609002        1.7397415
  2.1782527       0.47670472       0.93927385        1.3020392        1.7768416
  2.2089323       0.52110439       0.98264873        1.3435126        1.8148517
  2.2396120       0.56481794        1.0254570        1.3871879        1.8557261
  2.2702916       0.61070033        1.0706996        1.4352344        1.9015910
  2.3009712       0.66174913        1.1215338        1.4896826        1.9541217
  2.3316508       0.72039545        1.1805109        1.5518456        2.0139753
  2.3623304       0.78778460        1.2488068        1.6218181        2.0805030
  2.3930100       0.86331698        1.3257560        1.6982448        2.1518082
  2.4236896       0.94460450        1.4088468        1.7784086        2.2250473
  2.4543693        1.0277941        1.4940963        1.8585540        2.2968242
  2.4850489        1.1080912        1.5766085        1.9343281        2.3635699
