# data from ifeffit
#------------------------
#   r         chirx0      chirx2      chirx4      chirx6
  0.0000000       0.16249438       0.78116622        1.5069103        2.2555503
  0.30679616E-01   0.16269453       0.78127609        1.5073128        2.2556442
  0.61359232E-01   0.16323042       0.78164640        1.5083519        2.2558949
  0.92038847E-01   0.16396739       0.78237162        1.5097297        2.2562314
  0.12271846       0.16482639       0.78353196        1.5112731        2.2565894
  0.15339808       0.16586579       0.78512768        1.5129717        2.2569483
  0.18407769       0.16724013       0.78706681        1.5149013        2.2573468
  0.21475731       0.16905541       0.78922531        1.5171181        2.2578758
  0.24543693       0.17123580       0.79154991        1.5195825        2.2586426
  0.27611654       0.17353024       0.79414507        1.5221486        2.2597167
  0.30679616       0.17569152       0.79728151        1.5246149        2.2610923
  0.33747577       0.17772666       0.80128609        1.5268044        2.2626909
  0.36815539       0.18004558       0.80634671        1.5286476        2.2643911
  0.39883500       0.18336453       0.81235741        1.5302503        2.2660599
  0.42951462       0.18835263       0.81891992        1.5319185        2.2675792
  0.46019424       0.19520989       0.82549824        1.5340962        2.2688661
  0.49087385       0.20348361       0.83163662        1.5371940        2.2698934
  0.52155347       0.21228654       0.83715530        1.5413844        2.2707084
  0.55223308       0.22077999       0.84226074        1.5465193        2.2714461
  0.58291270       0.22862604       0.84750990        1.5522222        2.2723242
  0.61359232       0.23616512       0.85358946        1.5580664        2.2736026
  0.64427193       0.24421514       0.86097070        1.5637445        2.2755023
  0.67495155       0.25356623       0.86964028        1.5691919        2.2781194
  0.70563116       0.26445227       0.87911015        1.5746537        2.2813883
  0.73631078       0.27636664       0.88872100        1.5806608        2.2851103
  0.76699039       0.28839303       0.89807797        1.5878843        2.2890136
  0.79767001       0.29988211       0.90743133        1.5968840        2.2928084
  0.82834963       0.31111403       0.91783757        1.6078650        2.2962280
  0.85902924       0.32359290       0.93094574        1.6205790        2.2990595
  0.88970886       0.33971452       0.94836978        1.6344056        2.3011716
  0.92038847       0.36179407       0.97092938        1.6485372        2.3025419
  0.95106809       0.39091257       0.99826377        1.6621774        2.3032828
  0.98174770       0.42634600        1.0290408        1.6747069        2.3036626
  1.0124273       0.46593477        1.0615192        1.6858042        2.3041033
  1.0431069       0.50702439        1.0941185        1.6955115        2.3051336
  1.0737866       0.54737838        1.1258164        1.7042314        2.3072723
  1.1044662       0.58571686        1.1563249        1.7126395        2.3108703
  1.1351458       0.62180282        1.1860376        1.7215091        2.3159959
  1.1658254       0.65613736        1.2157673        1.7314841        2.3224406
  1.1965050       0.68941432        1.2463464        1.7428761        2.3298266
  1.2271846       0.72196104        1.2782313        1.7555735        2.3377371
  1.2578642       0.75340197        1.3112717        1.7691013        2.3458162
  1.2885439       0.78267620        1.3447341        1.7827956        2.3538326
  1.3192235       0.80836290        1.3775479        1.7960173        2.3617138
