# data from ifeffit
#------------------------
#   r         chir_kw0      chir_kw1      chir_kw2      chir_kw3
  0.0000000       0.57481991        4.2742099        8.0794814        12.009293
  0.30679616E-01   0.57723750        4.2757374        8.0810273        12.013228
  0.61359232E-01   0.58451274        4.2803808        8.0858771        12.022073
  0.92038847E-01   0.59669912        4.2882585        8.0942921        12.033314
  0.12271846       0.61384933        4.2994078        8.1059607        12.045384
  0.15339808       0.63598957        4.3136971        8.1199239        12.056756
  0.18407769       0.66312152        4.3308745        8.1351061        12.066466
  0.21475731       0.69525517        4.3507341        8.1509521        12.074877
  0.24543693       0.73245287        4.3732866        8.1677752        12.084142
  0.27611654       0.77485122        4.3988070        8.1866210        12.097455
  0.30679616       0.82263416        4.4277013        8.2086380        12.116819
  0.33747577       0.87595625        4.4602409        8.2342563        12.141333
  0.36815539       0.93484737        4.4963100        8.2627076        12.167695
  0.39883500       0.99914999        4.5353197        8.2921952        12.191710
  0.42951462        1.0685331        4.5763628        8.3205713        12.209585
  0.46019424        1.1425934        4.6185536        8.3461790        12.218969
  0.49087385        1.2210115        4.6614125        8.3685827        12.219985
  0.52155347        1.3036982        4.7051317        8.3889671        12.216232
  0.55223308        1.3908643        4.7505920        8.4099645        12.215041
  0.58291270        1.4829744        4.7990877        8.4347398        12.224903
  0.61359232        1.5805987        4.8518473        8.4655527        12.249452
  0.64427193        1.6842275        4.9095673        8.5025978        12.284207
  0.67495155        1.7941429        4.9722127        8.5439640        12.320245
  0.70563116        1.9104224        5.0392247        8.5867909        12.349311
  0.73631078        2.0330867        5.1100700        8.6289817        12.367028
  0.76699039        2.1623320        5.1848909        8.6707521        12.375362
  0.79767001        2.2987304        5.2649545        8.7154555        12.384892
  0.82834963        2.4432817        5.3526473        8.7691502        12.413915
  0.85902924        2.5972514        5.4509211        8.8386074        12.478923
  0.88970886        2.7618178        5.5623410        8.9284002        12.582481
  0.92038847        2.9376440        5.6881218        9.0387760        12.713844
  0.95106809        3.1245376        5.8275920        9.1656306        12.857705
  0.98174770        3.3213336        5.9783246        9.3022512        12.999871
  1.0124273        3.5260477        6.1368409        9.4415886        13.129611
  1.0431069        3.7362351        6.2995710        9.5781591        13.240968
  1.0737866        3.9494191        6.4637146        9.7092371        13.333707
  1.1044662        4.1634365        6.6277419        9.8352306        13.413575
  1.1351458        4.3765910        6.7914142        9.9591853        13.491180
  1.1658254        4.5875843        6.9553541        10.085485        13.578939
  1.1965050        4.7952740        7.1203294        10.218084        13.686577
  1.2271846        4.9983689        7.2865168        10.358890        13.817218
  1.2578642        5.1951850        7.4530121        10.506956        13.966412
  1.2885439        5.3835537        7.6177536        10.658781        14.124502
  1.3192235        5.5609049        7.7778507        10.809512        14.280646
  1.3499031        5.7244767        7.9301449        10.954476        14.426535
  1.3805827        5.8715536        8.0717557        11.090424        14.558768
  1.4112623        5.9996357        8.2003840        11.216058        14.679469
  1.4419419        6.1064725        8.3142538        11.331676        14.795041
  1.4726216        6.1899653        8.4117137        11.438028        14.913211
  1.5033012        6.2480003        8.4906561        11.534773        15.039117
  1.5339808        6.2783155        8.5479942        11.619091        15.171910
  1.5646604        6.2785080        8.5794321        11.684992        15.303321
  1.5953400        6.2462457        8.5796765        11.723610        15.418738
  1.6260196        6.1796898        8.5430939        11.724389        15.500106
  1.6566993        6.0780644        8.4646917        11.676803        15.529401
  1.6873789        5.9422704        8.3412251        11.572141        15.491695
  1.7180585        5.7754187        8.1722350        11.405007        15.377329
  1.7487381        5.5831730        7.9608760        11.174318        15.183077
  1.7794177        5.3738140        7.7144725        10.883778        14.912444
  1.8100973        5.1579650        7.4448023        10.541925        14.575253
  1.8407769        4.9479406        7.1681146        10.162073        14.186867
  1.8714566        4.7567087        6.9047670        9.7628247        13.767592
  1.9021362        4.5965166        6.6780302        9.3709064        13.343672
  1.9328158        4.4773510        6.5111663        9.0307534        12.954324
  1.9634954        4.4055659        6.4221338        8.8238727        12.677595
  1.9941750        4.3831053        6.4174986        8.8398086        12.642483
  2.0248546        4.4076308        6.4899790        9.0418129        12.833345
  2.0555343        4.4735238        6.6223394        9.3202262        13.098695
  2.0862139        4.5733821        6.7945430        9.6113915        13.360649
  2.1168935        4.6995132        6.9892996        9.8898027        13.593587
  2.1475731        4.8450686        7.1944285        10.147059        13.791055
  2.1782527        5.0046916        7.4030702        10.383524        13.956820
  2.2089323        5.1747045        7.6129870        10.605522        14.103869
  2.2396120        5.3529166        7.8255233        10.824090        14.255143
  2.2702916        5.5381274        8.0443206        11.053502        14.442317
  2.3009712        5.7293972        8.2737456        11.308746        14.699585
  2.3316508        5.9251818        8.5170981        11.601977        15.053005
  2.3623304        6.1224710        8.7748584        11.938923        15.511388
  2.3930100        6.3161028        9.0433680        12.316585        16.064429
  2.4236896        6.4984198        9.3142848        12.723023        16.687063
  2.4543693        6.6593728        9.5749400        13.138970        17.345419
  2.4850489        6.7870879        9.8094750        13.540456        18.001673
  2.5157285        6.8688200        10.000474        13.901643        18.617548
  2.5464081        6.8921504        10.130785        14.197454        19.156995
  2.5770877        6.8462632        10.185261        14.405796        19.588410
  2.6077673        6.7231390        10.152262        14.509331        19.886499
  2.6384470        6.5185333        10.024775        14.496756        20.033722
  2.6691266        6.2326419        9.8011088        14.363570        20.021245
  2.6998062        5.8703970        9.4851250        14.112318        19.849320
  2.7304858        5.4413744        9.0860098        13.752308        19.527044
  2.7611654        4.9593359        8.6176232        13.298841        19.071534
  2.7918450        4.4414650        8.0974941        12.772035        18.506577
  2.8225246        3.9073884        7.5455520        12.195328        17.860853
  2.8532043        3.3780947        6.9827182        11.593794        17.165887
  2.8838839        2.8748565        6.4294944        10.992418        16.453892
  2.9145635        2.4181910        5.9047179        10.414484        15.755648
  2.9452431        2.0266818        5.4247252        9.8802476        15.098595
  2.9759227        1.7150845        5.0034178        9.4061107        14.505249
  3.0066023        1.4909406        4.6547788        9.0046795        13.992031
  3.0372820        1.3503511        4.4036094        8.6865271        13.568554
  3.0679616        1.2768978        4.3061654        8.4650021        13.237371
  3.0986412        1.2471894        4.3643550        8.3583929        12.994260
  3.1293208        1.2392487        4.4691265        8.3584005        12.829258
  3.1600004        1.2372662        4.5656117        8.4105883        12.728600
  3.1906800        1.2317177        4.6428716        8.4730225        12.676962
  3.2213597        1.2175229        4.7007022        8.5305061        12.658836
  3.2520393        1.1922972        4.7406939        8.5780365        12.658938
  3.2827189        1.1553081        4.7643338        8.6127797        12.662776
  3.3133985        1.1070174        4.7730548        8.6324940        12.657829
  3.3440781        1.0489023        4.7687881        8.6361491        12.634888
  3.3747577       0.98329952        4.7544350        8.6249703        12.589262
  3.4054373       0.91313978        4.7339949        8.6032881        12.522167
  3.4361170       0.84157365        4.7122503        8.5788837        12.443430
  3.4667966       0.77159928        4.6940201        8.5622469        12.377293
  3.4974762       0.70586304        4.6831467        8.5637811        12.364776
  3.5281558       0.64677517        4.6815909        8.5891998        12.431059
  3.5588354       0.59692544        4.6890883        8.6365521        12.553769
  3.5895150       0.55949911        4.7035342        8.6978931        12.698983
  3.6201947       0.53810092        4.7217944        8.7633343        12.844090
  3.6508743       0.53548715        4.7404518        8.8238986        12.975195
  3.6815539       0.55166641        4.7562248        8.8725428        13.083433
  3.7122335       0.58294517        4.7660867        8.9042205        13.163371
  3.7429131       0.62283604        4.7672524        8.9156599        13.212374
  3.7735927       0.66392274        4.7571733        8.9051153        13.230280
  3.8042724       0.69942043        4.7336051        8.8721634        13.219182
  3.8349520       0.72408471        4.6947483        8.8175624        13.183231
  3.8656316       0.73470548        4.6394301        8.7432000        13.128490
  3.8963112       0.73045739        4.5673141        8.6522120        13.062829
  3.9269908       0.71327195        4.4791942        8.5495138        12.995830
  3.9576704       0.68829050        4.3776751        8.4434482        12.938436
  3.9883500       0.66423622        4.2696758        8.3503388        12.901837
