# data from ifeffit
#------------------------
#   k         chik      hann3      kaiser3      kaiser5      welch3      parzen3      sine3
  0.0000000        0.0000000        1.5000000        0.0000000       0.50000000        2.5000000        2.0000000        1.0922684
  0.50000000E-01   0.40993028E-04    1.5000000        0.0000000       0.53962612        2.5000000        2.0000000        1.1014649
  0.10000000       0.20348534E-03    1.5000000        0.0000000       0.54263625        2.5000000        2.0000000        1.1106527
  0.15000000       0.61809401E-03    1.5000000        0.0000000       0.54574203        2.5000000        2.0000000        1.1198311
  0.20000000       0.15349257E-02    1.5000000        0.0000000       0.54894419        2.5000000        2.0000000        1.1289992
  0.25000000       0.33447319E-02    1.5000000        0.0000000       0.55224340        2.5000000        2.0000000        1.1381564
  0.30000000       0.65250493E-02    1.5000000        0.0000000       0.55564028        2.5000000        2.0000000        1.1473017
  0.35000000       0.11420372E-01    1.5000000        0.0000000       0.55913543        2.5000000        2.0000000        1.1564345
  0.40000000       0.18606694E-01    1.5000000        0.0000000       0.56272939        2.5000000        2.0000000        1.1655539
  0.45000000       0.28285239E-01    1.5000000        0.0000000       0.56642265        2.5000000        2.0000000        1.1746592
  0.50000000       0.40607275E-01    1.5000000        0.0000000       0.57021566        2.5000000        2.0000000        1.1837495
  0.55000000       0.55810347E-01    1.5000000        0.0000000       0.57410882        2.5000000        2.0000000        1.1928242
  0.60000000       0.74068860E-01    1.5000000        0.0000000       0.57810250        2.5000000        2.0000000        1.2018824
  0.65000000       0.95394573E-01    1.5000000        0.0000000       0.58219699        2.5000000        2.0000000        1.2109234
  0.70000000       0.11977653        1.5000000        0.0000000       0.58639256        2.5000000        2.0000000        1.2199464
  0.75000000       0.14769079        1.5000000        0.0000000       0.59068940        2.5000000        2.0000000        1.2289505
  0.80000000       0.18045751        1.5000000        0.0000000       0.59508769        2.5000000        2.0000000        1.2379352
  0.85000000       0.22141960        1.5000000        0.0000000       0.59958752        2.5000000        2.0000000        1.2468995
  0.90000000       0.27398717        1.5000000        0.0000000       0.60418894        2.5000000        2.0000000        1.2558428
  0.95000000       0.33158785        1.5000000        0.0000000       0.60889196        2.5000000        2.0000000        1.2647642
  1.0000000       0.40027321        1.5000000        0.0000000       0.61369652        2.5000000        2.0000000        1.2736630
  1.0500000       0.48498664        1.5006852       0.21149955       0.61860252        2.5330555        2.0166667        1.2825384
  1.1000000       0.57915347        1.5027391       0.21817199       0.62360980        2.5655555        2.0333333        1.2913897
  1.1500000       0.66813302        1.5061558       0.22490091       0.62871814        2.5975000        2.0500000        1.3002162
  1.2000000       0.73547052        1.5109262       0.23168513       0.63392728        2.6288889        2.0666667        1.3090170
  1.2500000       0.77149839        1.5170371       0.23852343       0.63923688        2.6597222        2.0833333        1.3177914
  1.3000000       0.77483341        1.5244717       0.24541457       0.64464658        2.6900000        2.1000000        1.3265387
  1.3500000       0.73249279        1.5332098       0.25235730       0.65015592        2.7197222        2.1166666        1.3352581
  1.4000000       0.63691970        1.5432273       0.25935033       0.65576443        2.7488888        2.1333333        1.3439489
  1.4500000       0.55768579        1.5544967       0.26639237       0.66147155        2.7774999        2.1500000        1.3526103
  1.5000000       0.45979783        1.5669873       0.27348210       0.66727668        2.8055555        2.1666666        1.3612417
  1.5500000       0.36556681        1.5806647       0.28061817       0.67317915        2.8330555        2.1833333        1.3698421
  1.6000000       0.29197536        1.5954915       0.28779922       0.67917825        2.8599999        2.2000000        1.3784111
  1.6500000       0.23299752        1.6114270       0.29502387       0.68527320        2.8863888        2.2166666        1.3869476
  1.7000000       0.18522687        1.6284275       0.30229072       0.69146316        2.9122221        2.2333333        1.3954512
  1.7500000       0.12353770        1.6464465       0.30959835       0.69774724        2.9374999        2.2499999        1.4039210
  1.8000000       0.67165378E-01    1.6654346       0.31694532       0.70412450        2.9622221        2.2666666        1.4123563
  1.8500000       0.34502582E-02    1.6853397       0.32433017       0.71059393        2.9863888        2.2833333        1.4207564
  1.9000000      -0.52379834E-01    1.7061073       0.33175144       0.71715447        3.0099999        2.2999999        1.4291206
  1.9500000      -0.90461521E-01    1.7276804       0.33920762       0.72380499        3.0330555        2.3166666        1.4374482
  2.0000000      -0.10574515        1.7499999       0.34669722       0.73054433        3.0555555        2.3333333        1.4457384
  2.0500000      -0.82184415E-01    1.7730046       0.35421869       0.73737124        3.0774999        2.3499999        1.4539905
  2.1000000      -0.22653040E-01    1.7966316       0.36177051       0.74428445        3.0988888        2.3666666        1.4622039
  2.1500000       0.81480023E-01    1.8208159       0.36935112       0.75128259        3.1197221        2.3833332        1.4703778
  2.2000000       0.18626380        1.8454914       0.37695894       0.75836427        3.1399999        2.3999999        1.4785116
  2.2500000       0.25414676        1.8705903       0.38459239       0.76552803        3.1597221        2.4166666        1.4866045
  2.3000000       0.26150875        1.8960440       0.39224986       0.77277236        3.1788888        2.4333332        1.4946558
  2.3500000       0.19924955        1.9217826       0.39992973       0.78009568        3.1974999        2.4499999        1.5026650
  2.4000000       0.75249338E-01    1.9477356       0.40763039       0.78749639        3.2155554        2.4666666        1.5106312
  2.4500000      -0.71770038E-01    1.9738318       0.41535018       0.79497279        3.2330554        2.4833332        1.5185538
  2.5000000      -0.21943728        1.9999998       0.42308746       0.80252315        3.2499999        2.4999999        1.5264322
  2.5500000      -0.36222316        2.0261678       0.43084055       0.81014570        3.2663888        2.5166665        1.5342656
  2.6000000      -0.49055211        2.0522640       0.43860778       0.81783860        3.2822221        2.5333332        1.5420534
  2.6500000      -0.59896381        2.0782170       0.44638745       0.82559996        3.2974999        2.5499999        1.5497949
  2.7000000      -0.68576173        2.1039556       0.45417788       0.83342784        3.3122221        2.5666665        1.5574894
  2.7500000      -0.76253804        2.1294093       0.46197734       0.84132025        3.3263888        2.5833332        1.5651364
  2.8000000      -0.83083727        2.1545083       0.46978412       0.84927516        3.3399999        2.5999999        1.5727351
  2.8500000      -0.88689324        2.1791838       0.47759650       0.85729047        3.3530554        2.6166665        1.5802850
  2.9000000      -0.92501532        2.2033681       0.48541272       0.86536404        3.3655554        2.6333332        1.5877853
  2.9500000      -0.93855189        2.2269950       0.49323106       0.87349371        3.3774999        2.6499998        1.5952354
  3.0000000      -0.92255000        2.2499998       0.50104974       0.88167723        3.3888888        2.6666665        1.6026346
  3.0500000      -0.88048506        2.2723193       0.50886703       0.88991232        3.3997221        2.6833332        1.6099825
  3.1000000      -0.83143178        2.2938924       0.51668115       0.89819667        3.4099999        2.6999998        1.6172782
  3.1500000      -0.77048184        2.3146600       0.52449032       0.90652792        3.4197221        2.7166665        1.6245213
  3.2000000      -0.69605556        2.3345651       0.53229277       0.91490365        3.4288888        2.7333332        1.6317110
  3.2500000      -0.59228487        2.3535532       0.54008673       0.92332141        3.4374999        2.7499998        1.6388468
  3.3000000      -0.40419419        2.3715722       0.54787039       0.93177872        3.4455555        2.7666665        1.6459281
  3.3500000      -0.10628873        2.3885728       0.55564198       0.94027304        3.4530555        2.7833332        1.6529542
  3.4000000       0.23944616        2.4045083       0.56339970       0.94880182        3.4599999        2.7999998        1.6599245
  3.4500000       0.56426311        2.4193351       0.57114175       0.95736243        3.4663888        2.8166665        1.6668386
  3.5000000       0.86798864        2.4330125       0.57886633       0.96595225        3.4722222        2.8333331        1.6736956
  3.5500000        1.1306499        2.4455031       0.58657165       0.97456858        3.4774999        2.8499998        1.6804952
  3.6000000        1.3132158        2.4567726       0.59425590       0.98320873        3.4822222        2.8666665        1.6872367
  3.6500000        1.4309114        2.4667901       0.60191728       0.99186995        3.4863888        2.8833331        1.6939195
  3.7000000        1.4796283        2.4755282       0.60955399        1.0005495        3.4900000        2.8999998        1.7005430
  3.7500000        1.4378013        2.4829628       0.61716424        1.0092445        3.4930555        2.9166665        1.7071068
  3.8000000        1.2976242        2.4890737       0.62474621        1.0179521        3.4955555        2.9333331        1.7136102
  3.8500000        1.0849697        2.4938441       0.63229812        1.0266696        3.4975000        2.9499998        1.7200526
  3.9000000       0.84408410        2.4972609       0.63981817        1.0353940        3.4988889        2.9666664        1.7264336
  3.9500000       0.60799430        2.4993147       0.64730456        1.0441223        3.4997222        2.9833331        1.7327525
  4.0000000       0.39172237        2.5000000       0.65475551        1.0528518        3.5000000        2.9999998        1.7390089
  4.0500000       0.21573339        2.5000000       0.66216923        1.0615793        3.5000000        3.0000000        1.7452022
  4.1000000       0.25943489E-01    2.5000000       0.66954394        1.0703020        3.5000000        3.0000000        1.7513319
  4.1500000      -0.17192774        2.5000000       0.67687786        1.0790168        3.5000000        3.0000000        1.7573974
  4.2000000      -0.36272125        2.5000000       0.68416923        1.0877208        3.5000000        3.0000000        1.7633983
  4.2500000      -0.53750176        2.5000000       0.69141628        1.0964108        3.5000000        3.0000000        1.7693340
  4.3000000      -0.66753126        2.5000000       0.69861726        1.1050839        3.5000000        3.0000000        1.7752040
  4.3500000      -0.72860942        2.5000000       0.70577041        1.1137370        3.5000000        3.0000000        1.7810078
  4.4000000      -0.71135233        2.5000000       0.71287400        1.1223670        3.5000000        3.0000000        1.7867449
  4.4500000      -0.62360068        2.5000000       0.71992628        1.1309709        3.5000000        3.0000000        1.7924149
  4.5000000      -0.49608916        2.5000000       0.72692554        1.1395456        3.5000000        3.0000000        1.7980172
  4.5500000      -0.36768368        2.5000000       0.73387006        1.1480879        3.5000000        3.0000000        1.8035514
  4.6000000      -0.27696917        2.5000000       0.74075814        1.1565948        3.5000000        3.0000000        1.8090170
  4.6500000      -0.24924566        2.5000000       0.74758808        1.1650632        3.5000000        3.0000000        1.8144135
  4.7000000      -0.26452784        2.5000000       0.75435820        1.1734900        3.5000000        3.0000000        1.8197405
  4.7500000      -0.28088793        2.5000000       0.76106682        1.1818721        3.5000000        3.0000000        1.8249975
  4.8000000      -0.26424123        2.5000000       0.76771229        1.1902064        3.5000000        3.0000000        1.8301840
  4.8500000      -0.20169647        2.5000000       0.77429296        1.1984898        3.5000000        3.0000000        1.8352997
  4.9000000      -0.80459870E-01    2.5000000       0.78080720        1.2067192        3.5000000        3.0000000        1.8403441
  4.9500000       0.90102641E-01    2.5000000       0.78725339        1.2148915        3.5000000        3.0000000        1.8453167
  5.0000000       0.28687900        2.5000000       0.79362992        1.2230036        3.5000000        3.0000000        1.8502171
  5.0500000       0.45222291        2.5000000       0.79993520        1.2310525        3.5000000        3.0000000        1.8550450
  5.1000000       0.52059572        2.5000000       0.80616765        1.2390351        3.5000000        3.0000000        1.8597999
  5.1500000       0.46741603        2.5000000       0.81232572        1.2469484        3.5000000        3.0000000        1.8644813
  5.2000000       0.30854846        2.5000000       0.81840787        1.2547894        3.5000000        3.0000000        1.8690889
  5.2500000       0.73506533E-01    2.5000000       0.82441256        1.2625550        3.5000000        3.0000000        1.8736224
  5.3000000      -0.20848167        2.5000000       0.83033829        1.2702423        3.5000000        3.0000000        1.8780812
  5.3500000      -0.51075039        2.5000000       0.83618356        1.2778482        3.5000000        3.0000000        1.8824651
  5.4000000      -0.80060735        2.5000000       0.84194691        1.2853698        3.5000000        3.0000000        1.8867737
  5.4500000      -0.99717406        2.5000000       0.84762687        1.2928043        3.5000000        3.0000000        1.8910065
  5.5000000       -1.0394926        2.5000000       0.85322201        1.3001486        3.5000000        3.0000000        1.8951633
  5.5500000      -0.84047398        2.5000000       0.85873092        1.3073999        3.5000000        3.0000000        1.8992436
  5.6000000      -0.57638322        2.5000000       0.86415220        1.3145554        3.5000000        3.0000000        1.9032472
  5.6500000      -0.21936552        2.5000000       0.86948447        1.3216122        3.5000000        3.0000000        1.9071736
  5.7000000       0.11757116        2.5000000       0.87472639        1.3285676        3.5000000        3.0000000        1.9110226
  5.7500000       0.34080064        2.5000000       0.87987661        1.3354188        3.5000000        3.0000000        1.9147939
  5.8000000       0.43595750        2.5000000       0.88493382        1.3421630        3.5000000        3.0000000        1.9184870
  5.8500000       0.43520364        2.5000000       0.88989675        1.3487976        3.5000000        3.0000000        1.9221017
  5.9000000       0.40303379        2.5000000       0.89476412        1.3553198        3.5000000        3.0000000        1.9256377
  5.9500000       0.39646881        2.5000000       0.89953468        1.3617272        3.5000000        3.0000000        1.9290946
  6.0000000       0.45209434        2.5000000       0.90420722        1.3680172        3.5000000        3.0000000        1.9324722
  6.0500000       0.56541736        2.5000000       0.90878055        1.3741871        3.5000000        3.0000000        1.9357702
  6.1000000       0.70173731        2.5000000       0.91325348        1.3802345        3.5000000        3.0000000        1.9389884
  6.1500000       0.82017221        2.5000000       0.91762489        1.3861569        3.5000000        3.0000000        1.9421263
  6.2000000       0.91217552        2.5000000       0.92189363        1.3919520        3.5000000        3.0000000        1.9451838
  6.2500000       0.95233770        2.5000000       0.92605862        1.3976174        3.5000000        3.0000000        1.9481606
  6.3000000       0.91309827        2.5000000       0.93011879        1.4031508        3.5000000        3.0000000        1.9510565
  6.3500000       0.79990706        2.5000000       0.93407309        1.4085499        3.5000000        3.0000000        1.9538712
  6.4000000       0.60963902        2.5000000       0.93792050        1.4138125        3.5000000        3.0000000        1.9566044
  6.4500000       0.33430455        2.5000000       0.94166003        1.4189365        3.5000000        3.0000000        1.9592560
  6.5000000       0.13378451E-01    2.5000000       0.94529072        1.4239197        3.5000000        3.0000000        1.9618256
  6.5500000      -0.34858131        2.5000000       0.94881164        1.4287601        3.5000000        3.0000000        1.9643132
  6.6000000      -0.70284737        2.5000000       0.95222186        1.4334558        3.5000000        3.0000000        1.9667184
  6.6500000       -1.0189567        2.5000000       0.95552052        1.4380047        3.5000000        3.0000000        1.9690411
  6.7000000       -1.2118005        2.5000000       0.95870675        1.4424051        3.5000000        3.0000000        1.9712810
  6.7500000       -1.2766048        2.5000000       0.96177973        1.4466550        3.5000000        3.0000000        1.9734381
  6.8000000       -1.2308441        2.5000000       0.96473868        1.4507527        3.5000000        3.0000000        1.9755120
  6.8500000       -1.0557534        2.5000000       0.96758281        1.4546966        3.5000000        3.0000000        1.9775026
  6.9000000      -0.80077303        2.5000000       0.97031140        1.4584849        3.5000000        3.0000000        1.9794098
  6.9500000      -0.52204795        2.5000000       0.97292373        1.4621161        3.5000000        3.0000000        1.9812333
  7.0000000      -0.23459187        2.5000000       0.97541914        1.4655888        3.5000000        3.0000000        1.9829731
  7.0500000       0.26783873E-01    2.5000000       0.97779696        1.4689013        3.5000000        3.0000000        1.9846290
  7.1000000       0.23085564        2.5000000       0.98005659        1.4720525        3.5000000        3.0000000        1.9862007
  7.1500000       0.37740542        2.5000000       0.98219743        1.4750409        3.5000000        3.0000000        1.9876883
  7.2000000       0.47820528        2.5000000       0.98421894        1.4778653        3.5000000        3.0000000        1.9890916
  7.2500000       0.54532946        2.5000000       0.98612058        1.4805245        3.5000000        3.0000000        1.9904104
  7.3000000       0.57743863        2.5000000       0.98790186        1.4830174        3.5000000        3.0000000        1.9916447
  7.3500000       0.57387957        2.5000000       0.98956232        1.4853429        3.5000000        3.0000000        1.9927943
  7.4000000       0.53924569        2.5000000       0.99110152        1.4875002        3.5000000        3.0000000        1.9938591
  7.4500000       0.47445262        2.5000000       0.99251907        1.4894882        3.5000000        3.0000000        1.9948391
  7.5000000       0.38071367        2.5000000       0.99381459        1.4913061        3.5000000        3.0000000        1.9957342
  7.5500000       0.26872994        2.5000000       0.99498775        1.4929533        3.5000000        3.0000000        1.9965442
  7.6000000       0.14021465        2.5000000       0.99603824        1.4944289        3.5000000        3.0000000        1.9972692
  7.6500000       0.18815583E-01    2.5000000       0.99696579        1.4957324        3.5000000        3.0000000        1.9979090
  7.7000000      -0.76845374E-01    2.5000000       0.99777015        1.4968632        3.5000000        3.0000000        1.9984636
  7.7500000      -0.13477969        2.5000000       0.99845113        1.4978208        3.5000000        3.0000000        1.9989330
  7.8000000      -0.14735801        2.5000000       0.99900853        1.4986049        3.5000000        3.0000000        1.9993171
  7.8500000      -0.14951601        2.5000000       0.99944221        1.4992150        3.5000000        3.0000000        1.9996158
  7.9000000      -0.17182629        2.5000000       0.99975207        1.4996511        3.5000000        3.0000000        1.9998293
  7.9500000      -0.21488246        2.5000000       0.99993801        1.4999128        3.5000000        3.0000000        1.9999573
  8.0000000      -0.26009739        2.5000000        1.0000000        1.5000000        3.5000000        3.0000000        2.0000000
  8.0500000      -0.29580365        2.5000000       0.99993801        1.4999128        3.5000000        3.0000000        1.9999573
  8.1000000      -0.31104202        2.5000000       0.99975207        1.4996511        3.5000000        3.0000000        1.9998293
  8.1500000      -0.26244465        2.5000000       0.99944221        1.4992150        3.5000000        3.0000000        1.9996158
  8.2000000      -0.21472279        2.5000000       0.99900853        1.4986049        3.5000000        3.0000000        1.9993171
  8.2500000      -0.13333428        2.5000000       0.99845113        1.4978208        3.5000000        3.0000000        1.9989330
  8.3000000      -0.43225553E-01    2.5000000       0.99777015        1.4968632        3.5000000        3.0000000        1.9984636
  8.3500000       0.10180201        2.5000000       0.99696579        1.4957324        3.5000000        3.0000000        1.9979090
  8.4000000       0.22306169        2.5000000       0.99603824        1.4944289        3.5000000        3.0000000        1.9972692
  8.4500000       0.31804757        2.5000000       0.99498775        1.4929533        3.5000000        3.0000000        1.9965442
  8.5000000       0.38651688        2.5000000       0.99381459        1.4913061        3.5000000        3.0000000        1.9957342
  8.5500000       0.40683024        2.5000000       0.99251907        1.4894882        3.5000000        3.0000000        1.9948391
  8.6000000       0.36841146        2.5000000       0.99110152        1.4875002        3.5000000        3.0000000        1.9938591
  8.6500000       0.28835050        2.5000000       0.98956232        1.4853429        3.5000000        3.0000000        1.9927943
  8.7000000       0.16639340        2.5000000       0.98790186        1.4830174        3.5000000        3.0000000        1.9916447
  8.7500000       0.25963959E-01    2.5000000       0.98612058        1.4805245        3.5000000        3.0000000        1.9904104
  8.8000000      -0.13927806        2.5000000       0.98421894        1.4778653        3.5000000        3.0000000        1.9890916
  8.8500000      -0.26955265        2.5000000       0.98219743        1.4750409        3.5000000        3.0000000        1.9876883
  8.9000000      -0.33872682        2.5000000       0.98005659        1.4720525        3.5000000        3.0000000        1.9862007
  8.9500000      -0.37765823        2.5000000       0.97779696        1.4689013        3.5000000        3.0000000        1.9846290
  9.0000000      -0.37597261        2.5000000       0.97541914        1.4655888        3.5000000        3.0000000        1.9829731
  9.0500000      -0.16343316        2.5000000       0.97292373        1.4621161        3.5000000        3.0000000        1.9812333
  9.1000000      -0.18867731        2.5000000       0.97031140        1.4584849        3.5000000        3.0000000        1.9794098
  9.1500000      -0.29160492        2.5000000       0.96758281        1.4546966        3.5000000        3.0000000        1.9775026
  9.2000000      -0.23245288        2.5000000       0.96473868        1.4507527        3.5000000        3.0000000        1.9755120
  9.2500000      -0.16346258        2.5000000       0.96177973        1.4466550        3.5000000        3.0000000        1.9734381
  9.3000000      -0.80265653E-01    2.5000000       0.95870675        1.4424051        3.5000000        3.0000000        1.9712810
  9.3500000       0.18563204E-01    2.5000000       0.95552052        1.4380047        3.5000000        3.0000000        1.9690411
  9.4000000       0.12393033        2.5000000       0.95222186        1.4334558        3.5000000        3.0000000        1.9667184
  9.4500000       0.22845403        2.5000000       0.94881164        1.4287601        3.5000000        3.0000000        1.9643132
  9.5000000       0.30795569        2.5000000       0.94529072        1.4239197        3.5000000        3.0000000        1.9618256
  9.5500000       0.35890387        2.5000000       0.94166003        1.4189365        3.5000000        3.0000000        1.9592560
  9.6000000       0.37948614        2.5000000       0.93792050        1.4138125        3.5000000        3.0000000        1.9566044
  9.6500000       0.37641562        2.5000000       0.93407309        1.4085499        3.5000000        3.0000000        1.9538712
  9.7000000       0.35699885        2.5000000       0.93011879        1.4031508        3.5000000        3.0000000        1.9510565
  9.7500000       0.27825088        2.5000000       0.92605862        1.3976174        3.5000000        3.0000000        1.9481606
  9.8000000       0.15688385        2.5000000       0.92189363        1.3919520        3.5000000        3.0000000        1.9451838
  9.8500000       0.38510518E-01    2.5000000       0.91762489        1.3861569        3.5000000        3.0000000        1.9421263
  9.9000000      -0.78689728E-01    2.5000000       0.91325348        1.3802345        3.5000000        3.0000000        1.9389884
  9.9500000      -0.15481087        2.5000000       0.90878055        1.3741871        3.5000000        3.0000000        1.9357702
  10.000000      -0.19514877        2.5000000       0.90420722        1.3680172        3.5000000        3.0000000        1.9324722
  10.050000      -0.20717612        2.5000000       0.89953468        1.3617272        3.5000000        3.0000000        1.9290946
  10.100000      -0.18220783        2.5000000       0.89476412        1.3553198        3.5000000        3.0000000        1.9256377
  10.150000      -0.16358765        2.5000000       0.88989675        1.3487976        3.5000000        3.0000000        1.9221017
  10.200000      -0.14832223        2.5000000       0.88493382        1.3421630        3.5000000        3.0000000        1.9184870
  10.250000      -0.13108710        2.5000000       0.87987661        1.3354188        3.5000000        3.0000000        1.9147939
  10.300000      -0.12935025        2.5000000       0.87472639        1.3285676        3.5000000        3.0000000        1.9110226
  10.350000      -0.12422552        2.5000000       0.86948447        1.3216122        3.5000000        3.0000000        1.9071736
  10.400000      -0.11394618        2.5000000       0.86415220        1.3145554        3.5000000        3.0000000        1.9032472
  10.450000      -0.97189393E-01    2.5000000       0.85873092        1.3073999        3.5000000        3.0000000        1.8992436
  10.500000      -0.60935131E-01    2.5000000       0.85322201        1.3001486        3.5000000        3.0000000        1.8951633
  10.550000      -0.96239597E-01    2.5000000       0.84762687        1.2928043        3.5000000        3.0000000        1.8910065
  10.600000      -0.10257565        2.5000000       0.84194691        1.2853698        3.5000000        3.0000000        1.8867737
