# data from ifeffit
#------------------------
#   k         chik      win_h0      win_h2      win_h4      win_h6
  0.0000000        0.0000000        0.0000000        0.0000000        0.0000000       0.17037083E-01
  0.50000000E-01   0.40993028E-04    0.0000000        0.0000000        0.0000000       0.20590128E-01
  0.10000000       0.20348534E-03    0.0000000        0.0000000        0.0000000       0.24471736E-01
  0.15000000       0.61809401E-03    0.0000000        0.0000000        0.0000000       0.28679248E-01
  0.20000000       0.15349257E-02    0.0000000        0.0000000        0.0000000       0.33209779E-01
  0.25000000       0.33447319E-02    0.0000000        0.0000000        0.0000000       0.38060225E-01
  0.30000000       0.65250493E-02    0.0000000        0.0000000        0.0000000       0.43227261E-01
  0.35000000       0.11420372E-01    0.0000000        0.0000000        0.0000000       0.48707347E-01
  0.40000000       0.18606694E-01    0.0000000        0.0000000        0.0000000       0.54496725E-01
  0.45000000       0.28285238E-01    0.0000000        0.0000000        0.0000000       0.60591430E-01
  0.50000000       0.40607275E-01    0.0000000        0.0000000        0.0000000       0.66987283E-01
  0.55000000       0.55810349E-01    0.0000000        0.0000000       0.38548174E-03   0.73679901E-01
  0.60000000       0.74068859E-01    0.0000000        0.0000000       0.15413326E-02   0.80664698E-01
  0.65000000       0.95394572E-01    0.0000000        0.0000000       0.34657703E-02   0.87936886E-01
  0.70000000       0.11977653        0.0000000        0.0000000       0.61558276E-02   0.95491481E-01
  0.75000000       0.14769079        0.0000000        0.0000000       0.96073564E-02   0.10332331
  0.80000000       0.18045751        0.0000000        0.0000000       0.13815035E-01   0.11142699
  0.85000000       0.22141960        0.0000000        0.0000000       0.18772375E-01   0.11979699
  0.90000000       0.27398717        0.0000000        0.0000000       0.24471733E-01   0.12842756
  0.95000000       0.33158785        0.0000000        0.0000000       0.30904321E-01   0.13731278
  1.0000000       0.40027321        0.0000000        0.0000000       0.38060221E-01   0.14644658
  1.0500000       0.48498664        0.0000000        0.0000000       0.45928397E-01   0.15582268
  1.1000000       0.57915347        0.0000000        0.0000000       0.54496719E-01   0.16543466
  1.1500000       0.66813302        0.0000000        0.0000000       0.63751975E-01   0.17527594
  1.2000000       0.73547052        0.0000000        0.0000000       0.73679893E-01   0.18533976
  1.2500000       0.77149839        0.0000000        0.0000000       0.84265165E-01   0.19561924
  1.3000000       0.77483340        0.0000000        0.0000000       0.95491470E-01   0.20610733
  1.3500000       0.73249280        0.0000000        0.0000000       0.10734150       0.21679683
  1.4000000       0.63691970        0.0000000        0.0000000       0.11979698       0.22768043
  1.4500000       0.55768579        0.0000000        0.0000000       0.13283870       0.23875067
  1.5000000       0.45979783        0.0000000        0.0000000       0.14644656       0.24999995
  1.5500000       0.36556680        0.0000000       0.15413321E-02   0.16059957       0.26142056
  1.6000000       0.29197537        0.0000000       0.61558254E-02   0.17527592       0.27300469
  1.6500000       0.23299752        0.0000000       0.13815030E-01   0.19045296       0.28474439
  1.7000000       0.18522687        0.0000000       0.24471725E-01   0.20610731       0.29663162
  1.7500000       0.12353770        0.0000000       0.38060207E-01   0.22221481       0.30865822
  1.8000000       0.67165378E-01    0.0000000       0.54496700E-01   0.23875064       0.32081596
  1.8500000       0.34502582E-02    0.0000000       0.73679868E-01   0.25568930       0.33309650
  1.9000000      -0.52379833E-01    0.0000000       0.95491438E-01   0.27300466       0.34549143
  1.9500000      -0.90461521E-01    0.0000000       0.11979694       0.29067004       0.35799226
  2.0000000      -0.10574515        0.0000000       0.14644651       0.30865819       0.37059040
  2.0500000      -0.82184414E-01    0.0000000       0.17527586       0.32694137       0.38327724
  2.1000000      -0.22653040E-01    0.0000000       0.20610724       0.34549140       0.39604408
  2.1500000       0.81480022E-01    0.0000000       0.23875057       0.36427967       0.40888216
  2.2000000       0.18626380        0.0000000       0.27300458       0.38327720       0.42178269
  2.2500000       0.25414676        0.0000000       0.30865809       0.40245472       0.43473682
  2.3000000       0.26150875        0.0000000       0.34549129       0.42178265       0.44773568
  2.3500000       0.19924955        0.0000000       0.38327709       0.44123118       0.46077037
  2.4000000       0.75249337E-01    0.0000000       0.42178252       0.46077032       0.47383193
  2.4500000      -0.71770038E-01    0.0000000       0.46077019       0.48036996       0.48691144
  2.5000000      -0.21943728        0.0000000       0.49999973       0.49999986       0.49999991
  2.5500000      -0.36222316       1.00000000       0.53922926       0.51962977       0.51308838
  2.6000000      -0.49055212        1.0000000       0.57821693       0.53922940       0.52616788
  2.6500000      -0.59896381        1.0000000       0.61672237       0.55876855       0.53922945
  2.7000000      -0.68576173        1.0000000       0.65450818       0.57821708       0.55226413
  2.7500000      -0.76253807        1.0000000       0.69134140       0.59754501       0.56526300
  2.8000000      -0.83083726        1.0000000       0.72699493       0.61672253       0.57821713
  2.8500000      -0.88689326        1.0000000       0.76124897       0.63572007       0.59111766
  2.9000000      -0.92501531        1.0000000       0.79389231       0.65450834       0.60395574
  2.9500000      -0.93855192        1.0000000       0.82472372       0.67305837       0.61672258
  3.0000000      -0.92255004        1.0000000       0.85355310       0.69134156       0.62940942
  3.0500000      -0.88048507        1.0000000       0.88020271       0.70932971       0.64200757
  3.1000000      -0.83143177        1.0000000       0.90450824       0.72699509       0.65450839
  3.1500000      -0.77048185        1.0000000       0.92631985       0.74431046       0.66690332
  3.2000000      -0.69605556        1.0000000       0.94550305       0.76124912       0.67918387
  3.2500000      -0.59228487        1.0000000       0.96193958       0.77778496       0.69134161
  3.3000000      -0.40419420        1.0000000       0.97552811       0.79389247       0.70336822
  3.3500000      -0.10628873        1.0000000       0.98618484       0.80954682       0.71525544
  3.4000000       0.23944616        1.0000000       0.99384409       0.82472387       0.72699514
  3.4500000       0.56426310        1.0000000       0.99845862       0.83940022       0.73857927
  3.5000000       0.86798865        1.0000000       1.00000000       0.85355324       0.74999989
  3.5500000        1.1306499        1.0000000        1.0000000       0.86716111       0.76124918
  3.6000000        1.3132158        1.0000000        1.0000000       0.88020284       0.77231941
  3.6500000        1.4309114        1.0000000        1.0000000       0.89265833       0.78320301
  3.7000000        1.4796283        1.0000000        1.0000000       0.90450837       0.79389252
  3.7500000        1.4378013        1.0000000        1.0000000       0.91573468       0.80438061
  3.8000000        1.2976242        1.0000000        1.0000000       0.92631996       0.81466009
  3.8500000        1.0849697        1.0000000        1.0000000       0.93624789       0.82472392
  3.9000000       0.84408411        1.0000000        1.0000000       0.94550316       0.83456520
  3.9500000       0.60799429        1.0000000        1.0000000       0.95407149       0.84417719
  4.0000000       0.39172237        1.0000000        1.0000000       0.96193967       0.85355329
  4.0500000       0.21573339        1.0000000        1.0000000       0.96909558       0.86268709
  4.1000000       0.25943488E-01    1.0000000        1.0000000       0.97552818       0.87157232
  4.1500000      -0.17192774        1.0000000        1.0000000       0.98122755       0.88020289
  4.2000000      -0.36272125        1.0000000        1.0000000       0.98618490       0.88857289
  4.2500000      -0.53750176        1.0000000        1.0000000       0.99039259       0.89667658
  4.3000000      -0.66753127        1.0000000        1.0000000       0.99384413       0.90450841
  4.3500000      -0.72860942        1.0000000        1.0000000       0.99653420       0.91206301
  4.4000000      -0.71135232        1.0000000        1.0000000       0.99845865       0.91933520
  4.4500000      -0.62360069        1.0000000        1.0000000       0.99961451       0.92632000
  4.5000000      -0.49608916        1.0000000        1.0000000       1.00000000       0.93301263
  4.5500000      -0.36768369        1.0000000        1.0000000        1.0000000       0.93940848
  4.6000000      -0.27696916        1.0000000        1.0000000        1.0000000       0.94550319
  4.6500000      -0.24924565        1.0000000        1.0000000        1.0000000       0.95129257
  4.7000000      -0.26452784        1.0000000        1.0000000        1.0000000       0.95677266
  4.7500000      -0.28088794        1.0000000        1.0000000        1.0000000       0.96193970
  4.8000000      -0.26424122        1.0000000        1.0000000        1.0000000       0.96679016
  4.8500000      -0.20169647        1.0000000        1.0000000        1.0000000       0.97132069
  4.9000000      -0.80459870E-01    1.0000000        1.0000000        1.0000000       0.97552821
  4.9500000       0.90102641E-01    1.0000000        1.0000000        1.0000000       0.97940982
  5.0000000       0.28687900        1.0000000        1.0000000        1.0000000       0.98296287
  5.0500000       0.45222290        1.0000000        1.0000000        1.0000000       0.98618492
  5.1000000       0.52059572        1.0000000        1.0000000        1.0000000       0.98907376
  5.1500000       0.46741602        1.0000000        1.0000000        1.0000000       0.99162742
  5.2000000       0.30854846        1.0000000        1.0000000        1.0000000       0.99384414
  5.2500000       0.73506533E-01    1.0000000        1.0000000        1.0000000       0.99572241
  5.3000000      -0.20848167        1.0000000        1.0000000        1.0000000       0.99726093
  5.3500000      -0.51075039        1.0000000        1.0000000        1.0000000       0.99845865
  5.4000000      -0.80060734        1.0000000        1.0000000        1.0000000       0.99931476
  5.4500000      -0.99717405        1.0000000        1.0000000        1.0000000       0.99982866
  5.5000000       -1.0394926        1.0000000        1.0000000        1.0000000       1.00000000
  5.5500000      -0.84047397        1.0000000        1.0000000        1.0000000        1.0000000
  5.6000000      -0.57638322        1.0000000        1.0000000        1.0000000        1.0000000
  5.6500000      -0.21936552        1.0000000        1.0000000        1.0000000        1.0000000
  5.7000000       0.11757116        1.0000000        1.0000000        1.0000000        1.0000000
  5.7500000       0.34080065        1.0000000        1.0000000        1.0000000        1.0000000
  5.8000000       0.43595751        1.0000000        1.0000000        1.0000000        1.0000000
  5.8500000       0.43520363        1.0000000        1.0000000        1.0000000        1.0000000
  5.9000000       0.40303380        1.0000000        1.0000000        1.0000000        1.0000000
  5.9500000       0.39646881        1.0000000        1.0000000        1.0000000        1.0000000
  6.0000000       0.45209434        1.0000000        1.0000000        1.0000000        1.0000000
  6.0500000       0.56541737        1.0000000        1.0000000        1.0000000        1.0000000
  6.1000000       0.70173732        1.0000000        1.0000000        1.0000000        1.0000000
  6.1500000       0.82017221        1.0000000        1.0000000        1.0000000        1.0000000
  6.2000000       0.91217551        1.0000000        1.0000000        1.0000000        1.0000000
  6.2500000       0.95233770        1.0000000        1.0000000        1.0000000        1.0000000
  6.3000000       0.91309826        1.0000000        1.0000000        1.0000000        1.0000000
  6.3500000       0.79990707        1.0000000        1.0000000        1.0000000        1.0000000
  6.4000000       0.60963901        1.0000000        1.0000000        1.0000000        1.0000000
  6.4500000       0.33430455        1.0000000        1.0000000        1.0000000        1.0000000
  6.5000000       0.13378451E-01    1.0000000        1.0000000        1.0000000        1.0000000
  6.5500000      -0.34858131        1.0000000        1.0000000        1.0000000        1.0000000
  6.6000000      -0.70284740        1.0000000        1.0000000        1.0000000        1.0000000
  6.6500000       -1.0189567        1.0000000        1.0000000        1.0000000        1.0000000
  6.7000000       -1.2118005        1.0000000        1.0000000        1.0000000        1.0000000
  6.7500000       -1.2766048        1.0000000        1.0000000        1.0000000        1.0000000
  6.8000000       -1.2308442        1.0000000        1.0000000        1.0000000        1.0000000
  6.8500000       -1.0557534        1.0000000        1.0000000        1.0000000        1.0000000
  6.9000000      -0.80077301        1.0000000        1.0000000        1.0000000        1.0000000
  6.9500000      -0.52204796        1.0000000        1.0000000        1.0000000        1.0000000
  7.0000000      -0.23459187        1.0000000        1.0000000        1.0000000        1.0000000
  7.0500000       0.26783873E-01    1.0000000        1.0000000        1.0000000        1.0000000
  7.1000000       0.23085564        1.0000000        1.0000000        1.0000000        1.0000000
  7.1500000       0.37740541        1.0000000        1.0000000        1.0000000        1.0000000
  7.2000000       0.47820528        1.0000000        1.0000000        1.0000000        1.0000000
  7.2500000       0.54532947        1.0000000        1.0000000        1.0000000        1.0000000
  7.3000000       0.57743861        1.0000000        1.0000000        1.0000000        1.0000000
  7.3500000       0.57387956        1.0000000        1.0000000        1.0000000        1.0000000
  7.4000000       0.53924569        1.0000000        1.0000000        1.0000000        1.0000000
  7.4500000       0.47445263        1.0000000        1.0000000        1.0000000        1.0000000
  7.5000000       0.38071367        1.0000000        1.0000000        1.0000000        1.0000000
  7.5500000       0.26872994        1.0000000        1.0000000        1.0000000        1.0000000
  7.6000000       0.14021465        1.0000000        1.0000000        1.0000000        1.0000000
  7.6500000       0.18815582E-01    1.0000000        1.0000000        1.0000000        1.0000000
  7.7000000      -0.76845372E-01    1.0000000        1.0000000        1.0000000        1.0000000
  7.7500000      -0.13477969        1.0000000        1.0000000        1.0000000        1.0000000
  7.8000000      -0.14735801        1.0000000        1.0000000        1.0000000        1.0000000
  7.8500000      -0.14951602        1.0000000        1.0000000        1.0000000        1.0000000
  7.9000000      -0.17182629        1.0000000        1.0000000        1.0000000        1.0000000
  7.9500000      -0.21488246        1.0000000        1.0000000        1.0000000        1.0000000
  8.0000000      -0.26009738        1.0000000        1.0000000        1.0000000        1.0000000
  8.0500000      -0.29580365        1.0000000        1.0000000        1.0000000        1.0000000
  8.1000000      -0.31104202        1.0000000        1.0000000        1.0000000        1.0000000
  8.1500000      -0.26244465        1.0000000        1.0000000        1.0000000        1.0000000
