# data from ifeffit
#------------------------
#   r         pdf       fit
  2.0000000        0.0000000       0.82163595-246
  2.0002000        0.0000000       0.12746580-245
  2.0004000        0.0000000       0.19771268-245
  2.0006000        0.0000000       0.30662109-245
  2.0008000        0.0000000       0.47544048-245
  2.0010000        0.0000000       0.73708389-245
  2.0012000        0.0000000       0.11425213-244
  2.0014000        0.0000000       0.17706730-244
  2.0016000        0.0000000       0.27437152-244
  2.0018000        0.0000000       0.42507575-244
  2.0020000        0.0000000       0.65844616-244
  2.0022000        0.0000000       0.10197667-243
  2.0024000        0.0000000       0.15790942-243
  2.0026000        0.0000000       0.24447918-243
  2.0028000        0.0000000       0.37844464-243
  2.0030000        0.0000000       0.58571922-243
  2.0032000        0.0000000       0.90636518-243
  2.0034000        0.0000000       0.14023086-242
  2.0036000        0.0000000       0.21692550-242
  2.0038000        0.0000000       0.33550906-242
  2.0040000        0.0000000       0.51882934-242
  2.0042000        0.0000000       0.80217929-242
  2.0044000        0.0000000       0.12400666-241
  2.0046000        0.0000000       0.19166604-241
  2.0048000        0.0000000       0.29619109-241
  2.0050000        0.0000000       0.45764155-241
  2.0052000        0.0000000       0.70697741-241
  2.0054000        0.0000000       0.10919739-240
  2.0056000        0.0000000       0.16863418-240
  2.0058000        0.0000000       0.26037879-240
  2.0060000        0.0000000       0.40196868-240
  2.0062000        0.0000000       0.62044813-240
  2.0064000        0.0000000       0.95751452-240
  2.0066000        0.0000000       0.14774469-239
  2.0068000        0.0000000       0.22793187-239
  2.0070000        0.0000000       0.35158056-239
  2.0072000        0.0000000       0.54221469-239
  2.0074000        0.0000000       0.83607328-239
  2.0076000        0.0000000       0.12889736-238
  2.0078000        0.0000000       0.19868742-238
  2.0080000        0.0000000       0.30621280-238
  2.0082000        0.0000000       0.47184889-238
  2.0084000        0.0000000       0.72695775-238
  2.0086000        0.0000000       0.11198041-237
  2.0088000        0.0000000       0.17246523-237
  2.0090000        0.0000000       0.26557530-237
  2.0092000        0.0000000       0.40888431-237
  2.0094000        0.0000000       0.62941901-237
  2.0096000        0.0000000       0.96873702-237
  2.0098000        0.0000000       0.14907286-236
  2.0100000        0.0000000       0.22936010-236
  2.0102000        0.0000000       0.35282863-236
  2.0104000        0.0000000       0.54267073-236
  2.0106000        0.0000000       0.83451781-236
  2.0108000        0.0000000       0.12831028-235
  2.0110000        0.0000000       0.19724860-235
  2.0112000        0.0000000       0.30317476-235
  2.0114000        0.0000000       0.46590653-235
  2.0116000        0.0000000       0.71586508-235
  2.0118000        0.0000000       0.10997404-234
  2.0120000        0.0000000       0.16891797-234
  2.0122000        0.0000000       0.25941085-234
  2.0124000        0.0000000       0.39831536-234
  2.0126000        0.0000000       0.61149457-234
  2.0128000        0.0000000       0.93860917-234
  2.0130000        0.0000000       0.14404680-233
  2.0132000        0.0000000       0.22102890-233
  2.0134000        0.0000000       0.33909482-233
  2.0136000        0.0000000       0.52013956-233
  2.0138000        0.0000000       0.79771039-233
  2.0140000        0.0000000       0.12231993-232
  2.0142000        0.0000000       0.18753221-232
  2.0144000        0.0000000       0.28746245-232
  2.0146000        0.0000000       0.44056808-232
  2.0148000        0.0000000       0.67510536-232
  2.0150000        0.0000000       0.10343243-231
  2.0152000        0.0000000       0.15844135-231
  2.0154000        0.0000000       0.24266490-231
  2.0156000        0.0000000       0.37159685-231
  2.0158000        0.0000000       0.56893640-231
  2.0160000        0.0000000       0.87092761-231
  2.0162000        0.0000000       0.13329904-230
  2.0164000        0.0000000       0.20398519-230
  2.0166000        0.0000000       0.31210223-230
  2.0168000        0.0000000       0.47744324-230
  2.0170000        0.0000000       0.73025284-230
  2.0172000        0.0000000       0.11167383-229
  2.0174000        0.0000000       0.17074822-229
  2.0176000        0.0000000       0.26102829-229
  2.0178000        0.0000000       0.39897495-229
  2.0180000        0.0000000       0.60971981-229
  2.0182000        0.0000000       0.93162604-229
  2.0184000        0.0000000       0.14232447-228
  2.0186000        0.0000000       0.21739230-228
  2.0188000        0.0000000       0.33199792-228
  2.0190000        0.0000000       0.50693609-228
  2.0192000        0.0000000       0.77392290-228
  2.0194000        0.0000000       0.11813234-227
  2.0196000        0.0000000       0.18028790-227
  2.0198000        0.0000000       0.27510023-227
  2.0200000        0.0000000       0.41970291-227
  2.0202000        0.0000000       0.64020584-227
  2.0204000        0.0000000       0.97639135-227
  2.0206000        0.0000000       0.14888634-226
  2.0208000        0.0000000       0.22699297-226
  2.0210000        0.0000000       0.34601633-226
  2.0212000        0.0000000       0.52736029-226
  2.0214000        0.0000000       0.80360918-226
  2.0216000        0.0000000       0.12243596-225
  2.0218000        0.0000000       0.18650897-225
  2.0220000        0.0000000       0.28406458-225
  2.0222000        0.0000000       0.43257466-225
  2.0224000        0.0000000       0.65861514-225
  2.0226000        0.0000000       0.10026029-224
  2.0228000        0.0000000       0.15259942-224
  2.0230000        0.0000000       0.23222203-224
  2.0232000        0.0000000       0.35333006-224
  2.0234000        0.0000000       0.53750732-224
  2.0236000        0.0000000       0.81755094-224
  2.0238000        0.0000000       0.12432884-223
  2.0240000        0.0000000       0.18904082-223
  2.0242000        0.0000000       0.28738622-223
  2.0244000        0.0000000       0.43682041-223
  2.0246000        0.0000000       0.66384475-223
  2.0248000        0.0000000       0.10086878-222
  2.0250000        0.0000000       0.15324053-222
  2.0252000        0.0000000       0.23276472-222
  2.0254000        0.0000000       0.35349828-222
  2.0256000        0.0000000       0.53676488-222
  2.0258000        0.0000000       0.81490598-222
  2.0260000        0.0000000       0.12369654-221
  2.0262000        0.0000000       0.18773024-221
  2.0264000        0.0000000       0.28486399-221
  2.0266000        0.0000000       0.43218283-221
  2.0268000        0.0000000       0.65557758-221
  2.0270000        0.0000000       0.99427682-221
