# data from ifeffit
#------------------------
#   r         chir_mag      chir_mag      chir_real      chir_real
  0.0000000       0.57020945E-01   0.96073946E-01  -0.94297905      -0.90392605
  0.30679616E-01   0.54302939E-01   0.97705515E-01  -0.94896773      -0.90234012
  0.61359232E-01   0.46444409E-01   0.10193359      -0.96380192      -0.89839666
  0.92038847E-01   0.34425441E-01   0.10718807      -0.97974200      -0.89413668
  0.12271846       0.20690507E-01   0.11183132      -0.98853209      -0.89182184
  0.15339808       0.14979480E-01   0.11477442      -0.98576167      -0.89282661
  0.18407769       0.26854853E-01   0.11575572      -0.97318514      -0.89698353
  0.21475731       0.42409519E-01   0.11539576      -0.95776390      -0.90271328
  0.24543693       0.55582567E-01   0.11505450      -0.94793018      -0.90788094
  0.27611654       0.64065940E-01   0.11639885      -0.94905129      -0.91095395
  0.30679616       0.66571096E-01   0.12067056      -0.96051272      -0.91187922
  0.33747577       0.62792126E-01   0.12802056      -0.97600067      -0.91222802
  0.36815539       0.54034276E-01   0.13744939      -0.98688103      -0.91451801
  0.39883500       0.45054135E-01   0.14736571      -0.98692435      -0.92103489
  0.42951462       0.46143596E-01   0.15627412      -0.97588539      -0.93273751
  0.46019424       0.62771993E-01   0.16325961      -0.96001146      -0.94880306
  0.49087385       0.87871337E-01   0.16824154      -0.94914382      -0.96706042
  0.52155347       0.11432340       0.17203614      -0.95186603      -0.98511671
  0.55223308       0.13775632       0.17619251      -0.97120586       -1.0016244
  0.58291270       0.15544659       0.18252593       -1.0031499       -1.0170480
  0.61359232       0.16618335       0.19240727       -1.0387949       -1.0335248
  0.64427193       0.17069017       0.20616028       -1.0690716       -1.0538646
  0.67495155       0.17221961       0.22298668       -1.0896109       -1.0801769
  0.70563116       0.17665801       0.24144315       -1.1032033       -1.1128227
  0.73631078       0.19068791       0.26011769       -1.1185000       -1.1502407
  0.76699039       0.21778580       0.27819086       -1.1455248       -1.1897578
  0.79767001       0.25606622       0.29576404       -1.1902194       -1.2289679
  0.82834963       0.30031854       0.31391557       -1.2507819       -1.2669282
  0.85902924       0.34487996       0.33443807       -1.3176915       -1.3044648
  0.88970886       0.38516858       0.35925803       -1.3774706       -1.3433002
  0.92038847       0.41835644       0.38970899       -1.4183549       -1.3843328
  0.95106809       0.44378810       0.42599725       -1.4350692       -1.4258886
  0.98174770       0.46326304       0.46713048       -1.4303402       -1.4628762
  1.0124273       0.48099108       0.51129054       -1.4123918       -1.4874049
  1.0431069       0.50284540       0.55641702       -1.3896552       -1.4907346
  1.0737866       0.53465409       0.60077318       -1.3652918       -1.4657432
  1.1044662       0.58001820       0.64336878       -1.3342151       -1.4087931
  1.1351458       0.63898081       0.68418060       -1.2840977       -1.3201374
  1.1658254       0.70840176       0.72412787       -1.1999854       -1.2027592
  1.1965050       0.78344186       0.76477249       -1.0705465       -1.0604188
  1.2271846       0.85903617       0.80776647      -0.89340275      -0.89623755
  1.2578642       0.93080902       0.85416978      -0.67760257      -0.71301152
  1.2885439       0.99543833       0.90385397      -0.44269282      -0.51559752
  1.3192235        1.0506370       0.95520447      -0.21523200      -0.31447574
  1.3499031        1.0949017        1.0052104      -0.24276189E-01  -0.12856473
  1.3805827        1.1271523        1.0498711       0.10287198       0.14875431E-01
  1.4112623        1.1463784        1.0847616       0.14420029       0.84585003E-01
  1.4419419        1.1513990        1.1056094       0.86125532E-01   0.53525167E-01
  1.4726216        1.1408057        1.1087891      -0.73341753E-01  -0.91305614E-01
  1.5033012        1.1131071        1.0916971      -0.32165655      -0.34102088
  1.5339808        1.0670294        1.0529938      -0.63028407      -0.66247839
  1.5646604        1.0018893       0.99271926      -0.95656152       -1.0033653
  1.5953400       0.91794306       0.91228871       -1.2501900       -1.3041173
  1.6260196       0.81663203       0.81438206       -1.4639850       -1.5133832
  1.6566993       0.70067441       0.70274230       -1.5663048       -1.6020931
