# data from ifeffit
#------------------------
#   x         p2
  0.0000000       0.60000000
  0.20000000E-01   0.58000000
  0.40000000E-01   0.56000000
  0.60000000E-01   0.54000000
  0.80000000E-01   0.52000000
  0.10000000       0.50000000
  0.12000000       0.48000000
  0.14000000       0.46000000
  0.16000000       0.44000000
  0.18000000       0.42000000
  0.20000000       0.40000000
  0.22000000       0.38000000
  0.24000000       0.36000000
  0.26000000       0.34000000
  0.28000000       0.32000000
  0.30000000       0.30000000
  0.32000000       0.28000000
  0.34000000       0.26000000
  0.36000000       0.24000000
  0.38000000       0.22000000
  0.40000000       0.20000000
  0.42000000       0.18000000
  0.44000000       0.16000000
  0.46000000       0.14000000
  0.48000000       0.12000000
  0.50000000       0.10000000E+00
  0.52000000       0.80000000E-01
  0.54000000       0.60000000E-01
  0.56000000       0.40000000E-01
  0.58000000       0.20000000E-01
  0.60000000        0.0000000
  0.62000000        0.0000000
  0.64000000        0.0000000
  0.66000000        0.0000000
  0.68000000        0.0000000
  0.70000000        0.0000000
  0.72000000        0.0000000
  0.74000000        0.0000000
  0.76000000        0.0000000
  0.78000000        0.0000000
  0.80000000        0.0000000
  0.82000000        0.0000000
  0.84000000        0.0000000
  0.86000000        0.0000000
  0.88000000        0.0000000
  0.90000000        0.0000000
  0.92000000        0.0000000
  0.94000000        0.0000000
  0.96000000        0.0000000
  0.98000000        0.0000000
  1.0000000        0.0000000
  1.0200000       0.20000000E-01
  1.0400000       0.40000000E-01
  1.0600000       0.60000000E-01
  1.0800000       0.80000000E-01
  1.1000000       0.10000000
  1.1200000       0.12000000
  1.1400000       0.14000000
  1.1600000       0.16000000
  1.1800000       0.18000000
  1.2000000       0.20000000
  1.2200000       0.22000000
  1.2400000       0.24000000
  1.2600000       0.26000000
  1.2800000       0.28000000
  1.3000000       0.30000000
  1.3200000       0.32000000
  1.3400000       0.34000000
  1.3600000       0.36000000
  1.3800000       0.38000000
  1.4000000       0.40000000
  1.4200000       0.42000000
  1.4400000       0.44000000
  1.4600000       0.46000000
  1.4800000       0.48000000
  1.5000000       0.50000000
  1.5200000       0.52000000
  1.5400000       0.54000000
  1.5600000       0.56000000
  1.5800000       0.58000000
  1.6000000       0.60000000
  1.6200000       0.62000000
  1.6400000       0.64000000
  1.6600000       0.66000000
  1.6800000       0.68000000
  1.7000000       0.70000000
  1.7200000       0.72000000
  1.7400000       0.74000000
  1.7600000       0.76000000
  1.7800000       0.78000000
  1.8000000       0.80000000
  1.8200000       0.82000000
  1.8400000       0.84000000
  1.8600000       0.86000000
  1.8800000       0.88000000
  1.9000000       0.90000000
  1.9200000       0.92000000
  1.9400000       0.94000000
  1.9600000       0.96000000
  1.9800000       0.98000000
  2.0000000        1.0000000
