# data from ifeffit
# e0 =    11870.145     
# pre1 =   -200.00000     
# pre2 =   -50.000000     
# edge_step =    2.4070623     
#------------------------
#   energy     norm
  11634.890       0.27311380E-02
  11644.908       0.24061908E-02
  11654.944       0.19785661E-02
  11664.998       0.16210887E-02
  11675.070       0.12481771E-02
  11684.862       0.90079888E-03
  11694.969       0.57621070E-03
  11705.093       0.19864029E-03
  11714.937      -0.64076230E-04
  11725.095      -0.37644811E-03
  11734.974      -0.65855862E-03
  11744.867      -0.79014251E-03
  11755.079      -0.99177903E-03
  11765.009      -0.11116979E-02
  11774.954      -0.11079359E-02
  11784.918      -0.10334531E-02
  11794.896      -0.63437258E-03
  11804.895      -0.17630293E-03
  11814.909       0.10423235E-02
  11824.940       0.29786165E-02
  11834.989       0.69343209E-02
  11845.057       0.16025426E-01
  11845.361       0.16394204E-01
  11845.973       0.17224621E-01
  11846.583       0.18124101E-01
  11846.889       0.18552188E-01
  11847.499       0.19551790E-01
  11848.110       0.20688646E-01
  11848.415       0.21242455E-01
  11849.027       0.22354958E-01
  11849.637       0.23762526E-01
  11849.942       0.24342508E-01
  11850.556       0.25782282E-01
  11850.860       0.26578552E-01
  11851.471       0.28268780E-01
  11852.083       0.30100417E-01
  11852.390       0.30864757E-01
  11853.000       0.32901307E-01
  11853.610       0.35284753E-01
  11853.917       0.36554689E-01
  11854.529       0.39323568E-01
  11855.140       0.42442508E-01
  11855.446       0.43684035E-01
  11856.058       0.47188251E-01
  11856.363       0.49067742E-01
  11856.976       0.53382647E-01
  11857.588       0.58201327E-01
  11857.894       0.60235106E-01
  11858.504       0.65920087E-01
  11859.118       0.72830430E-01
  11859.424       0.76396367E-01
  11860.035       0.85174073E-01
  11860.647       0.95265571E-01
  11860.955       0.99669775E-01
  11861.566       0.11294633
  11861.872       0.11981421
  11862.484       0.13761802
  11863.098       0.15938838
  11863.403       0.16951070
  11864.017       0.20015994
  11864.628       0.23972247
  11864.935       0.26215139
  11865.547       0.31995790
  11865.854       0.34710959
  11866.467       0.43246934
  11867.078       0.54219126
  11867.388       0.60211033
  11867.999       0.74989316
  11868.611       0.94325827
  11868.919        1.0251283
  11869.532        1.2776669
  11870.145        1.5587200
  11870.451        1.6862648
  11871.064        1.8809022
  11871.371        1.9111070
  11871.985        1.8748602
  11872.599        1.7725153
  11872.905        1.7198006
  11873.518        1.6074933
  11874.133        1.5028437
  11874.439        1.4603880
  11875.053        1.3615068
  11875.358        1.3190073
  11875.975        1.2330493
