# data from ifeffit
# e0 =    11873.518     
# pre1 =   -200.00000     
# pre2 =   -50.000000     
# edge_step =   0.83107237     
#------------------------
#   energy     norm
  11634.890       0.25006033E-02
  11644.908       0.24324824E-02
  11654.944       0.18446139E-02
  11664.998       0.15636408E-02
  11675.070       0.12225672E-02
  11684.862       0.80912285E-03
  11694.969       0.55801517E-03
  11705.093       0.11404339E-03
  11714.937      -0.42523050E-04
  11725.095      -0.24893196E-03
  11734.974      -0.46353406E-03
  11744.867      -0.84574217E-03
  11755.079      -0.92321333E-03
  11765.009      -0.11857680E-02
  11774.954      -0.11390314E-02
  11784.918      -0.10449000E-02
  11794.896      -0.60458071E-03
  11804.895      -0.41455101E-04
  11814.909       0.94767854E-03
  11824.940       0.28882527E-02
  11834.989       0.59310802E-02
  11845.057       0.12536038E-01
  11845.361       0.12405141E-01
  11845.973       0.13280847E-01
  11846.583       0.14135288E-01
  11846.889       0.14030469E-01
  11847.499       0.14837982E-01
  11848.110       0.15707267E-01
  11848.415       0.15840289E-01
  11849.027       0.16649816E-01
  11849.637       0.17849594E-01
  11849.942       0.18003072E-01
  11850.556       0.19010742E-01
  11850.860       0.19738976E-01
  11851.471       0.20486731E-01
  11852.083       0.21822084E-01
  11852.390       0.22251919E-01
  11853.000       0.23508250E-01
  11853.610       0.24800680E-01
  11853.917       0.25602323E-01
  11854.529       0.27301062E-01
  11855.140       0.28942843E-01
  11855.446       0.29656243E-01
  11856.058       0.31702725E-01
  11856.363       0.32610650E-01
  11856.976       0.34830807E-01
  11857.588       0.37064999E-01
  11857.894       0.38318665E-01
  11858.504       0.41112769E-01
  11859.118       0.44268267E-01
  11859.424       0.45887725E-01
  11860.035       0.49773595E-01
  11860.647       0.53786211E-01
  11860.955       0.55484692E-01
  11861.566       0.60717014E-01
  11861.872       0.63270206E-01
  11862.484       0.69671303E-01
  11863.098       0.76797574E-01
  11863.403       0.79684870E-01
  11864.017       0.89073279E-01
  11864.628       0.99450761E-01
  11864.935       0.10527724
  11865.547       0.11978593
  11865.854       0.12592646
  11866.467       0.14547363
  11867.078       0.16967301
  11867.388       0.18268900
  11867.999       0.21735559
  11868.611       0.26461474
  11868.919       0.28551010
  11869.532       0.35982747
  11870.145       0.45884906
  11870.451       0.51268058
  11871.064       0.66893546
  11871.371       0.73450884
  11871.985       0.96772613
  11872.599        1.2424296
  11872.905        1.3813860
  11873.518        1.7395403
  11874.133        2.0932132
  11874.439        2.2148331
  11875.053        2.4659910
  11875.358        2.5200772
  11875.975        2.5108175
  11876.588        2.3776968
  11876.894        2.3135314
  11877.509        2.1205588
  11878.123        1.9397880
  11878.430        1.8607001
  11879.044        1.7065011
  11879.351        1.6567452
  11879.966        1.5345919
  11880.580        1.4397234
  11880.887        1.4052803
  11881.500        1.3431811
  11882.116        1.2987892
  11882.424        1.2864853
  11883.037        1.2617295
  11883.652        1.2484524
  11883.959        1.2448585
  11884.574        1.2394508
  11884.881        1.2381816
  11885.496        1.2350516
  11886.110        1.2324676
  11886.419        1.2315337
  11887.034        1.2279910
  11887.648        1.2236694
  11887.955        1.2222571
  11888.572        1.2160789
  11888.879        1.2129398
  11889.493        1.2045331
  11890.109        1.1937954
  11890.417        1.1894234
  11891.032        1.1755507
  11891.648        1.1615520
  11891.956        1.1547555
  11892.570        1.1400702
  11892.879        1.1346818
  11893.495        1.1206723
  11894.109        1.1081024
  11894.419        1.1024076
  11895.035        1.0908275
  11895.649        1.0808289
  11896.266        1.0719061
  11896.881        1.0641159
  11897.498        1.0578944
  11898.422        1.0484098
  11899.038        1.0417704
  11899.655        1.0330136
  11900.580        1.0157203
  11901.195        1.0022627
  11902.121       0.98115664
  11903.045       0.95862272
  11903.662       0.94469187
  11904.587       0.92562255
  11905.513       0.90703494
  11906.438       0.89073915
  11907.363       0.87438560
  11908.291       0.86082965
  11909.215       0.84771368
  11910.143       0.83753289
  11911.068       0.83039514
  11912.303       0.82717671
  11913.229       0.82926239
  11914.156       0.83478379
  11915.392       0.84678947
  11916.318       0.85747609
  11917.556       0.87523658
  11918.793       0.89503981
  11919.719       0.91109781
  11920.957       0.93298189
  11922.193       0.95235034
  11923.432       0.96896092
  11924.669       0.98273941
  11925.908       0.99414948
  11927.146        1.0043944
  11928.384        1.0144456
  11929.623        1.0255428
  11930.861        1.0368730
  11932.411        1.0526131
  11933.651        1.0649525
  11934.891        1.0762210
  11936.441        1.0882707
  11937.992        1.0963320
  11939.232        1.1012869
  11940.784        1.1064740
  11942.336        1.1100475
  11943.577        1.1115880
  11945.130        1.1127566
  11946.684        1.1137306
  11948.237        1.1140798
  11949.791        1.1136171
  11951.346        1.1118229
  11952.899        1.1091121
  11954.767        1.1046818
  11956.322        1.1002969
  11957.878        1.0956995
  11959.745        1.0903964
  11961.301        1.0864944
  11963.171        1.0821972
  11964.729        1.0793417
  11966.598        1.0768852
  11968.470        1.0739317
  11970.027        1.0704452
  11971.900        1.0647944
  11973.771        1.0569853
  11975.644        1.0476489
  11977.519        1.0380690
  11979.392        1.0280215
  11981.267        1.0194885
  11983.141        1.0124772
  11985.017        1.0070983
  11987.206        1.0024333
  11989.083        1.0003253
  11991.273       0.99760393
  11993.151       0.99575023
  11995.344       0.99350658
  11997.225       0.99189836
  11999.417       0.99080342
  12001.299       0.99063712
  12003.494       0.99083088
  12005.688       0.99165355
  12007.886       0.99271849
  12010.083       0.99407662
  12012.282       0.99607690
  12014.481       0.99899767
  12016.682        1.0016930
  12018.881        1.0040218
  12021.083        1.0060738
  12023.602        1.0089364
  12025.804        1.0125093
  12028.008        1.0170938
  12030.527        1.0231450
  12032.733        1.0288073
  12035.257        1.0341590
  12037.780        1.0389399
  12039.989        1.0421018
  12042.514        1.0430500
  12045.040        1.0418892
  12047.566        1.0394626
  12050.096        1.0362435
  12052.625        1.0337844
  12055.154        1.0321796
  12057.688        1.0314385
  12060.221        1.0303864
  12062.754        1.0291370
  12065.288        1.0285679
  12068.142        1.0278058
  12070.678        1.0267080
  12073.218        1.0252581
  12076.073        1.0231500
  12078.615        1.0216190
  12081.473        1.0203640
  12084.335        1.0193656
  12086.878        1.0185667
  12089.742        1.0171504
  12092.606        1.0157667
  12095.474        1.0140680
  12098.340        1.0123084
  12101.209        1.0104670
  12104.080        1.0086866
  12106.952        1.0070461
  12109.825        1.0052653
  12112.697        1.0039690
  12115.894        1.0023108
  12118.771        1.0016265
  12121.650        1.0004065
  12124.850       0.99855457
  12127.731       0.99685278
  12130.936       0.99515212
  12133.819       0.99331878
  12137.027       0.99259157
  12140.235       0.99186917
  12143.445       0.99117045
  12146.337       0.99089777
  12149.551       0.99136302
  12152.765       0.99263446
  12155.981       0.99466837
  12159.200       0.99629318
  12162.421       0.99768296
  12165.642       0.99855533
  12169.189       0.99950425
  12172.415       0.99968798
  12175.643       0.99862834
  12178.872       0.99662093
  12182.426       0.99437079
  12185.658       0.99315995
  12189.218       0.99307571
  12192.452       0.99336736
  12196.016       0.99405242
  12199.579       0.99398263
  12202.822       0.99327440
  12206.390       0.99129344
  12209.961       0.98829694
  12213.534       0.98587520
  12217.107       0.98475780
  12220.686       0.98527446
  12224.263       0.98641721
  12227.845       0.98709271
  12231.427       0.98597534
  12235.013       0.98438671
  12238.927       0.98277676
  12242.516       0.98197147
  12246.108       0.98038767
  12250.029       0.97892014
  12253.625       0.97874217
  12257.550       0.97871656
  12261.152       0.97827750
  12265.081       0.97700693
  12269.016       0.97553302
  12272.623       0.97472298
  12276.561       0.97390847
  12280.502       0.97220838
  12284.445       0.97031296
  12288.391       0.96805777
  12292.338       0.96673191
  12296.289       0.96541609
  12300.243       0.96438906
  12304.198       0.96339373
  12308.158       0.96301528
  12312.119       0.96319676
  12316.084       0.96367104
  12320.380       0.96388337
  12324.349       0.96326190
  12328.652       0.96251805
  12332.627       0.96214688
  12336.604       0.96157316
  12340.915       0.96042706
  12345.229       0.95987658
  12349.215       0.95956641
  12353.536       0.95902478
  12357.859       0.95798941
  12362.187       0.95706797
  12366.183       0.95654646
  12370.515       0.95610073
  12374.851       0.95497316
  12379.189       0.95359251
  12383.532       0.95319816
  12387.876       0.95341306
  12392.560       0.95290759
  12396.911       0.95295205
  12401.265       0.95233713
  12405.621       0.95193841
  12410.317       0.95103711
  12414.682       0.94994654
  12419.049       0.94824793
  12423.755       0.94625450
  12428.129       0.94464295
  12432.842       0.94372807
  12437.560       0.94345896
  12441.942       0.94335833
  12446.666       0.94317829
  12451.395       0.94326979
  12456.125       0.94325581
  12460.522       0.94255120
  12465.261       0.94199459
  12470.003       0.94067752
  12474.748       0.93923171
  12479.498       0.93810077
  12484.250       0.93707051
  12489.007       0.93573424
  12494.107       0.93433219
  12498.871       0.93299995
  12503.640       0.93255053
  12508.411       0.93159053
  12513.527       0.93066061
  12518.307       0.93013863
  12523.432       0.92983684
  12528.220       0.92968991
  12533.352       0.92927665
  12538.146       0.92862316
  12543.288       0.92786018
  12548.090       0.92748187
  12553.239       0.92666276
  12558.393       0.92588659
  12563.551       0.92491471
  12568.713       0.92400942
  12573.536       0.92338571
  12578.707       0.92285707
  12583.881       0.92205289
  12589.061       0.92140035
  12594.244       0.92110759
  12599.432       0.92103104
  12604.972       0.92082617
  12610.168       0.92059282
  12615.369       0.92009677
  12620.574       0.91943990
  12625.784       0.91833624
  12631.348       0.91711348
  12636.566       0.91575797
  12642.137       0.91426129
  12647.364       0.91364100
  12652.945       0.91328546
