# data from ifeffit
#------------------------
#   energy    xmu
  6962.0000       0.10061644
  6972.0000       0.10032745
  6982.0000       0.99882904E-01
  6992.0000       0.99999533E-01
  7002.0000       0.99754178E-01
  7012.0000       0.99376000E-01
  7022.0000       0.99678120E-01
  7032.0000       0.99560236E-01
  7042.0000       0.99868119E-01
  7052.0000       0.99953559E-01
  7062.0000       0.10032401
  7072.0000       0.10065945
  7082.0000       0.10160871
  7092.0000       0.10347847
  7092.5000       0.10360415
  7093.0000       0.10398534
  7093.5000       0.10394893
  7094.0000       0.10416018
  7094.5000       0.10424196
  7095.0000       0.10446482
  7095.5000       0.10498367
  7096.0000       0.10491637
  7096.5000       0.10505025
  7097.0000       0.10520831
  7097.5000       0.10551074
  7098.0000       0.10584808
  7098.5000       0.10613091
  7099.0000       0.10639359
  7099.5000       0.10632986
  7100.0000       0.10663820
  7100.5000       0.10678983
  7101.0000       0.10738150
  7101.5000       0.10733532
  7102.0000       0.10779007
  7102.5000       0.10804467
  7103.0000       0.10896428
  7103.5000       0.10902070
  7104.0000       0.10953578
  7104.5000       0.10992273
  7105.0000       0.11063727
  7105.5000       0.11106468
  7106.0000       0.11139699
  7106.5000       0.11234106
  7107.0000       0.11308978
  7107.5000       0.11405424
  7108.0000       0.11513134
  7108.5000       0.11618659
  7109.0000       0.11779023
  7109.5000       0.11961630
  7110.0000       0.12239640
  7110.5000       0.12689376
  7111.0000       0.13361957
  7111.5000       0.14385407
  7112.0000       0.15957993
  7112.5000       0.18341880
  7113.0000       0.20308955
  7113.5000       0.20651906
  7114.0000       0.19944004
  7114.5000       0.19096563
  7115.0000       0.18659356
  7115.5000       0.18567747
  7116.0000       0.18861900
  7116.5000       0.19489923
  7117.0000       0.20541332
  7117.5000       0.22255750
  7118.0000       0.24358892
  7118.5000       0.27389078
  7119.0000       0.31226709
  7119.5000       0.35772093
  7120.0000       0.41405734
  7120.5000       0.47028007
  7121.0000       0.52521540
  7121.5000       0.58373324
  7122.0000       0.63952504
  7122.5000       0.70066517
  7123.0000       0.77004998
  7123.5000       0.83859028
  7124.0000       0.90674938
  7124.5000       0.97112299
  7125.0000        1.0267217
  7125.5000        1.0779535
  7126.0000        1.1230853
  7126.5000        1.1657443
  7127.0000        1.2171584
  7127.5000        1.2759012
  7128.0000        1.3371062
  7128.5000        1.4009802
  7129.0000        1.4540764
  7129.5000        1.4904530
  7130.0000        1.5074903
  7130.5000        1.5074714
  7131.0000        1.4973943
  7131.5000        1.4811745
  7132.0000        1.4633806
  7132.8830        1.4213327
  7133.7850        1.3716667
  7134.7070        1.3302301
  7135.6470        1.3034920
  7136.6060        1.2861552
  7137.5840        1.2693268
  7138.5820        1.2477809
  7139.5990        1.2243797
  7140.6340        1.2044275
  7141.6890        1.1948143
  7142.7630        1.1970952
