# data from ifeffit
#------------------------
#   energy    xmu
  6962.0000       0.30026766
  6972.0000       0.30017984
  6982.0000       0.30005390
  6992.0000       0.29987126
  7002.0000       0.29985559
  7012.0000       0.29973854
  7022.0000       0.29980118
  7032.0000       0.29964817
  7042.0000       0.30002958
  7052.0000       0.30014023
  7062.0000       0.30041405
  7072.0000       0.30093606
  7082.0000       0.30182129
  7092.0000       0.30372332
  7092.5000       0.30396080
  7093.0000       0.30415202
  7093.5000       0.30430529
  7094.0000       0.30434283
  7094.5000       0.30446502
  7095.0000       0.30479170
  7095.5000       0.30482719
  7096.0000       0.30512267
  7096.5000       0.30512154
  7097.0000       0.30544342
  7097.5000       0.30560332
  7098.0000       0.30586844
  7098.5000       0.30642070
  7099.0000       0.30672920
  7099.5000       0.30696581
  7100.0000       0.30738582
  7100.5000       0.30776778
  7101.0000       0.30810589
  7101.5000       0.30853762
  7102.0000       0.30902712
  7102.5000       0.30942273
  7103.0000       0.31011517
  7103.5000       0.31057323
  7104.0000       0.31164379
  7104.5000       0.31241494
  7105.0000       0.31350618
  7105.5000       0.31472687
  7106.0000       0.31578316
  7106.5000       0.31750415
  7107.0000       0.31948403
  7107.5000       0.32191067
  7108.0000       0.32517196
  7108.5000       0.32968037
  7109.0000       0.33641421
  7109.5000       0.34793397
  7110.0000       0.36963375
  7110.5000       0.40463014
  7111.0000       0.45532550
  7111.5000       0.50463432
  7112.0000       0.54068893
  7112.5000       0.57003254
  7113.0000       0.59448144
  7113.5000       0.61554886
  7114.0000       0.63358347
  7114.5000       0.64720285
  7115.0000       0.65415294
  7115.5000       0.65916582
  7116.0000       0.66491716
  7116.5000       0.67480407
  7117.0000       0.69438223
  7117.5000       0.72411729
  7118.0000       0.75738698
  7118.5000       0.79577966
  7119.0000       0.83181555
  7119.5000       0.87137596
  7120.0000       0.91251790
  7120.5000       0.95083081
  7121.0000       0.98590250
  7121.5000        1.0182039
  7122.0000        1.0441105
  7122.5000        1.0669697
  7123.0000        1.0879404
  7123.5000        1.1058080
  7124.0000        1.1217648
  7124.5000        1.1370922
  7125.0000        1.1512958
  7125.5000        1.1664308
  7126.0000        1.1823996
  7126.5000        1.1991308
  7127.0000        1.2184897
  7127.5000        1.2393819
  7128.0000        1.2629348
