# Athena multicolumn data file -- Athena version 0.8.061
# This file contains normalized mu(E) from:
# AII_-25 (column 2)
# AII_45 (column 3)
#------------------------
#  energy  AII__25  AII_45
  7012.0000       0.11568818E-02   0.10002422E-02
  7017.0000       0.91305104E-03   0.77408462E-03
  7022.0000       0.63077640E-03   0.45364537E-03
  7027.0000       0.43810096E-03   0.38419294E-03
  7032.0000       0.24640992E-03   0.11000049E-03
  7037.0000      -0.24971598E-04   0.87036085E-04
  7042.0000      -0.17219773E-03  -0.85472205E-04
  7047.0000      -0.37467371E-03  -0.18574711E-03
  7052.0000      -0.47482719E-03  -0.46451661E-03
  7057.0000      -0.55341779E-03  -0.44228293E-03
  7062.0000      -0.49699585E-03  -0.49066909E-03
  7067.0000      -0.35872229E-03  -0.33192548E-03
  7072.0000      -0.30382094E-03  -0.35734929E-03
  7077.0000      -0.13816289E-03   0.35208119E-04
  7082.0000       0.38102560E-03   0.35514831E-03
  7087.0000       0.12014771E-02   0.93273140E-03
  7092.0000       0.23711541E-02   0.20484385E-02
  7097.0000       0.44769224E-02   0.34462232E-02
  7102.0000       0.80585824E-02   0.62673079E-02
  7102.2000       0.81622605E-02   0.64930935E-02
  7102.4000       0.85375704E-02   0.65597415E-02
  7102.6000       0.87414123E-02   0.68237958E-02
  7102.8000       0.89422157E-02   0.69524632E-02
  7103.0000       0.91205548E-02   0.71267565E-02
  7103.2000       0.93324971E-02   0.73452890E-02
  7103.4000       0.95505683E-02   0.78589766E-02
  7103.6000       0.99476352E-02   0.78285834E-02
  7103.8000       0.10001940E-01   0.79839658E-02
  7104.0000       0.10565787E-01   0.82355530E-02
  7104.2000       0.10508095E-01   0.82538393E-02
  7104.4000       0.10906899E-01   0.84599104E-02
  7104.6000       0.11310798E-01   0.86581918E-02
  7104.8000       0.11649952E-01   0.90661317E-02
  7105.0000       0.11995215E-01   0.92146157E-02
  7105.2000       0.12562659E-01   0.95274879E-02
  7105.4000       0.12570425E-01   0.97757195E-02
  7105.6000       0.13020411E-01   0.10117426E-01
  7105.8000       0.13180145E-01   0.10414606E-01
  7106.0000       0.13824911E-01   0.10637558E-01
  7106.2000       0.13915783E-01   0.11040080E-01
  7106.4000       0.14870737E-01   0.11321427E-01
  7106.6000       0.14993968E-01   0.11608802E-01
  7106.8000       0.15225029E-01   0.12055144E-01
  7107.0000       0.16113917E-01   0.12450677E-01
  7107.2000       0.16753167E-01   0.13053718E-01
  7107.4000       0.17681088E-01   0.13331980E-01
  7107.6000       0.17770780E-01   0.14017171E-01
  7107.8000       0.18605208E-01   0.14323908E-01
  7108.0000       0.19338125E-01   0.14984386E-01
  7108.2000       0.20569017E-01   0.15438127E-01
  7108.4000       0.21372834E-01   0.16102844E-01
  7108.6000       0.22576079E-01   0.16904165E-01
  7108.8000       0.23631150E-01   0.18178590E-01
  7109.0000       0.24826546E-01   0.18793215E-01
  7109.2000       0.26671158E-01   0.19757019E-01
  7109.4000       0.29548443E-01   0.21219215E-01
  7109.6000       0.32047329E-01   0.22884589E-01
  7109.8000       0.35376220E-01   0.24672949E-01
  7110.0000       0.40204313E-01   0.27240190E-01
  7110.2000       0.46907581E-01   0.30986334E-01
  7110.4000       0.54136211E-01   0.34350151E-01
  7110.6000       0.64869114E-01   0.39652054E-01
  7110.8000       0.73976648E-01   0.45323818E-01
  7111.0000       0.83827615E-01   0.51167034E-01
  7111.2000       0.91080972E-01   0.57193964E-01
  7111.4000       0.93985708E-01   0.61737536E-01
  7111.6000       0.94362900E-01   0.66173846E-01
  7111.8000       0.89923230E-01   0.71579868E-01
