# Results of near edge peak fit to "AII_45"
# Titles from AII_45
# .  Merge in e space of:
# .  ** T:/xas_user/June2011/Gaetani/DT_Corrected/Fe_xanes_AII_45.001c
# .  ** T:/xas_user/June2011/Gaetani/DT_Corrected/Fe_xanes_AII_45.002c
# .  ** T:/xas_user/June2011/Gaetani/DT_Corrected/Fe_xanes_AII_45.003c
# .
# Fitting range = [-9:1] (relative to centroid of step function)
# .
# Fit included 50 data points and 5 variables
# R-factor = 0.00019, chi-square = 0.00016, reduced chi-square = 0.0000035
# .
# function       centroid             amplitude        width
# ============================================================
# atan            7117.50(    0.61)  0.471( 0.036)  1.258( 0.019)
# gauss           7113.25(    0.00)  0.144( 0.002)  0.750( 0.000)
# gauss           7111.50(    0.00)  0.057( 0.002)  0.750( 0.000)
# .
# .
# The Gaussians and Lorentzians are unit normalized,
# so the amplitudes are the areas.
# Formulas:
# -  arctangent:       A*[atan((e-E0)/W)/pi + 0.5]
# -  error function:   A*[erf((e-E0)/W) + 1]
# -  Gaussian:         [A/(W*sqrt(2pi))] * exp[-(e-E0)^2/(2W^2)]
# -  Lorentzian:       (AW/2pi) / [(e-E0)^2 + (W/2)^2]
#------------------------
#   ee        norm       fun          step          peak1          peak2          resid
  7012.0000       0.10002422E-02   0.17837092E-02   0.17837092E-02    0.0000000        0.0000000      -0.78346697E-03
  7017.0000       0.77408462E-03   0.18721440E-02   0.18721440E-02    0.0000000        0.0000000      -0.10980594E-02
  7022.0000       0.45364537E-03   0.19698048E-02   0.19698048E-02    0.0000000        0.0000000      -0.15161595E-02
  7027.0000       0.38419294E-03   0.20782147E-02   0.20782147E-02    0.0000000        0.0000000      -0.16940218E-02
  7032.0000       0.11000049E-03   0.21992515E-02   0.21992515E-02    0.0000000        0.0000000      -0.20892510E-02
  7037.0000       0.87036085E-04   0.23352576E-02   0.23352576E-02    0.0000000        0.0000000      -0.22482215E-02
  7042.0000      -0.85472205E-04   0.24891926E-02   0.24891926E-02    0.0000000        0.0000000      -0.25746648E-02
  7047.0000      -0.18574711E-03   0.26648516E-02   0.26648516E-02    0.0000000        0.0000000      -0.28505987E-02
  7052.0000      -0.46451661E-03   0.28671817E-02   0.28671817E-02    0.0000000        0.0000000      -0.33316983E-02
  7057.0000      -0.44228293E-03   0.31027556E-02   0.31027556E-02    0.0000000        0.0000000      -0.35450385E-02
  7062.0000      -0.49066909E-03   0.33804981E-02   0.33804981E-02    0.0000000        0.0000000      -0.38711672E-02
  7067.0000      -0.33192548E-03   0.37128422E-02   0.37128422E-02    0.0000000        0.0000000      -0.40447677E-02
  7072.0000      -0.35734929E-03   0.41176399E-02   0.41176399E-02    0.0000000        0.0000000      -0.44749892E-02
  7077.0000       0.35208119E-04   0.46214747E-02   0.46214747E-02    0.0000000        0.0000000      -0.45862665E-02
  7082.0000       0.35514831E-03   0.52657404E-02   0.52657404E-02    0.0000000        0.0000000      -0.49105921E-02
  7087.0000       0.93273140E-03   0.61186190E-02   0.61186190E-02   0.75459492E-267   0.57615726E-233  -0.51858876E-02
  7092.0000       0.20484385E-02   0.73009109E-02   0.73009109E-02   0.36484173E-175   0.48892216E-148  -0.52524725E-02
  7097.0000       0.34462232E-02   0.90488542E-02   0.90488542E-02   0.88007189E-103   0.20699575E-82  -0.56026310E-02
  7102.0000       0.62673079E-02   0.11894916E-01   0.11894916E-01   0.10591436E-49   0.43722619E-36  -0.56276077E-02
  7102.2000       0.64930935E-02   0.12046390E-01   0.12046390E-01   0.55807321E-48   0.12365590E-34  -0.55532961E-02
  7102.4000       0.65597415E-02   0.12201763E-01   0.12201763E-01   0.27386993E-46   0.32571694E-33  -0.56420213E-02
  7102.6000       0.68237958E-02   0.12361187E-01   0.12361187E-01   0.12517407E-44   0.79906606E-32  -0.55373911E-02
  7102.8000       0.69524632E-02   0.12524822E-01   0.12524822E-01   0.53284542E-43   0.18257523E-30  -0.55723592E-02
  7103.0000       0.71267565E-02   0.12692838E-01   0.12692838E-01   0.21125399E-41   0.38852403E-29  -0.55660814E-02
  7103.2000       0.73452890E-02   0.12865411E-01   0.12865411E-01   0.78005542E-40   0.77003547E-28  -0.55201223E-02
  7103.4000       0.78589766E-02   0.13042730E-01   0.13042730E-01   0.26826426E-38   0.14214135E-26  -0.51837534E-02
  7103.6000       0.78285834E-02   0.13224992E-01   0.13224992E-01   0.85924503E-37   0.24436947E-25  -0.53964085E-02
  7103.8000       0.79839658E-02   0.13412406E-01   0.13412406E-01   0.25632329E-35   0.39128240E-24  -0.54284404E-02
  7104.0000       0.82355530E-02   0.13605194E-01   0.13605194E-01   0.71215733E-34   0.58351297E-23  -0.53696410E-02
