# Results of near edge peak fit to "AII_45"
# Titles from AII_45
# .  Merge in e space of:
# .  ** T:/xas_user/June2011/Gaetani/DT_Corrected/Fe_xanes_AII_45.001c
# .  ** T:/xas_user/June2011/Gaetani/DT_Corrected/Fe_xanes_AII_45.002c
# .  ** T:/xas_user/June2011/Gaetani/DT_Corrected/Fe_xanes_AII_45.003c
# .
# Fitting range = [-10:2] (relative to centroid of step function)
# .
# Fit included 60 data points and 3 variables
# R-factor = 0.00122, chi-square = 0.00193, reduced chi-square = 0.0000332
# .
# function       centroid             amplitude        width
# ============================================================
# atan            7117.50(    1.12)  0.507( 0.071)  1.164( 0.038)
# gauss           7111.40(    0.00)  0.057( 0.000)  0.882( 0.000)
# gauss           7113.20(    0.00)  0.177( 0.000)  0.898( 0.000)
# .
# .
# The Gaussians and Lorentzians are unit normalized,
# so the amplitudes are the areas.
# Formulas:
# -  arctangent:       A*[atan((e-E0)/W)/pi + 0.5]
# -  error function:   A*[erf((e-E0)/W) + 1]
# -  Gaussian:         [A/(W*sqrt(2pi))] * exp[-(e-E0)^2/(2W^2)]
# -  Lorentzian:       (AW/2pi) / [(e-E0)^2 + (W/2)^2]
#------------------------
#   ee        norm       fun          step          peak1          peak2          resid
  7012.0000       0.10002422E-02   0.17708641E-02   0.17708641E-02    0.0000000        0.0000000      -0.77062182E-03
  7017.0000       0.77408462E-03   0.18585393E-02   0.18585393E-02    0.0000000        0.0000000      -0.10844546E-02
  7022.0000       0.45364537E-03   0.19553478E-02   0.19553478E-02    0.0000000        0.0000000      -0.15017024E-02
  7027.0000       0.38419294E-03   0.20627952E-02   0.20627952E-02    0.0000000        0.0000000      -0.16786022E-02
  7032.0000       0.11000049E-03   0.21827370E-02   0.21827370E-02    0.0000000        0.0000000      -0.20727365E-02
  7037.0000       0.87036085E-04   0.23174870E-02   0.23174870E-02    0.0000000        0.0000000      -0.22304509E-02
  7042.0000      -0.85472205E-04   0.24699676E-02   0.24699676E-02    0.0000000        0.0000000      -0.25554398E-02
  7047.0000      -0.18574711E-03   0.26439247E-02   0.26439247E-02    0.0000000        0.0000000      -0.28296718E-02
  7052.0000      -0.46451661E-03   0.28442388E-02   0.28442388E-02    0.0000000        0.0000000      -0.33087554E-02
  7057.0000      -0.44228293E-03   0.30773902E-02   0.30773902E-02    0.0000000        0.0000000      -0.35196731E-02
  7062.0000      -0.49066909E-03   0.33521731E-02   0.33521731E-02    0.0000000        0.0000000      -0.38428421E-02
  7067.0000      -0.33192548E-03   0.36808290E-02   0.36808290E-02    0.0000000        0.0000000      -0.40127545E-02
  7072.0000      -0.35734929E-03   0.40809194E-02   0.40809194E-02    0.0000000        0.0000000      -0.44382687E-02
  7077.0000       0.35208119E-04   0.45785668E-02   0.45785668E-02    0.0000000        0.0000000      -0.45433587E-02
