# data from ifeffit
# e0shift =    16.000000     
#------------------------
#   e         mu
  2479.0310       0.22127400E-01
  2480.4500       0.30371300E-01
  2481.7200       0.43421000E-01
  2482.8400       0.65166000E-01
  2483.8110       0.10371400
  2484.6320       0.17747500
  2485.3040       0.33282000
  2485.8270       0.70015300
  2486.2000        1.6366300
  2486.4240        3.3087800
  2486.4990        4.1048000
  2486.6250        5.3578600
  2486.6670        5.6622700
  2486.7980        6.2402700
  2486.9660        6.4071100
  2487.1710        6.1508400
  2487.4140        5.5349600
  2487.6940        4.6811400
  2488.0110        3.7654000
  2488.3660        2.9400300
  2488.7580        2.2748600
  2489.1870        1.7722700
  2489.6540        1.4052200
  2490.1580        1.1417700
  2490.6990       0.95473100
  2491.2780       0.82276700
  2491.8940       0.72843500
  2492.5480       0.65615700
  2493.2380       0.59597800
  2493.9670       0.54844500
  2494.7320       0.51712800
  2495.5350       0.50110200
  2496.3750       0.49719400
  2497.2520       0.50272400
  2498.1670       0.51608900
  2499.1190       0.53676300
  2500.1090       0.56536200
  2501.1350       0.60438900
  2502.2000       0.65985000
  2503.3010       0.74524600
  2504.4400       0.88081100
  2505.6160        1.0036900
  2506.8290       0.89062200
  2508.0800       0.75110500
  2509.3680       0.70466600
  2510.6940       0.70053000
  2512.0570       0.71151000
  2513.4570       0.72767100
  2514.8940       0.74499600
  2516.3690       0.76182900
  2517.8810       0.77710200
  2519.4310       0.79001000
  2521.0180       0.80122500
  2522.6420       0.81231200
  2524.3040       0.82136600
  2526.0020       0.82935900
  2527.7390       0.83654000
  2529.5120       0.84378000
  2531.3230       0.85182600
  2533.1710       0.86245800
  2535.0570       0.87688100
  2536.9800       0.89727600
  2538.9400       0.92581200
  2540.9380       0.96458900
  2542.9720        1.0140800
  2545.0450        1.0699300
  2547.1540        1.1235100
  2549.3010        1.1646800
  2551.4850        1.1879700
  2553.7070        1.1943600
  2555.9660        1.1901500
  2558.2620        1.1808800
  2560.5960        1.1705700
  2562.9670        1.1613400
  2565.3750        1.1537300
  2567.8210        1.1476200
  2570.3040        1.1419900
  2572.8240        1.1357400
  2575.3820        1.1278900
  2577.9770        1.1177200
  2580.6090        1.1051500
  2583.2790        1.0906100
  2585.9860        1.0752000
  2588.7300        1.0601900
  2591.5120        1.0468900
  2594.3310        1.0363100
  2597.1870        1.0289900
  2600.0810        1.0248300
  2603.0120        1.0232500
  2605.9800        1.0234100
  2608.9860        1.0243900
  2612.0290        1.0255300
  2615.1090        1.0265000
  2618.2270        1.0272200
  2621.3820        1.0276300
  2624.5740        1.0276600
  2627.8040        1.0272500
  2631.0710        1.0262300
  2634.3750        1.0245300
  2637.7170        1.0220500
