# data from ifeffit
# e0shift =    14.000000     
#------------------------
#   e         mu
  2478.4790       0.17681200E-01
  2479.8980       0.24194100E-01
  2481.1670       0.34567100E-01
  2482.2880       0.52005700E-01
  2483.2580       0.83314200E-01
  2484.0800       0.14432200
  2484.7520       0.27621700
  2485.2750       0.59973100
  2485.6480        1.4606000
  2485.8720        3.0259300
  2485.9470        3.7451700
  2486.0730        4.8214100
  2486.1150        5.0432300
  2486.2450        5.3289200
  2486.4130        5.1435200
  2486.6190        4.6170200
  2486.8610        3.9411300
  2487.1410        3.2557300
  2487.4590        2.6369700
  2487.8140        2.1152200
  2488.2060        1.6929800
  2488.6350        1.3601400
  2489.1020        1.1021400
  2489.6060       0.90432800
  2490.1470       0.75403000
  2490.7260       0.64080300
  2491.3420       0.55658600
  2491.9950       0.49499700
  2492.6860       0.45123200
  2493.4140       0.42155900
  2494.1800       0.40316900
  2494.9820       0.39386900
  2495.8220       0.39195400
  2496.7000       0.39610000
  2497.6150       0.40520300
  2498.5670       0.41844200
  2499.5560       0.43508800
  2500.5830       0.45452800
  2501.6470       0.47628000
  2502.7490       0.49987600
  2503.8870       0.52492300
  2505.0640       0.55104300
  2506.2770       0.57786300
  2507.5280       0.60498800
  2508.8160       0.63204800
  2510.1420       0.65858600
  2511.5040       0.68463000
  2512.9050       0.70968900
  2514.3420       0.73263000
  2515.8170       0.75441400
  2517.3290       0.77314800
  2518.8790       0.78769900
  2520.4650       0.79890800
  2522.0900       0.80765500
  2523.7510       0.81443500
  2525.4500       0.81979100
  2527.1860       0.82419300
  2528.9600       0.82809000
  2530.7710       0.83241900
  2532.6190       0.83817500
  2534.5040       0.84739400
  2536.4270       0.86216900
  2538.3880       0.88511800
  2540.3850       0.92003300
  2542.4200       0.97078500
  2544.4920        1.0406100
  2546.6020        1.1280500
  2548.7490        1.2237500
  2550.9330        1.3100300
  2553.1550        1.3689200
  2555.4140        1.3911000
  2557.7100        1.3806000
  2560.0440        1.3492700
  2562.4150        1.3075700
  2564.8230        1.2633800
  2567.2680        1.2206500
  2569.7510        1.1812200
  2572.2720        1.1457000
  2574.8290        1.1140100
  2577.4240        1.0859000
  2580.0570        1.0611200
  2582.7260        1.0394800
  2585.4330        1.0209600
  2588.1780        1.0055800
  2590.9590       0.99321600
  2593.7780       0.98379100
  2596.6350       0.97710600
  2599.5280       0.97296100
  2602.4590       0.97092300
  2605.4280       0.97071300
  2608.4330       0.97206700
  2611.4760       0.97479400
  2614.5570       0.97866800
  2617.6750       0.98351700
  2620.8300       0.98924400
  2624.0220       0.99563100
  2627.2520        1.0025500
  2630.5190        1.0097600
  2633.8230        1.0171000
  2637.1650        1.0243400
